time (h),temperature (°C),irradiance (W/m^2),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.0000,84.98,0.0,84.7,0.0000,0.000,0.000
0.1667,84.73,0.0,84.2,0.0000,0.000,0.000
0.3333,85.10,0.0,84.9,0.0000,0.000,0.000
0.5000,85.07,0.0,85.1,0.0000,0.000,0.000
0.6667,85.03,0.0,84.9,0.0000,0.000,0.000
0.8333,85.01,0.0,85.8,0.0000,0.000,0.000
1.0000,84.75,0.0,84.9,0.0000,0.000,0.000
1.1667,84.55,0.0,83.8,0.0000,0.000,0.000
1.3333,84.70,0.0,84.5,0.0000,0.000,0.000
1.5000,85.15,0.0,84.1,0.0000,0.000,0.000
1.6667,84.34,0.0,85.4,0.0000,0.000,0.000
1.8333,85.20,0.0,85.5,0.0000,0.000,0.000
2.0000,84.58,0.0,85.3,0.0000,0.000,0.000
2.1667,84.57,0.0,85.3,0.0000,0.000,0.000
2.3333,85.25,0.0,85.3,0.0000,0.000,0.000
2.5000,84.57,0.0,84.6,0.0000,0.000,0.000
2.6667,84.64,0.0,84.8,0.0000,0.000,0.000
2.8333,84.74,0.0,85.1,0.0000,0.000,0.000
3.0000,85.03,0.0,85.2,0.0000,0.000,0.000
3.1667,85.24,0.0,84.4,0.0000,0.000,0.000
3.3333,84.76,0.0,84.5,0.0000,0.000,0.000
3.5000,85.37,0.0,85.0,0.0000,0.000,0.000
3.6667,85.21,0.0,84.0,0.0000,0.000,0.000
3.8333,85.20,0.0,84.7,0.0000,0.000,0.000
4.0000,85.27,0.0,84.7,0.0000,0.000,0.000
4.1667,84.95,0.0,85.4,0.0000,0.000,0.000
4.3333,85.28,0.0,85.1,0.0000,0.000,0.000
4.5000,85.30,0.0,85.0,0.0000,0.000,0.000
4.6667,85.04,0.0,86.0,0.0000,0.000,0.000
4.8333,85.13,0.0,85.8,0.0000,0.000,0.000
5.0000,85.11,0.0,84.5,0.0000,0.000,0.000
5.1667,84.76,0.0,85.5,0.0000,0.000,0.000
5.3333,84.71,0.0,85.3,0.0000,0.000,0.000
5.5000,84.94,0.0,85.6,0.0000,0.000,0.000
5.6667,85.16,0.0,84.3,0.0000,0.000,0.000
5.8333,85.31,0.0,85.2,0.0000,0.000,0.000
6.0000,84.81,0.0,84.6,0.0000,0.000,0.000
6.1667,85.05,0.0,84.8,0.0000,0.000,0.000
6.3333,84.60,0.0,84.9,0.0000,0.000,0.000
6.5000,84.94,0.0,85.1,0.0000,0.000,0.000
6.6667,84.94,0.0,84.2,0.0000,0.000,0.000
6.8333,85.48,0.0,84.7,0.0000,0.000,0.000
7.0000,85.19,0.0,85.2,0.0000,0.000,0.000
7.1667,84.90,0.0,85.1,0.0000,0.000,0.000
7.3333,85.53,0.0,84.2,0.0000,0.000,0.000
7.5000,84.78,0.0,85.0,0.0000,0.000,0.000
7.6667,85.25,0.0,84.8,0.0000,0.000,0.000
7.8333,84.84,0.0,85.0,0.0000,0.000,0.000
8.0000,84.67,0.0,84.9,0.0000,0.000,0.000
8.1667,85.18,0.0,85.0,0.0000,0.000,0.000
8.3333,84.87,0.0,85.5,0.0000,0.000,0.000
8.5000,84.44,0.0,85.7,0.0000,0.000,0.000
8.6667,85.04,0.0,85.3,0.0000,0.000,0.000
8.8333,85.11,0.0,84.5,0.0000,0.000,0.000
9.0000,84.78,0.0,85.2,0.0000,0.000,0.000
9.1667,84.85,0.0,84.4,0.0000,0.000,0.000
9.3333,84.83,0.0,84.8,0.0000,0.000,0.000
9.5000,84.87,0.0,85.5,0.0000,0.000,0.000
