direction,irradiance (W/m^2),open_circuit_voltage (V),short_circuit_current_density (mA/cm^2),fill_factor (%),efficiency (%),potential_at_maximum_power_point (V),current_density_at_maximum_power_point (mA/cm^2),series_resistance (ohm*cm^2),shunt_resistance (ohm*cm^2)
reverse,1000,1.1148,21.858,84.07,20.485,0.990,20.692,1.564,2985
forward,1000,1.1048,21.640,83.97,20.076,0.980,20.485,1.579,3030

voltage (V),current_density (mA/cm^2),direction
1.150,-31.5849,reverse
1.140,-19.4580,reverse
1.130,-10.1012,reverse
1.120,-2.8816,reverse
1.110,2.6892,reverse
1.100,6.9879,reverse
1.090,10.3052,reverse
1.080,12.8652,reverse
1.070,14.8411,reverse
1.060,16.3663,reverse
1.050,17.5437,reverse
1.040,18.4529,reverse
1.030,19.1551,reverse
1.020,19.6977,reverse
1.010,20.1170,reverse
1.000,20.4413,reverse
0.990,20.6922,reverse
0.980,20.8866,reverse
0.970,21.0373,reverse
0.960,21.1543,reverse
0.950,21.2454,reverse
0.940,21.3164,reverse
0.930,21.3720,reverse
0.920,21.4156,reverse
0.910,21.4500,reverse
0.900,21.4773,reverse
0.890,21.4991,reverse
0.880,21.5167,reverse
0.870,21.5311,reverse
0.860,21.5429,reverse
0.850,21.5528,reverse
0.840,21.5612,reverse
0.830,21.5684,reverse
0.820,21.5748,reverse
0.810,21.5804,reverse
0.800,21.5856,reverse
0.790,21.5903,reverse
0.780,21.5947,reverse
0.770,21.5988,reverse
0.760,21.6028,reverse
0.750,21.6066,reverse
0.740,21.6103,reverse
0.730,21.6140,reverse
0.720,21.6175,reverse
0.710,21.6210,reverse
0.700,21.6245,reverse
0.690,21.6279,reverse
0.680,21.6313,reverse
0.670,21.6347,reverse
0.660,21.6381,reverse
0.650,21.6415,reverse
0.640,21.6448,reverse
0.630,21.6482,reverse
0.620,21.6515,reverse
0.610,21.6549,reverse
0.600,21.6582,reverse
0.590,21.6616,reverse
0.580,21.6649,reverse
0.570,21.6683,reverse
0.560,21.6716,reverse
0.550,21.6749,reverse
0.540,21.6783,reverse
0.530,21.6816,reverse
0.520,21.6849,reverse
0.510,21.6883,reverse
0.500,21.6916,reverse
0.490,21.6949,reverse
0.480,21.6983,reverse
0.470,21.7016,reverse
0.460,21.7049,reverse
0.450,21.7083,reverse
0.440,21.7116,reverse
0.430,21.7149,reverse
0.420,21.7183,reverse
0.410,21.7216,reverse
0.400,21.7249,reverse
0.390,21.7283,reverse
0.380,21.7316,reverse
0.370,21.7349,reverse
0.360,21.7383,reverse
0.350,21.7416,reverse
0.340,21.7449,reverse
0.330,21.7483,reverse
0.320,21.7516,reverse
0.310,21.7549,reverse
0.300,21.7583,reverse
0.290,21.7616,reverse
0.280,21.7649,reverse
0.270,21.7683,reverse
0.260,21.7716,reverse
0.250,21.7749,reverse
0.240,21.7783,reverse
0.230,21.7816,reverse
0.220,21.7849,reverse
0.210,21.7883,reverse
0.200,21.7916,reverse
0.190,21.7949,reverse
0.180,21.7983,reverse
0.170,21.8016,reverse
0.160,21.8049,reverse
0.150,21.8083,reverse
0.140,21.8116,reverse
0.130,21.8149,reverse
0.120,21.8183,reverse
0.110,21.8216,reverse
0.100,21.8249,reverse
0.090,21.8283,reverse
0.080,21.8316,reverse
0.070,21.8349,reverse
0.060,21.8383,reverse
0.050,21.8416,reverse
0.040,21.8449,reverse
0.030,21.8483,reverse
0.020,21.8516,reverse
0.010,21.8549,reverse
-0.000,21.8583,reverse
-0.010,21.8616,reverse
