time (h),temperature (°C),irradiance (W/m^2),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.1333,15.57,0.0,60.7,0.0000,0.000,0.000
0.3000,15.52,0.0,58.9,0.0000,0.000,0.000
0.4667,16.23,0.0,60.0,0.0000,0.000,0.000
0.6333,16.08,0.0,59.8,0.0000,0.000,0.000
0.8000,16.47,0.0,59.9,0.0000,0.000,0.000
0.9667,17.86,0.0,60.1,0.0000,0.000,0.000
1.1333,17.43,0.0,60.2,0.0000,0.000,0.000
1.3000,17.49,0.0,60.1,0.0000,0.000,0.000
1.4667,18.09,0.0,60.3,0.0000,0.000,0.000
1.6333,17.88,0.0,60.1,0.0000,0.000,0.000
1.8000,18.33,0.0,59.4,0.0000,0.000,0.000
1.9667,18.57,0.0,59.8,0.0000,0.000,0.000
2.1333,19.70,0.0,60.5,0.0000,0.000,0.000
2.3000,19.35,0.0,60.6,0.0000,0.000,0.000
2.4667,20.57,0.0,59.4,0.0000,0.000,0.000
2.6333,20.92,0.0,60.3,0.0000,0.000,0.000
2.8000,20.96,0.0,59.9,0.0000,0.000,0.000
2.9667,21.72,0.0,59.5,0.0000,0.000,0.000
3.1333,22.13,0.0,60.5,0.0000,0.000,0.000
3.3000,22.33,0.0,60.6,0.0000,0.000,0.000
3.4667,22.86,0.0,60.0,0.0000,0.000,0.000
3.6333,23.26,0.0,60.3,0.0000,0.000,0.000
3.8000,22.73,0.0,60.1,0.0000,0.000,0.000
3.9667,23.11,0.0,60.2,0.0000,0.000,0.000
4.1333,23.16,0.0,59.1,0.0000,0.000,0.000
4.3000,24.55,0.0,59.8,0.0000,0.000,0.000
4.4667,24.50,0.0,60.1,0.0000,0.000,0.000
4.6333,25.25,0.0,60.7,0.0000,0.000,0.000
4.8000,25.10,0.0,60.8,0.0000,0.000,0.000
4.9667,25.72,0.0,59.5,0.0000,0.000,0.000
5.1333,26.00,0.0,60.8,0.0000,0.000,0.000
5.3000,26.61,0.0,60.4,0.0000,0.000,0.000
5.4667,27.00,0.0,60.1,0.0000,0.000,0.000
5.6333,27.33,0.0,60.4,0.0000,0.000,0.000
5.8000,26.97,0.0,58.8,0.0000,0.000,0.000
