direction,irradiance (W/m^2),open_circuit_voltage (V),short_circuit_current_density (mA/cm^2),fill_factor (%),efficiency (%),potential_at_maximum_power_point (V),current_density_at_maximum_power_point (mA/cm^2),series_resistance (ohm*cm^2),shunt_resistance (ohm*cm^2)
reverse,1000,1.1172,22.754,84.13,21.388,0.990,21.604,1.595,2985
forward,1000,1.1072,22.526,84.04,20.960,0.980,21.388,1.611,3030

voltage (V),current_density (mA/cm^2),direction
1.150,-29.6352,reverse
1.140,-17.7492,reverse
1.130,-8.5783,reverse
1.120,-1.5020,reverse
1.110,3.9581,reverse
1.100,8.1715,reverse
1.090,11.4229,reverse
1.080,13.9321,reverse
1.070,15.8688,reverse
1.060,17.3638,reverse
1.050,18.5179,reverse
1.040,19.4091,reverse
1.030,20.0974,reverse
1.020,20.6292,reverse
1.010,21.0402,reverse
1.000,21.3581,reverse
0.990,21.6042,reverse
0.980,21.7947,reverse
0.970,21.9425,reverse
0.960,22.0573,reverse
0.950,22.1466,reverse
0.940,22.2163,reverse
0.930,22.2708,reverse
0.920,22.3136,reverse
0.910,22.3474,reverse
0.900,22.3743,reverse
0.890,22.3957,reverse
0.880,22.4130,reverse
0.870,22.4272,reverse
0.860,22.4388,reverse
0.850,22.4486,reverse
0.840,22.4569,reverse
0.830,22.4640,reverse
0.820,22.4703,reverse
0.810,22.4759,reverse
0.800,22.4810,reverse
0.790,22.4857,reverse
0.780,22.4901,reverse
0.770,22.4942,reverse
0.760,22.4982,reverse
0.750,22.5020,reverse
0.740,22.5057,reverse
0.730,22.5093,reverse
0.720,22.5129,reverse
0.710,22.5164,reverse
0.700,22.5198,reverse
0.690,22.5233,reverse
0.680,22.5267,reverse
0.670,22.5301,reverse
0.660,22.5335,reverse
0.650,22.5368,reverse
0.640,22.5402,reverse
0.630,22.5435,reverse
0.620,22.5469,reverse
0.610,22.5502,reverse
0.600,22.5536,reverse
0.590,22.5569,reverse
0.580,22.5603,reverse
0.570,22.5636,reverse
0.560,22.5669,reverse
0.550,22.5703,reverse
0.540,22.5736,reverse
0.530,22.5769,reverse
0.520,22.5803,reverse
0.510,22.5836,reverse
0.500,22.5870,reverse
0.490,22.5903,reverse
0.480,22.5936,reverse
0.470,22.5970,reverse
0.460,22.6003,reverse
0.450,22.6036,reverse
0.440,22.6070,reverse
0.430,22.6103,reverse
0.420,22.6136,reverse
0.410,22.6170,reverse
0.400,22.6203,reverse
0.390,22.6236,reverse
0.380,22.6270,reverse
0.370,22.6303,reverse
0.360,22.6336,reverse
0.350,22.6370,reverse
0.340,22.6403,reverse
0.330,22.6436,reverse
0.320,22.6470,reverse
0.310,22.6503,reverse
0.300,22.6536,reverse
0.290,22.6570,reverse
0.280,22.6603,reverse
0.270,22.6636,reverse
0.260,22.6670,reverse
0.250,22.6703,reverse
0.240,22.6736,reverse
0.230,22.6770,reverse
0.220,22.6803,reverse
0.210,22.6836,reverse
0.200,22.6870,reverse
0.190,22.6903,reverse
0.180,22.6936,reverse
0.170,22.6970,reverse
