time (h),temperature (°C),irradiance (W/m^2),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.0000,25.55,1001.0,40.0,0.9498,21.254,20.186
0.1667,25.17,1000.7,39.4,0.9485,21.134,20.046
0.3333,24.79,1001.7,38.3,0.9518,20.857,19.852
0.5000,25.23,1001.8,39.6,0.9484,21.004,19.920
0.6667,25.15,999.3,38.2,0.9497,20.990,19.935
0.8333,24.79,1004.2,40.3,0.9495,21.254,20.180
1.0000,25.29,995.6,37.6,0.9464,21.086,19.956
1.1667,25.07,1005.9,39.1,0.9476,20.943,19.845
1.3333,24.50,1003.0,38.2,0.9502,20.964,19.920
1.5000,24.67,1000.9,39.1,0.9471,21.035,19.921
1.6667,25.09,999.8,38.3,0.9488,20.884,19.814
1.8333,24.89,998.3,38.5,0.9504,20.906,19.869
2.0000,24.32,998.4,37.4,0.9494,20.784,19.732
2.1667,24.87,998.3,37.9,0.9453,20.964,19.818
2.3333,24.78,998.8,37.6,0.9472,20.981,19.874
2.5000,25.68,1006.2,36.4,0.9513,20.912,19.894
2.6667,25.26,997.8,39.6,0.9455,20.953,19.810
2.8333,25.06,998.7,36.3,0.9442,20.887,19.721
3.0000,25.41,1004.0,38.1,0.9492,20.939,19.876
3.1667,25.74,1000.8,37.2,0.9503,20.753,19.722
3.3333,25.70,1001.3,36.4,0.9480,20.929,19.841
3.5000,24.79,998.2,35.8,0.9489,20.795,19.732
3.6667,25.02,1001.2,35.9,0.9506,20.807,19.779
3.8333,24.59,1001.2,36.0,0.9507,21.016,19.980
4.0000,25.13,1001.0,36.4,0.9463,20.997,19.870
4.1667,25.07,998.6,37.1,0.9493,20.781,19.728
4.3333,24.90,997.7,35.7,0.9460,20.797,19.674
4.5000,24.72,1001.0,36.4,0.9466,20.782,19.672
4.6667,25.42,1001.8,36.4,0.9434,20.946,19.760
4.8333,25.28,997.0,35.6,0.9439,20.869,19.697
5.0000,25.11,1001.2,36.3,0.9452,20.848,19.706
5.1667,25.43,998.0,36.3,0.9405,20.863,19.622
5.3333,24.82,1001.5,37.8,0.9469,20.844,19.737
5.5000,25.21,1000.0,37.4,0.9454,20.789,19.653
5.6667,25.28,999.0,37.3,0.9421,20.869,19.662
5.8333,25.58,1000.9,34.5,0.9418,20.746,19.539
6.0000,24.98,998.7,36.9,0.9477,20.550,19.475
6.1667,24.72,998.1,35.6,0.9426,20.576,19.395
6.3333,24.41,1000.0,37.5,0.9459,20.604,19.489
6.5000,25.04,997.4,37.4,0.9452,20.895,19.750
6.6667,24.81,999.2,36.3,0.9472,20.771,19.675
6.8333,24.49,999.0,36.0,0.9469,20.663,19.566
7.0000,24.83,999.8,36.1,0.9447,20.900,19.746
7.1667,25.11,998.2,37.5,0.9428,20.690,19.506
7.3333,24.83,998.8,37.0,0.9450,20.915,19.766
7.5000,24.53,1001.9,37.1,0.9479,20.845,19.759
7.6667,25.01,1003.1,36.5,0.9431,20.924,19.733
7.8333,24.92,1000.8,36.9,0.9502,20.639,19.612
8.0000,24.34,999.7,39.1,0.9448,20.924,19.769
8.1667,25.23,1000.0,36.3,0.9461,20.682,19.566
8.3333,24.70,996.1,39.2,0.9458,20.629,19.511
8.5000,25.19,1002.0,38.0,0.9444,20.740,19.587
8.6667,25.14,997.6,37.6,0.9473,20.761,19.666
8.8333,25.59,998.3,40.3,0.9466,20.461,19.368
9.0000,25.19,998.3,39.5,0.9403,20.646,19.413
9.1667,25.17,1000.6,38.3,0.9435,20.764,19.591
9.3333,24.73,998.2,39.0,0.9482,20.658,19.589
9.5000,24.52,1003.3,39.7,0.9431,20.865,19.677
9.6667,24.86,999.4,39.0,0.9422,20.557,19.368
9.8333,25.16,1001.4,39.6,0.9439,20.562,19.408
10.0000,24.52,996.5,40.5,0.9466,20.388,19.298
10.1667,25.05,996.3,39.1,0.9423,20.711,19.516
10.3333,25.13,1002.5,40.3,0.9450,20.681,19.543
10.5000,24.49,999.0,41.4,0.9455,20.511,19.393
10.6667,24.94,1000.6,40.7,0.9440,20.591,19.438
10.8333,24.93,1001.5,41.3,0.9428,20.641,19.460
11.0000,24.56,998.9,39.8,0.9431,20.815,19.630
11.1667,24.55,999.8,41.9,0.9436,20.505,19.349
