direction,irradiance (W/m^2),open_circuit_voltage (V),short_circuit_current_density (mA/cm^2),fill_factor (%),efficiency (%),potential_at_maximum_power_point (V),current_density_at_maximum_power_point (mA/cm^2),series_resistance (ohm*cm^2),shunt_resistance (ohm*cm^2)
reverse,1000,1.1182,23.090,84.15,21.727,0.990,21.947,1.607,2985
forward,1000,1.1082,22.859,84.05,21.293,0.980,21.727,1.623,2985

voltage (V),current_density (mA/cm^2),direction
1.150,-28.9183,reverse
1.140,-17.1192,reverse
1.130,-8.0154,reverse
1.120,-0.9909,reverse
1.110,4.4294,reverse
1.100,8.6119,reverse
1.090,11.8396,reverse
1.080,14.3305,reverse
1.070,16.2531,reverse
1.060,17.7371,reverse
1.050,18.8828,reverse
1.040,19.7675,reverse
1.030,20.4508,reverse
1.020,20.9787,reverse
1.010,21.3868,reverse
1.000,21.7024,reverse
0.990,21.9467,reverse
0.980,22.1359,reverse
0.970,22.2826,reverse
0.960,22.3966,reverse
0.950,22.4853,reverse
0.940,22.5544,reverse
0.930,22.6086,reverse
0.920,22.6511,reverse
0.910,22.6847,reverse
0.900,22.7113,reverse
0.890,22.7327,reverse
0.880,22.7499,reverse
0.870,22.7640,reverse
0.860,22.7756,reverse
0.850,22.7853,reverse
0.840,22.7935,reverse
0.830,22.8006,reverse
0.820,22.8069,reverse
0.810,22.8125,reverse
0.800,22.8176,reverse
0.790,22.8223,reverse
0.780,22.8266,reverse
0.770,22.8308,reverse
0.760,22.8347,reverse
0.750,22.8385,reverse
0.740,22.8422,reverse
0.730,22.8458,reverse
0.720,22.8494,reverse
0.710,22.8529,reverse
0.700,22.8564,reverse
0.690,22.8598,reverse
0.680,22.8632,reverse
0.670,22.8666,reverse
0.660,22.8700,reverse
0.650,22.8733,reverse
0.640,22.8767,reverse
0.630,22.8801,reverse
0.620,22.8834,reverse
0.610,22.8868,reverse
0.600,22.8901,reverse
0.590,22.8934,reverse
0.580,22.8968,reverse
0.570,22.9001,reverse
0.560,22.9035,reverse
0.550,22.9068,reverse
0.540,22.9101,reverse
0.530,22.9135,reverse
0.520,22.9168,reverse
0.510,22.9201,reverse
0.500,22.9235,reverse
0.490,22.9268,reverse
0.480,22.9301,reverse
0.470,22.9335,reverse
0.460,22.9368,reverse
0.450,22.9401,reverse
0.440,22.9435,reverse
0.430,22.9468,reverse
0.420,22.9501,reverse
0.410,22.9535,reverse
0.400,22.9568,reverse
0.390,22.9601,reverse
0.380,22.9635,reverse
0.370,22.9668,reverse
0.360,22.9701,reverse
0.350,22.9735,reverse
0.340,22.9768,reverse
0.330,22.9801,reverse
0.320,22.9835,reverse
0.310,22.9868,reverse
0.300,22.9901,reverse
0.290,22.9935,reverse
0.280,22.9968,reverse
0.270,23.0001,reverse
0.260,23.0035,reverse
0.250,23.0068,reverse
0.240,23.0101,reverse
0.230,23.0135,reverse
0.220,23.0168,reverse
