time (h),temperature (°C),irradiance (W/m^2),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.1000,30.74,1000.2,42.2,0.9273,20.309,18.831
0.2667,40.94,997.9,40.5,0.9078,20.343,18.468
0.4333,51.07,1001.6,42.6,0.8890,20.528,18.250
0.6000,61.34,1002.9,40.5,0.8697,20.415,17.755
0.7667,70.76,1001.4,41.4,0.8556,20.212,17.294
0.9333,80.64,1000.3,40.9,0.8324,20.370,16.956
1.1000,85.31,999.6,42.0,0.8256,20.295,16.756
1.2667,85.08,1000.3,40.6,0.8256,20.211,16.686
1.4333,84.94,1002.1,40.9,0.8235,20.494,16.876
1.6000,84.97,1000.4,41.0,0.8180,20.350,16.647
1.7667,85.40,1000.2,40.2,0.8232,20.389,16.784
1.9333,84.91,999.9,39.5,0.8254,20.135,16.620
2.1000,84.70,1001.9,38.2,0.8211,20.203,16.588
2.2667,85.19,998.5,38.3,0.8234,20.460,16.848
2.4333,85.24,997.3,40.8,0.8222,20.152,16.570
2.6000,84.74,999.3,36.7,0.8212,20.258,16.636
2.7667,84.91,1000.4,38.1,0.8227,20.173,16.597
2.9333,85.30,1000.5,38.4,0.8215,20.102,16.513
3.1000,85.07,999.5,38.5,0.8233,20.249,16.670
3.2667,85.67,998.8,38.2,0.8219,20.043,16.474
3.4333,84.95,1000.1,36.6,0.8236,19.900,16.390
3.6000,84.65,1000.9,38.6,0.8221,20.346,16.726
3.7667,84.74,1000.4,36.9,0.8222,20.198,16.607
3.9333,84.45,999.2,37.3,0.8237,20.027,16.497
4.1000,85.13,999.7,37.2,0.8204,20.337,16.685
4.2667,84.99,999.1,37.2,0.8213,20.126,16.529
4.4333,85.44,1003.3,37.0,0.8209,20.188,16.573
4.6000,85.61,1000.4,37.2,0.8188,20.056,16.422
4.7667,85.13,1000.9,37.4,0.8168,20.223,16.519
4.9333,84.65,1002.1,37.1,0.8204,20.443,16.771
5.1000,84.59,996.7,38.2,0.8193,20.068,16.442
5.2667,85.42,999.3,36.1,0.8172,20.234,16.535
5.4333,84.76,999.1,36.7,0.8194,20.077,16.451
5.6000,84.35,998.8,35.5,0.8224,20.100,16.530
5.7667,84.24,1000.5,36.2,0.8225,20.251,16.657
5.9333,85.24,999.9,35.9,0.8146,20.175,16.435
6.1000,85.38,999.2,35.1,0.8193,19.970,16.361
6.2667,84.61,1000.1,35.5,0.8203,20.174,16.550
6.4333,85.06,999.2,34.9,0.8167,19.975,16.314
6.6000,85.11,999.1,35.7,0.8187,19.900,16.292
6.7667,84.98,1000.0,35.7,0.8194,19.987,16.377
6.9333,85.25,1001.1,37.9,0.8144,20.250,16.492
7.1000,78.34,1003.2,36.1,0.8319,20.175,16.784
7.2667,69.58,1000.5,36.9,0.8444,20.051,16.930
7.4333,59.31,1000.3,36.7,0.8633,20.120,17.370
7.6000,49.36,999.0,36.3,0.8835,20.071,17.732
7.7667,39.68,1001.2,36.0,0.9040,19.955,18.039
7.9333,29.44,999.4,35.9,0.9209,19.728,18.168
8.1000,25.12,997.9,36.4,0.9255,20.030,18.539
8.2667,25.11,998.1,37.0,0.9277,19.990,18.544
8.4333,25.57,1001.6,37.6,0.9284,20.038,18.602
8.6000,25.32,1000.1,36.8,0.9322,19.975,18.621
8.7667,24.84,1000.9,36.8,0.9267,20.209,18.728
8.9333,25.12,1000.1,36.3,0.9283,19.964,18.533
9.1000,24.38,1000.7,38.0,0.9352,19.831,18.546
9.2667,25.10,999.6,36.3,0.9293,19.959,18.547
9.4333,25.34,997.8,37.2,0.9311,19.950,18.575
9.6000,25.02,1002.8,37.3,0.9322,19.963,18.609
9.7667,25.06,997.6,37.5,0.9279,19.983,18.543
9.9333,24.75,1000.3,38.7,0.9296,20.096,18.681
10.1000,25.12,997.5,37.9,0.9291,19.789,18.387
10.2667,24.57,1002.2,37.5,0.9293,19.965,18.555
10.4333,25.22,999.3,39.0,0.9321,19.829,18.482
10.6000,24.96,1000.5,39.3,0.9331,20.061,18.719
10.7667,24.71,1001.7,38.4,0.9312,20.154,18.768
10.9333,24.43,1001.8,39.2,0.9355,19.904,18.621
11.1000,24.79,1002.0,39.3,0.9302,20.035,18.637
11.2667,25.14,1001.2,39.3,0.9250,20.284,18.763
11.4333,24.79,1001.3,38.7,0.9285,19.925,18.499
11.6000,26.06,998.9,38.6,0.9266,19.969,18.503
11.7667,25.24,999.6,39.5,0.9260,19.875,18.404
