direction,irradiance (W/m^2),open_circuit_voltage (V),short_circuit_current_density (mA/cm^2),fill_factor (%),efficiency (%),potential_at_maximum_power_point (V),current_density_at_maximum_power_point (mA/cm^2),series_resistance (ohm*cm^2),shunt_resistance (ohm*cm^2)
reverse,1000,1.1162,22.369,84.11,21.000,0.990,21.213,1.582,3030
forward,1000,1.1062,22.145,84.01,20.580,0.980,21.000,1.598,3030

voltage (V),current_density (mA/cm^2),direction
1.150,-30.4648,reverse
1.140,-18.4771,reverse
1.130,-9.2277,reverse
1.120,-2.0909,reverse
1.110,3.4159,reverse
1.100,7.6653,reverse
1.090,10.9445,reverse
1.080,13.4752,reverse
1.070,15.4284,reverse
1.060,16.9361,reverse
1.050,18.1001,reverse
1.040,18.9989,reverse
1.030,19.6931,reverse
1.020,20.2294,reverse
1.010,20.6439,reverse
1.000,20.9645,reverse
0.990,21.2126,reverse
0.980,21.4048,reverse
0.970,21.5538,reverse
0.960,21.6696,reverse
0.950,21.7596,reverse
0.940,21.8299,reverse
0.930,21.8848,reverse
0.920,21.9280,reverse
0.910,21.9620,reverse
0.900,21.9891,reverse
0.890,22.0107,reverse
0.880,22.0281,reverse
0.870,22.0423,reverse
0.860,22.0541,reverse
0.850,22.0639,reverse
0.840,22.0722,reverse
0.830,22.0794,reverse
0.820,22.0857,reverse
0.810,22.0914,reverse
0.800,22.0965,reverse
0.790,22.1012,reverse
0.780,22.1055,reverse
0.770,22.1097,reverse
0.760,22.1137,reverse
0.750,22.1175,reverse
0.740,22.1212,reverse
0.730,22.1248,reverse
0.720,22.1284,reverse
0.710,22.1319,reverse
0.700,22.1353,reverse
0.690,22.1388,reverse
0.680,22.1422,reverse
0.670,22.1456,reverse
0.660,22.1489,reverse
0.650,22.1523,reverse
0.640,22.1557,reverse
0.630,22.1590,reverse
0.620,22.1624,reverse
0.610,22.1657,reverse
0.600,22.1691,reverse
0.590,22.1724,reverse
0.580,22.1758,reverse
0.570,22.1791,reverse
0.560,22.1824,reverse
