time (h),temperature (°C),irradiance (W/m^2),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.0000,25.79,0.0,38.5,0.0000,0.000,0.000
0.1667,24.91,0.0,37.7,0.0000,0.000,0.000
0.3333,24.59,0.0,38.4,0.0000,0.000,0.000
0.5000,24.74,0.0,38.9,0.0000,0.000,0.000
0.6667,24.85,0.0,38.8,0.0000,0.000,0.000
0.8333,24.72,0.0,39.3,0.0000,0.000,0.000
1.0000,25.17,0.0,39.3,0.0000,0.000,0.000
1.1667,25.16,0.0,39.8,0.0000,0.000,0.000
1.3333,24.74,0.0,41.1,0.0000,0.000,0.000
1.5000,24.98,0.0,39.0,0.0000,0.000,0.000
1.6667,24.94,0.0,39.4,0.0000,0.000,0.000
1.8333,25.43,0.0,39.7,0.0000,0.000,0.000
2.0000,24.66,0.0,40.6,0.0000,0.000,0.000
2.1667,25.39,0.0,42.5,0.0000,0.000,0.000
2.3333,24.98,0.0,41.2,0.0000,0.000,0.000
2.5000,25.01,0.0,41.4,0.0000,0.000,0.000
2.6667,25.70,0.0,42.0,0.0000,0.000,0.000
2.8333,24.94,0.0,41.1,0.0000,0.000,0.000
3.0000,25.45,0.0,41.9,0.0000,0.000,0.000
3.1667,25.52,0.0,43.0,0.0000,0.000,0.000
3.3333,24.59,0.0,42.4,0.0000,0.000,0.000
3.5000,24.79,0.0,42.6,0.0000,0.000,0.000
3.6667,25.26,0.0,42.6,0.0000,0.000,0.000
3.8333,25.02,0.0,42.7,0.0000,0.000,0.000
4.0000,25.18,0.0,43.9,0.0000,0.000,0.000
4.1667,25.13,0.0,43.2,0.0000,0.000,0.000
4.3333,25.26,0.0,44.1,0.0000,0.000,0.000
4.5000,25.16,0.0,43.9,0.0000,0.000,0.000
4.6667,25.25,0.0,42.8,0.0000,0.000,0.000
4.8333,24.61,0.0,43.4,0.0000,0.000,0.000
5.0000,24.67,0.0,43.9,0.0000,0.000,0.000
5.1667,25.10,0.0,43.4,0.0000,0.000,0.000
5.3333,25.10,0.0,45.2,0.0000,0.000,0.000
5.5000,24.57,0.0,44.1,0.0000,0.000,0.000
5.6667,24.84,0.0,43.3,0.0000,0.000,0.000
5.8333,24.97,0.0,45.1,0.0000,0.000,0.000
6.0000,24.91,0.0,45.2,0.0000,0.000,0.000
6.1667,25.38,0.0,44.0,0.0000,0.000,0.000
6.3333,25.25,0.0,44.1,0.0000,0.000,0.000
6.5000,24.95,0.0,44.2,0.0000,0.000,0.000
6.6667,24.99,0.0,43.0,0.0000,0.000,0.000
6.8333,24.85,0.0,43.7,0.0000,0.000,0.000
7.0000,25.11,0.0,44.3,0.0000,0.000,0.000
7.1667,24.62,0.0,43.5,0.0000,0.000,0.000
7.3333,25.33,0.0,43.1,0.0000,0.000,0.000
7.5000,25.01,0.0,43.7,0.0000,0.000,0.000
7.6667,25.61,0.0,43.5,0.0000,0.000,0.000
7.8333,25.36,0.0,45.2,0.0000,0.000,0.000
8.0000,25.19,0.0,42.9,0.0000,0.000,0.000
8.1667,24.92,0.0,44.3,0.0000,0.000,0.000
8.3333,24.81,0.0,44.0,0.0000,0.000,0.000
8.5000,25.12,0.0,45.0,0.0000,0.000,0.000
8.6667,25.15,0.0,43.6,0.0000,0.000,0.000
8.8333,24.75,0.0,42.9,0.0000,0.000,0.000
9.0000,25.55,0.0,42.2,0.0000,0.000,0.000
9.1667,24.98,0.0,42.1,0.0000,0.000,0.000
9.3333,24.87,0.0,42.7,0.0000,0.000,0.000
9.5000,24.51,0.0,43.0,0.0000,0.000,0.000
9.6667,25.08,0.0,42.4,0.0000,0.000,0.000
9.8333,24.66,0.0,42.1,0.0000,0.000,0.000
10.0000,25.07,0.0,42.1,0.0000,0.000,0.000
10.1667,25.03,0.0,40.7,0.0000,0.000,0.000
10.3333,24.96,0.0,42.2,0.0000,0.000,0.000
10.5000,25.30,0.0,41.2,0.0000,0.000,0.000
10.6667,25.40,0.0,41.6,0.0000,0.000,0.000
10.8333,24.94,0.0,41.9,0.0000,0.000,0.000
11.0000,25.22,0.0,41.2,0.0000,0.000,0.000
11.1667,25.58,0.0,40.1,0.0000,0.000,0.000
11.3333,25.00,0.0,40.2,0.0000,0.000,0.000
11.5000,25.12,0.0,39.9,0.0000,0.000,0.000
11.6667,25.18,0.0,39.9,0.0000,0.000,0.000
11.8333,25.23,0.0,40.1,0.0000,0.000,0.000
12.0000,25.05,0.0,40.9,0.0000,0.000,0.000
12.1667,25.47,0.0,41.4,0.0000,0.000,0.000
12.3333,24.75,0.0,39.9,0.0000,0.000,0.000
12.5000,25.08,0.0,38.6,0.0000,0.000,0.000
