direction,irradiance (W/m^2),open_circuit_voltage (V),short_circuit_current_density (mA/cm^2),fill_factor (%),efficiency (%),potential_at_maximum_power_point (V),current_density_at_maximum_power_point (mA/cm^2),series_resistance (ohm*cm^2),shunt_resistance (ohm*cm^2)
reverse,1000,1.1161,22.349,84.11,20.980,0.990,21.192,1.581,2985
forward,1000,1.1061,22.125,84.01,20.560,0.980,20.980,1.597,2985

voltage (V),current_density (mA/cm^2),direction
1.150,-30.5096,reverse
1.140,-18.5164,reverse
1.130,-9.2628,reverse
1.120,-2.1227,reverse
1.110,3.3867,reverse
1.100,7.6380,reverse
1.090,10.9187,reverse
1.080,13.4506,reverse
1.070,15.4047,reverse
1.060,16.9131,reverse
1.050,18.0776,reverse
1.040,18.9768,reverse
1.030,19.6713,reverse
1.020,20.2079,reverse
1.010,20.6226,reverse
1.000,20.9434,reverse
0.990,21.1916,reverse
0.980,21.3839,reverse
0.970,21.5329,reverse
0.960,21.6487,reverse
0.950,21.7388,reverse
0.940,21.8091,reverse
0.930,21.8641,reverse
0.920,21.9073,reverse
0.910,21.9413,reverse
0.900,21.9684,reverse
0.890,21.9900,reverse
0.880,22.0075,reverse
0.870,22.0217,reverse
0.860,22.0334,reverse
0.850,22.0432,reverse
0.840,22.0516,reverse
0.830,22.0588,reverse
0.820,22.0651,reverse
0.810,22.0707,reverse
0.800,22.0758,reverse
0.790,22.0805,reverse
0.780,22.0849,reverse
0.770,22.0890,reverse
0.760,22.0930,reverse
0.750,22.0968,reverse
0.740,22.1005,reverse
0.730,22.1041,reverse
0.720,22.1077,reverse
0.710,22.1112,reverse
0.700,22.1147,reverse
0.690,22.1181,reverse
0.680,22.1215,reverse
0.670,22.1249,reverse
0.660,22.1283,reverse
0.650,22.1317,reverse
0.640,22.1350,reverse
0.630,22.1384,reverse
0.620,22.1417,reverse
0.610,22.1451,reverse
0.600,22.1484,reverse
0.590,22.1518,reverse
0.580,22.1551,reverse
0.570,22.1584,reverse
0.560,22.1618,reverse
0.550,22.1651,reverse
0.540,22.1684,reverse
0.530,22.1718,reverse
0.520,22.1751,reverse
0.510,22.1784,reverse
0.500,22.1818,reverse
0.490,22.1851,reverse
0.480,22.1885,reverse
0.470,22.1918,reverse
0.460,22.1951,reverse
0.450,22.1985,reverse
0.440,22.2018,reverse
0.430,22.2051,reverse
0.420,22.2085,reverse
0.410,22.2118,reverse
0.400,22.2151,reverse
0.390,22.2185,reverse
0.380,22.2218,reverse
0.370,22.2251,reverse
0.360,22.2285,reverse
0.350,22.2318,reverse
0.340,22.2351,reverse
0.330,22.2385,reverse
0.320,22.2418,reverse
0.310,22.2451,reverse
0.300,22.2485,reverse
0.290,22.2518,reverse
0.280,22.2551,reverse
0.270,22.2585,reverse
0.260,22.2618,reverse
0.250,22.2651,reverse
0.240,22.2685,reverse
0.230,22.2718,reverse
0.220,22.2751,reverse
0.210,22.2785,reverse
0.200,22.2818,reverse
0.190,22.2851,reverse
0.180,22.2885,reverse
0.170,22.2918,reverse
0.160,22.2951,reverse
0.150,22.2985,reverse
0.140,22.3018,reverse
0.130,22.3051,reverse
0.120,22.3085,reverse
0.110,22.3118,reverse
0.100,22.3151,reverse
0.090,22.3185,reverse
0.080,22.3218,reverse
0.070,22.3251,reverse
0.060,22.3285,reverse
0.050,22.3318,reverse
0.040,22.3351,reverse
0.030,22.3385,reverse
0.020,22.3418,reverse
0.010,22.3451,reverse
-0.000,22.3485,reverse
-0.010,22.3518,reverse
-0.020,22.3551,reverse
-0.030,22.3585,reverse
-0.040,22.3618,reverse
-0.050,22.3651,reverse
-0.060,22.3685,reverse
-0.070,22.3718,reverse
-0.080,22.3751,reverse
-0.090,22.3785,reverse
-0.100,22.3818,reverse
-0.100,22.1583,forward
-0.090,22.1550,forward
-0.080,22.1516,forward
-0.070,22.1483,forward
-0.060,22.1450,forward
-0.050,22.1416,forward
-0.040,22.1383,forward
-0.030,22.1350,forward
-0.020,22.1316,forward
-0.010,22.1283,forward
-0.000,22.1250,forward
0.010,22.1216,forward
0.020,22.1183,forward
0.030,22.1150,forward
0.040,22.1116,forward
0.050,22.1083,forward
0.060,22.1050,forward
0.070,22.1016,forward
0.080,22.0983,forward
0.090,22.0950,forward
0.100,22.0916,forward
0.110,22.0883,forward
0.120,22.0850,forward
0.130,22.0816,forward
0.140,22.0783,forward
0.150,22.0750,forward
0.160,22.0716,forward
0.170,22.0683,forward
0.180,22.0650,forward
0.190,22.0616,forward
0.200,22.0583,forward
0.210,22.0550,forward
0.220,22.0516,forward
0.230,22.0483,forward
0.240,22.0450,forward
0.250,22.0416,forward
0.260,22.0383,forward
0.270,22.0350,forward
0.280,22.0316,forward
0.290,22.0283,forward
0.300,22.0250,forward
0.310,22.0216,forward
0.320,22.0183,forward
0.330,22.0150,forward
0.340,22.0116,forward
0.350,22.0083,forward
0.360,22.0050,forward
0.370,22.0016,forward
0.380,21.9983,forward
0.390,21.9950,forward
0.400,21.9916,forward
0.410,21.9883,forward
0.420,21.9850,forward
0.430,21.9816,forward
0.440,21.9783,forward
0.450,21.9750,forward
0.460,21.9716,forward
0.470,21.9683,forward
0.480,21.9650,forward
0.490,21.9616,forward
0.500,21.9583,forward
0.510,21.9550,forward
0.520,21.9516,forward
0.530,21.9483,forward
0.540,21.9450,forward
0.550,21.9416,forward
0.560,21.9383,forward
0.570,21.9349,forward
0.580,21.9316,forward
0.590,21.9283,forward
0.600,21.9249,forward
0.610,21.9216,forward
0.620,21.9182,forward
0.630,21.9149,forward
0.640,21.9115,forward
0.650,21.9081,forward
0.660,21.9048,forward
0.670,21.9014,forward
0.680,21.8980,forward
0.690,21.8945,forward
0.700,21.8911,forward
0.710,21.8876,forward
0.720,21.8840,forward
0.730,21.8804,forward
0.740,21.8767,forward
0.750,21.8729,forward
0.760,21.8689,forward
0.770,21.8648,forward
0.780,21.8604,forward
0.790,21.8557,forward
0.800,21.8506,forward
0.810,21.8450,forward
0.820,21.8387,forward
0.830,21.8316,forward
0.840,21.8233,forward
0.850,21.8135,forward
0.860,21.8019,forward
0.870,21.7878,forward
0.880,21.7705,forward
0.890,21.7490,forward
0.900,21.7222,forward
0.910,21.6884,forward
0.920,21.6457,forward
0.930,21.5912,forward
0.940,21.5216,forward
0.950,21.4324,forward
0.960,21.3177,forward
0.970,21.1701,forward
0.980,20.9797,forward
0.990,20.7339,forward
1.000,20.4164,forward
1.010,20.0058,forward
1.020,19.4745,forward
1.030,18.7869,forward
1.040,17.8967,forward
1.050,16.7438,forward
1.060,15.2505,forward
1.070,13.3158,forward
1.080,10.8092,forward
1.090,7.5613,forward
1.100,3.3525,forward
1.110,-2.1019,forward
1.120,-9.1706,forward
1.130,-18.3317,forward
1.140,-30.2050,forward
1.150,-45.5937,forward
