## Header ##
[General info]
User	FDN
Device	AI14-1A
Cell area (cm2)	0.09
Test	Stability (JV)
Date	2025-11-20
Time	17:24:43
Note	SMU 1A

[JV Settings]
Vmin (V)	-0.100
Vmax (V)	1.500
Voltage Step (mV)	20.000
Scan Rate (mV/s)	200.000
Auto-detect Voc	Yes
Scan direction	FW then RV
Voltage Range (V)	10 V
Current Range (V)	L
Inverted	No
Auto-range	On

[Cell Settings]
Tipology	Cell
Cell Area (cm2)	0.09
#Cells	1.00
W cell area (cm2)	1.00
#W cells	1.00

## Data ##
Scan	Voc	Jsc	V_MPP	J_MPP	P_MPP	Rs	R//	FF	Eff
	V	mA/cm²	V	mA/cm²	mW/cm²	Ohm	Ohm	%	%
FW	0.852770	18.332018	0.420133	12.804598	5.379638	4.78E+2	2.82E+3	34.41	5.38
RV	0.837405	17.558750	0.420802	11.628247	4.893191	5.94E+2	7.21E+2	33.28	4.89
									
V_FW (V)	J_FW (mA/cm²)	V_RV (V)	J_RV (mA/cm²)						
-9.999941E-2	1.873126E+1	8.599990E-1	-4.000661E-1						
-7.999917E-2	1.868106E+1	8.399987E-1	-4.663810E-2						
-5.999828E-2	1.856021E+1	8.200017E-1	3.202832E-1						
-4.000160E-2	1.851695E+1	8.000002E-1	7.074571E-1						
-2.000038E-2	1.844889E+1	7.799999E-1	1.118529E+0						
-1.409966E-7	1.833180E+1	7.600003E-1	1.558411E+0						
1.999978E-2	1.828286E+1	7.400001E-1	2.029422E+0						
3.999937E-2	1.820280E+1	7.199995E-1	2.531131E+0						
6.000059E-2	1.810797E+1	6.999996E-1	3.060073E+0						
8.000050E-2	1.799849E+1	6.799984E-1	3.620074E+0						
1.000011E-1	1.785926E+1	6.599991E-1	4.202246E+0						
1.200010E-1	1.773371E+1	6.400011E-1	4.801537E+0						
1.399993E-1	1.760750E+1	6.199999E-1	5.427960E+0						
1.599992E-1	1.742907E+1	6.000007E-1	6.066657E+0						
1.800007E-1	1.723831E+1	5.799998E-1	6.706669E+0						
2.000000E-1	1.707302E+1	5.599995E-1	7.351567E+0						
2.200003E-1	1.683806E+1	5.399999E-1	8.005198E+0						
2.400011E-1	1.655912E+1	5.199997E-1	8.649428E+0						
2.600017E-1	1.625555E+1	4.999991E-1	9.272471E+0						
2.800007E-1	1.597324E+1	4.799989E-1	9.884362E+0						
3.000006E-1	1.562885E+1	4.600009E-1	1.048137E+1						
3.199995E-1	1.524501E+1	4.400003E-1	1.108599E+1						
3.399998E-1	1.485354E+1	4.200001E-1	1.165034E+1						
3.600000E-1	1.441708E+1	3.999999E-1	1.218450E+1						
3.800006E-1	1.392581E+1	3.799999E-1	1.267227E+1						
4.000002E-1	1.338838E+1	3.599990E-1	1.317884E+1						
4.200001E-1	1.280863E+1	3.399991E-1	1.362872E+1						
4.400003E-1	1.218157E+1	3.199989E-1	1.404683E+1						
4.600009E-1	1.153392E+1	3.000016E-1	1.443581E+1						
4.799989E-1	1.087962E+1	2.800010E-1	1.479623E+1						
4.999982E-1	1.019880E+1	2.600004E-1	1.514672E+1						
5.199994E-1	9.508904E+0	2.399995E-1	1.544334E+1						
5.399996E-1	8.812809E+0	2.199996E-1	1.569693E+1						
5.600002E-1	8.108600E+0	1.999997E-1	1.595901E+1						
5.799998E-1	7.403963E+0	1.799985E-1	1.620729E+1						
6.000000E-1	6.710922E+0	1.599986E-1	1.640035E+1						
6.199999E-1	6.030365E+0	1.399993E-1	1.657946E+1						
6.400011E-1	5.370758E+0	1.200016E-1	1.676299E+1						
6.599991E-1	4.738002E+0	1.000007E-1	1.696355E+1						
6.799994E-1	4.132249E+0	8.000050E-2	1.711704E+1						
6.999993E-1	3.557102E+0	6.000026E-2	1.722628E+1						
7.199995E-1	3.010162E+0	4.000002E-2	1.735177E+1						
7.400001E-1	2.500258E+0	1.999978E-2	1.745424E+1						
7.600003E-1	2.027117E+0	1.825848E-7	1.755624E+1						
7.800009E-1	1.587356E+0	-2.000071E-2	1.764285E+1						
8.000011E-1	1.181707E+0	-4.000030E-2	1.771886E+1						
8.200020E-1	8.071079E-1	-5.999828E-2	2.482666E+1						
8.399984E-1	3.747487E-1	-7.999949E-2	2.971010E+1						
8.599986E-1	-2.325016E-1	-9.999973E-2	2.980860E+1						
		-1.200000E-1	2.973223E+1						
