## Header ##
[General info]
User	FDN
Device	AI14-1B
Cell area (cm2)	0.09
Test	Stability (JV)
Date	2025-11-19
Time	21:30:12
Note	SMU 1B

[JV Settings]
Vmin (V)	-0.100
Vmax (V)	1.500
Voltage Step (mV)	20.000
Scan Rate (mV/s)	200.000
Auto-detect Voc	Yes
Scan direction	FW then RV
Voltage Range (V)	10 V
Current Range (V)	L
Inverted	No
Auto-range	On

[Cell Settings]
Tipology	Cell
Cell Area (cm2)	0.09
#Cells	1.00
W cell area (cm2)	1.00
#W cells	1.00

## Data ##
Scan	Voc	Jsc	V_MPP	J_MPP	P_MPP	Rs	R//	FF	Eff
	V	mA/cm²	V	mA/cm²	mW/cm²	Ohm	Ohm	%	%
FW	0.555081	15.643439	0.275251	8.795157	2.420875	3.52E+2	7.32E+2	27.88	2.42
RV	0.547562	23.333424	0.262007	8.302604	2.175340	5.02E+2	5.24E+2	17.03	2.18
									
V_FW (V)	J_FW (mA/cm²)	V_RV (V)	J_RV (mA/cm²)						
-1.000005E-1	1.719429E+1	5.600011E-1	-2.597098E-1						
-7.999959E-2	1.682690E+1	5.400003E-1	1.614666E-1						
-5.999937E-2	1.652467E+1	5.200000E-1	6.153280E-1						
-3.999915E-2	1.624589E+1	5.000005E-1	1.117313E+0						
-1.999894E-2	1.596052E+1	4.800009E-1	1.658477E+0						
6.250133E-7	1.564334E+1	4.599997E-1	2.221452E+0						
2.000084E-2	1.535300E+1	4.400008E-1	2.787356E+0						
4.000073E-2	1.501864E+1	4.199999E-1	3.361325E+0						
6.000095E-2	1.462870E+1	3.999997E-1	3.976419E+0						
8.000084E-2	1.420531E+1	3.799998E-1	4.587508E+0						
1.000017E-1	1.378093E+1	3.599996E-1	5.199558E+0						
1.200009E-1	1.332123E+1	3.399997E-1	5.826041E+0						
1.400015E-1	1.282987E+1	3.199998E-1	6.458482E+0						
1.600017E-1	1.231642E+1	2.999993E-1	7.095162E+0						
1.799987E-1	1.174546E+1	2.799997E-1	7.730441E+0						
1.999992E-1	1.113497E+1	2.599992E-1	8.366161E+0						
2.199997E-1	1.056822E+1	2.399986E-1	8.995672E+0						
2.399990E-1	9.943514E+0	2.199984E-1	9.613925E+0						
2.599985E-1	9.283605E+0	1.999995E-1	1.019029E+1						
2.799991E-1	8.643200E+0	1.799987E-1	1.076233E+1						
2.999999E-1	7.995987E+0	1.600010E-1	1.133031E+1						
3.199995E-1	7.369439E+0	1.400015E-1	1.186280E+1						
3.400001E-1	6.748893E+0	1.200006E-1	1.230971E+1						
3.599999E-1	6.121859E+0	1.000004E-1	1.752004E+1						
3.800002E-1	5.513723E+0	8.000084E-2	2.124719E+1						
3.999997E-1	4.939319E+0	5.999997E-2	2.184887E+1						
4.200006E-1	4.363593E+0	4.000106E-2	2.239657E+1						
4.400002E-1	3.796153E+0	2.000019E-2	2.288992E+1						
4.600000E-1	3.194004E+0	2.991177E-7	2.333341E+1						
4.799999E-1	2.484810E+0	-1.999992E-2	2.375788E+1						
4.999998E-1	1.776442E+0	-3.999981E-2	2.408354E+1						
5.199997E-1	1.113939E+0	-6.000002E-2	2.440261E+1						
5.400006E-1	4.644380E-1	-8.000024E-2	2.468638E+1						
5.600005E-1	-1.486136E-1	-1.000008E-1	2.494135E+1						
