## Header ##
[General info]
User	FDN
Device	AI22-1C
Cell area (cm2)	0.09
Test	Stability (JV)
Date	2025-11-20
Time	17:34:47
Note	SMU 1C

[JV Settings]
Vmin (V)	-0.100
Vmax (V)	1.500
Voltage Step (mV)	20.000
Scan Rate (mV/s)	200.000
Auto-detect Voc	Yes
Scan direction	FW then RV
Voltage Range (V)	10 V
Current Range (V)	L
Inverted	No
Auto-range	On

[Cell Settings]
Tipology	Cell
Cell Area (cm2)	0.09
#Cells	1.00
W cell area (cm2)	1.00
#W cells	1.00

## Data ##
Scan	Voc	Jsc	V_MPP	J_MPP	P_MPP	Rs	R//	FF	Eff
	V	mA/cm²	V	mA/cm²	mW/cm²	Ohm	Ohm	%	%
FW	0.716568	17.412815	0.325085	10.891353	3.540612	5.09E+2	1.24E+3	28.38	3.54
RV	0.692094	16.355774	0.340737	9.646946	3.287067	8.01E+2	1.11E+3	29.04	3.29
									
V_FW (V)	J_FW (mA/cm²)	V_RV (V)	J_RV (mA/cm²)						
-9.999876E-2	1.804769E+1	7.200009E-1	-3.441928E-1						
-7.999846E-2	1.793172E+1	6.999999E-1	-1.015296E-1						
-6.000046E-2	1.783824E+1	6.799993E-1	1.645889E-1						
-4.000048E-2	1.772289E+1	6.599990E-1	4.663611E-1						
-1.999985E-2	1.757874E+1	6.400010E-1	8.098634E-1						
7.805530E-7	1.741284E+1	6.200006E-1	1.195403E+0						
2.000141E-2	1.722237E+1	5.999994E-1	1.627722E+0						
3.999942E-2	1.697640E+1	5.799994E-1	2.104843E+0						
6.000005E-2	1.671452E+1	5.599994E-1	2.622973E+0						
8.000068E-2	1.647883E+1	5.400017E-1	3.176496E+0						
1.000010E-1	1.620421E+1	5.200001E-1	3.774542E+0						
1.200006E-1	1.589899E+1	4.999998E-1	4.395954E+0						
1.399986E-1	1.559948E+1	4.799995E-1	5.039235E+0						
1.599999E-1	1.523482E+1	4.599992E-1	5.708065E+0						
1.800002E-1	1.485179E+1	4.399989E-1	6.386693E+0						
2.000009E-1	1.444863E+1	4.200006E-1	7.069901E+0						
2.200008E-1	1.398306E+1	4.000003E-1	7.747854E+0						
2.399995E-1	1.347756E+1	3.799996E-1	8.419891E+0						
2.599995E-1	1.294276E+1	3.599993E-1	9.062180E+0						
2.800001E-1	1.235401E+1	3.399984E-1	9.668136E+0						
3.000004E-1	1.171145E+1	3.200000E-1	1.022246E+1						
3.200010E-1	1.106144E+1	3.000001E-1	1.079978E+1						
3.399984E-1	1.037726E+1	2.800001E-1	1.135088E+1						
3.600000E-1	9.661758E+0	2.599991E-1	1.186177E+1						
3.800000E-1	8.928527E+0	2.399982E-1	1.231619E+1						
4.000009E-1	8.197366E+0	2.200008E-1	1.277315E+1						
4.200012E-1	7.464196E+0	2.000002E-1	1.320675E+1						
4.399992E-1	6.747438E+0	1.799999E-1	1.358876E+1						
4.599992E-1	6.054956E+0	1.599993E-1	1.392084E+1						
4.799998E-1	5.384514E+0	1.399986E-1	1.426114E+1						
5.000011E-1	4.746026E+0	1.200006E-1	1.461485E+1						
5.200008E-1	4.142618E+0	1.000000E-1	1.495886E+1						
5.400014E-1	3.577838E+0	8.000068E-2	1.525035E+1						
5.599994E-1	3.054925E+0	5.999972E-2	1.552262E+1						
5.799997E-1	2.575499E+0	3.999876E-2	1.580652E+1						
5.999997E-1	2.141070E+0	2.000108E-2	1.609974E+1						
6.200006E-1	1.750919E+0	-2.040854E-7	1.635400E+1						
6.400019E-1	1.403641E+0	-2.000018E-2	1.654371E+1						
6.599996E-1	1.096467E+0	-4.000081E-2	1.675987E+1						
6.799996E-1	8.269955E-1	-5.999849E-2	2.561688E+1						
6.999999E-1	4.761782E-1	-7.999846E-2	3.179445E+1						
7.200009E-1	-1.099119E-1	-9.999909E-2	3.220214E+1						
		-1.199994E-1	3.257181E+1						
