time (h),temperature (°C),relative_humidity (%)
0.0000,84.57,84.9
0.1667,85.10,85.2
0.3333,84.43,85.2
0.5000,84.84,85.3
0.6667,85.09,84.8
0.8333,85.08,85.2
1.0000,85.32,84.2
1.1667,84.66,85.3
1.3333,84.41,84.4
1.5000,84.92,84.9
1.6667,84.77,84.5
1.8333,85.26,85.1
2.0000,84.47,85.6
2.1667,85.29,84.7
2.3333,85.32,84.4
2.5000,84.98,84.2
2.6667,85.40,85.3
2.8333,84.81,85.1
3.0000,85.30,84.1
3.1667,85.31,85.3
3.3333,85.05,84.9
3.5000,84.95,84.4
3.6667,84.69,84.7
3.8333,84.89,84.9
4.0000,85.10,84.9
4.1667,85.12,85.5
4.3333,84.94,84.8
4.5000,84.74,85.3
4.6667,85.26,85.2
4.8333,85.49,84.9
5.0000,85.26,84.5
5.1667,85.02,85.4
5.3333,84.57,84.5
5.5000,84.89,85.2
5.6667,85.02,84.5
5.8333,84.62,86.0
6.0000,84.47,84.6
6.1667,85.17,84.3
6.3333,84.98,85.3
6.5000,85.10,85.7
6.6667,84.76,84.1
6.8333,85.12,83.9
7.0000,85.30,85.4
7.1667,85.41,85.8
7.3333,85.15,85.0
7.5000,85.34,85.3
7.6667,85.13,85.9
7.8333,85.07,85.1
8.0000,85.00,85.0
8.1667,85.15,84.5
8.3333,85.03,84.8
8.5000,85.07,85.7
8.6667,85.20,84.2
8.8333,85.41,84.0
9.0000,85.87,84.3
9.1667,85.36,85.3
9.3333,85.68,84.4
9.5000,84.94,84.8
9.6667,85.31,84.9
9.8333,85.02,85.5
10.0000,85.11,85.0
10.1667,85.39,84.1
10.3333,84.51,85.1
10.5000,84.78,85.5
10.6667,84.85,85.1
10.8333,84.84,85.3
11.0000,85.15,84.5
11.1667,85.21,85.4
11.3333,84.41,85.1
11.5000,85.08,86.0
11.6667,84.92,85.2
11.8333,85.02,85.2
12.0000,84.96,84.5
12.1667,84.80,85.4
12.3333,85.14,86.0
12.5000,84.83,84.5
12.6667,85.01,85.6
12.8333,84.59,83.9
13.0000,84.85,84.6
13.1667,85.31,85.2
13.3333,84.90,84.8
13.5000,85.09,86.1
