direction,irradiance (W/m^2),open_circuit_voltage (V),short_circuit_current_density (mA/cm^2),fill_factor (%),efficiency (%),potential_at_maximum_power_point (V),current_density_at_maximum_power_point (mA/cm^2),series_resistance (ohm*cm^2),shunt_resistance (ohm*cm^2)
reverse,1000,1.1146,21.791,84.06,20.417,0.990,20.623,1.561,2985
forward,1000,1.1046,21.573,83.96,20.009,0.980,20.417,1.577,2985

voltage (V),current_density (mA/cm^2),direction
1.150,-31.7343,reverse
1.140,-19.5887,reverse
1.130,-10.2174,reverse
1.120,-2.9867,reverse
1.110,2.5928,reverse
1.100,6.8981,reverse
1.090,10.2205,reverse
1.080,12.7845,reverse
1.070,14.7634,reverse
1.060,16.2910,reverse
1.050,17.4702,reverse
1.040,18.3808,reverse
1.030,19.0841,reverse
1.020,19.6274,reverse
1.010,20.0474,reverse
1.000,20.3722,reverse
0.990,20.6235,reverse
0.980,20.8182,reverse
0.970,20.9691,reverse
0.960,21.0863,reverse
0.950,21.1775,reverse
0.940,21.2487,reverse
0.930,21.3043,reverse
0.920,21.3480,reverse
0.910,21.3824,reverse
0.900,21.4098,reverse
0.890,21.4316,reverse
0.880,21.4493,reverse
0.870,21.4636,reverse
0.860,21.4755,reverse
0.850,21.4854,reverse
0.840,21.4938,reverse
0.830,21.5010,reverse
0.820,21.5074,reverse
0.810,21.5130,reverse
0.800,21.5181,reverse
0.790,21.5229,reverse
0.780,21.5273,reverse
0.770,21.5314,reverse
0.760,21.5354,reverse
0.750,21.5392,reverse
0.740,21.5429,reverse
0.730,21.5466,reverse
0.720,21.5501,reverse
0.710,21.5536,reverse
0.700,21.5571,reverse
0.690,21.5605,reverse
0.680,21.5639,reverse
0.670,21.5673,reverse
0.660,21.5707,reverse
0.650,21.5741,reverse
0.640,21.5774,reverse
0.630,21.5808,reverse
0.620,21.5842,reverse
0.610,21.5875,reverse
0.600,21.5908,reverse
0.590,21.5942,reverse
0.580,21.5975,reverse
0.570,21.6009,reverse
0.560,21.6042,reverse
0.550,21.6075,reverse
0.540,21.6109,reverse
0.530,21.6142,reverse
0.520,21.6175,reverse
0.510,21.6209,reverse
0.500,21.6242,reverse
0.490,21.6275,reverse
0.480,21.6309,reverse
0.470,21.6342,reverse
0.460,21.6375,reverse
0.450,21.6409,reverse
0.440,21.6442,reverse
0.430,21.6475,reverse
0.420,21.6509,reverse
0.410,21.6542,reverse
0.400,21.6575,reverse
0.390,21.6609,reverse
0.380,21.6642,reverse
0.370,21.6675,reverse
0.360,21.6709,reverse
0.350,21.6742,reverse
0.340,21.6775,reverse
0.330,21.6809,reverse
0.320,21.6842,reverse
0.310,21.6875,reverse
0.300,21.6909,reverse
0.290,21.6942,reverse
0.280,21.6975,reverse
0.270,21.7009,reverse
0.260,21.7042,reverse
0.250,21.7075,reverse
0.240,21.7109,reverse
0.230,21.7142,reverse
0.220,21.7175,reverse
0.210,21.7209,reverse
0.200,21.7242,reverse
0.190,21.7275,reverse
0.180,21.7309,reverse
0.170,21.7342,reverse
0.160,21.7375,reverse
0.150,21.7409,reverse
0.140,21.7442,reverse
0.130,21.7475,reverse
0.120,21.7509,reverse
0.110,21.7542,reverse
0.100,21.7575,reverse
0.090,21.7609,reverse
0.080,21.7642,reverse
0.070,21.7675,reverse
0.060,21.7709,reverse
0.050,21.7742,reverse
0.040,21.7775,reverse
0.030,21.7809,reverse
0.020,21.7842,reverse
0.010,21.7875,reverse
-0.000,21.7909,reverse
-0.010,21.7942,reverse
-0.020,21.7975,reverse
-0.030,21.8009,reverse
-0.040,21.8042,reverse
-0.050,21.8075,reverse
-0.060,21.8109,reverse
-0.070,21.8142,reverse
-0.080,21.8175,reverse
-0.090,21.8209,reverse
-0.100,21.8242,reverse
-0.100,21.6063,forward
-0.090,21.6030,forward
-0.080,21.5996,forward
-0.070,21.5963,forward
-0.060,21.5930,forward
-0.050,21.5896,forward
-0.040,21.5863,forward
-0.030,21.5830,forward
-0.020,21.5796,forward
-0.010,21.5763,forward
-0.000,21.5730,forward
0.010,21.5696,forward
0.020,21.5663,forward
0.030,21.5630,forward
0.040,21.5596,forward
0.050,21.5563,forward
0.060,21.5530,forward
0.070,21.5496,forward
0.080,21.5463,forward
0.090,21.5430,forward
0.100,21.5396,forward
0.110,21.5363,forward
0.120,21.5330,forward
0.130,21.5296,forward
0.140,21.5263,forward
0.150,21.5230,forward
0.160,21.5196,forward
0.170,21.5163,forward
0.180,21.5130,forward
0.190,21.5096,forward
0.200,21.5063,forward
0.210,21.5030,forward
0.220,21.4996,forward
0.230,21.4963,forward
0.240,21.4930,forward
0.250,21.4896,forward
0.260,21.4863,forward
0.270,21.4830,forward
0.280,21.4796,forward
0.290,21.4763,forward
0.300,21.4730,forward
0.310,21.4696,forward
0.320,21.4663,forward
0.330,21.4630,forward
0.340,21.4596,forward
0.350,21.4563,forward
0.360,21.4530,forward
0.370,21.4496,forward
0.380,21.4463,forward
0.390,21.4430,forward
0.400,21.4396,forward
0.410,21.4363,forward
0.420,21.4330,forward
0.430,21.4296,forward
0.440,21.4263,forward
0.450,21.4230,forward
0.460,21.4196,forward
0.470,21.4163,forward
0.480,21.4130,forward
0.490,21.4096,forward
0.500,21.4063,forward
0.510,21.4030,forward
0.520,21.3996,forward
0.530,21.3963,forward
0.540,21.3930,forward
0.550,21.3896,forward
0.560,21.3863,forward
0.570,21.3829,forward
0.580,21.3796,forward
0.590,21.3763,forward
0.600,21.3729,forward
0.610,21.3696,forward
0.620,21.3662,forward
0.630,21.3629,forward
0.640,21.3595,forward
0.650,21.3561,forward
0.660,21.3528,forward
0.670,21.3494,forward
0.680,21.3460,forward
0.690,21.3425,forward
0.700,21.3391,forward
0.710,21.3355,forward
0.720,21.3320,forward
0.730,21.3284,forward
0.740,21.3247,forward
0.750,21.3208,forward
0.760,21.3169,forward
0.770,21.3127,forward
0.780,21.3083,forward
0.790,21.3036,forward
0.800,21.2985,forward
0.810,21.2929,forward
0.820,21.2866,forward
0.830,21.2794,forward
0.840,21.2710,forward
0.850,21.2612,forward
0.860,21.2494,forward
0.870,21.2352,forward
0.880,21.2177,forward
0.890,21.1960,forward
