time (h),temperature (°C),irradiance (W/m^2),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.0000,44.74,1002.2,0.9141,20.962,19.161
0.1667,45.05,999.4,0.9122,21.038,19.191
0.3333,45.58,999.0,0.9078,21.060,19.119
0.5000,45.64,1001.0,0.9084,21.018,19.093
0.6667,45.08,1002.0,0.9083,21.144,19.204
0.8333,45.69,1001.9,0.9102,20.975,19.090
1.0000,44.98,1001.9,0.9144,20.726,18.951
1.1667,44.88,1000.5,0.9085,20.830,18.924
1.3333,44.57,1000.8,0.9075,21.221,19.259
1.5000,44.64,1001.0,0.9124,21.069,19.223
1.6667,45.17,1001.2,0.9113,20.669,18.837
1.8333,45.02,1001.9,0.9092,20.888,18.992
2.0000,45.47,1000.7,0.9072,20.833,18.900
2.1667,45.57,1001.2,0.9082,20.917,18.997
2.3333,45.25,1002.1,0.9053,20.979,18.992
2.5000,44.56,999.9,0.9074,20.976,19.033
2.6667,45.11,1001.2,0.9059,21.056,19.074
2.8333,45.39,999.3,0.9067,20.959,19.005
3.0000,44.98,998.1,0.9077,20.659,18.752
3.1667,44.73,1001.5,0.9063,20.667,18.732
3.3333,44.70,999.7,0.9094,20.813,18.926
3.5000,45.85,998.8,0.9095,20.755,18.876
3.6667,45.11,999.8,0.9072,20.658,18.742
3.8333,45.06,1000.4,0.9025,20.684,18.667
4.0000,44.39,1000.4,0.9064,20.721,18.781
4.1667,45.00,1000.9,0.9059,20.843,18.882
4.3333,45.29,1001.2,0.9063,20.861,18.906
4.5000,45.37,1000.6,0.9060,20.587,18.652
4.6667,44.61,1000.3,0.9037,20.902,18.888
4.8333,44.89,1000.1,0.9051,20.782,18.811
5.0000,44.62,998.3,0.9055,20.614,18.665
5.1667,44.91,1000.0,0.9051,20.696,18.732
5.3333,44.53,997.2,0.9079,20.473,18.588
5.5000,44.69,997.1,0.9038,20.611,18.628
5.6667,44.77,1000.2,0.9043,20.680,18.702
5.8333,45.17,1002.0,0.9005,20.737,18.673
6.0000,44.75,998.1,0.9025,20.633,18.620
6.1667,44.88,1001.4,0.9002,20.572,18.518
6.3333,44.64,999.8,0.9045,20.703,18.727
6.5000,44.84,995.7,0.8999,20.701,18.629
6.6667,44.09,1000.5,0.9037,20.586,18.603
6.8333,44.61,1000.6,0.9040,20.444,18.482
7.0000,44.93,997.9,0.9020,20.537,18.525
7.1667,45.10,1002.5,0.9038,20.653,18.666
7.3333,44.70,1002.2,0.9043,20.591,18.621
7.5000,44.81,1000.2,0.9033,20.650,18.654
7.6667,45.02,1002.9,0.9023,20.612,18.598
7.8333,45.02,1001.6,0.8990,20.590,18.511
8.0000,44.74,995.4,0.9008,20.456,18.427
8.1667,45.25,1000.3,0.9009,20.490,18.459
8.3333,45.68,1002.9,0.9025,20.324,18.342
8.5000,45.50,1000.4,0.9017,20.426,18.417
8.6667,44.93,1000.2,0.9035,20.427,18.455
8.8333,44.86,1001.3,0.9020,20.710,18.679
9.0000,45.82,999.9,0.8998,20.548,18.489
9.1667,45.02,1002.7,0.9009,20.622,18.578
9.3333,44.85,996.4,0.9030,20.401,18.422
9.5000,44.88,1003.0,0.8990,20.771,18.673
9.6667,45.18,1000.0,0.8977,20.653,18.540
9.8333,44.65,1000.0,0.8984,20.632,18.536
10.0000,44.99,1000.6,0.9021,20.362,18.369
10.1667,44.56,1000.4,0.8999,20.475,18.426
10.3333,45.22,1000.8,0.9024,20.400,18.408
10.5000,44.57,1001.3,0.9023,20.427,18.432
10.6667,44.75,1000.4,0.8983,20.521,18.435
10.8333,44.83,1003.4,0.9011,20.481,18.456
11.0000,44.47,1000.4,0.9049,20.371,18.433
11.1667,44.82,998.2,0.8998,20.329,18.291
11.3333,44.95,1000.3,0.8987,20.472,18.398
11.5000,45.23,1001.9,0.8981,20.450,18.366
11.6667,45.06,999.6,0.9003,20.341,18.313
11.8333,45.36,999.6,0.8997,20.318,18.280
12.0000,45.21,0.0,0.0000,0.000,0.000
12.1667,45.05,0.0,0.0000,0.000,0.000
12.3333,45.14,0.0,0.0000,0.000,0.000
12.5000,45.20,0.0,0.0000,0.000,0.000
12.6667,44.99,0.0,0.0000,0.000,0.000
12.8333,44.57,0.0,0.0000,0.000,0.000
13.0000,44.97,0.0,0.0000,0.000,0.000
13.1667,44.87,0.0,0.0000,0.000,0.000
13.3333,44.59,0.0,0.0000,0.000,0.000
13.5000,44.59,0.0,0.0000,0.000,0.000
13.6667,44.72,0.0,0.0000,0.000,0.000
13.8333,45.31,0.0,0.0000,0.000,0.000
14.0000,45.09,0.0,0.0000,0.000,0.000
14.1667,45.12,0.0,0.0000,0.000,0.000
14.3333,44.85,0.0,0.0000,0.000,0.000
14.5000,45.11,0.0,0.0000,0.000,0.000
14.6667,45.08,0.0,0.0000,0.000,0.000
14.8333,44.86,0.0,0.0000,0.000,0.000
15.0000,44.94,0.0,0.0000,0.000,0.000
15.1667,45.16,0.0,0.0000,0.000,0.000
15.3333,45.32,0.0,0.0000,0.000,0.000
15.5000,45.09,0.0,0.0000,0.000,0.000
15.6667,44.80,0.0,0.0000,0.000,0.000
15.8333,44.52,0.0,0.0000,0.000,0.000
16.0000,44.93,0.0,0.0000,0.000,0.000
16.1667,45.17,0.0,0.0000,0.000,0.000
16.3333,44.80,0.0,0.0000,0.000,0.000
16.5000,45.55,0.0,0.0000,0.000,0.000
16.6667,44.84,0.0,0.0000,0.000,0.000
16.8333,45.26,0.0,0.0000,0.000,0.000
17.0000,45.30,0.0,0.0000,0.000,0.000
17.1667,45.31,0.0,0.0000,0.000,0.000
17.3333,44.75,0.0,0.0000,0.000,0.000
17.5000,45.08,0.0,0.0000,0.000,0.000
17.6667,45.15,0.0,0.0000,0.000,0.000
17.8333,44.94,0.0,0.0000,0.000,0.000
18.0000,44.86,0.0,0.0000,0.000,0.000
18.1667,44.99,0.0,0.0000,0.000,0.000
18.3333,44.55,0.0,0.0000,0.000,0.000
18.5000,44.73,0.0,0.0000,0.000,0.000
18.6667,44.50,0.0,0.0000,0.000,0.000
18.8333,45.20,0.0,0.0000,0.000,0.000
19.0000,44.59,0.0,0.0000,0.000,0.000
19.1667,44.50,0.0,0.0000,0.000,0.000
19.3333,45.13,0.0,0.0000,0.000,0.000
19.5000,45.06,0.0,0.0000,0.000,0.000
19.6667,44.73,0.0,0.0000,0.000,0.000
19.8333,45.16,0.0,0.0000,0.000,0.000
20.0000,45.09,0.0,0.0000,0.000,0.000
20.1667,45.08,0.0,0.0000,0.000,0.000
20.3333,45.09,0.0,0.0000,0.000,0.000
20.5000,45.32,0.0,0.0000,0.000,0.000
20.6667,45.37,0.0,0.0000,0.000,0.000
20.8333,45.14,0.0,0.0000,0.000,0.000
21.0000,44.97,0.0,0.0000,0.000,0.000
21.1667,44.79,0.0,0.0000,0.000,0.000
21.3333,45.62,0.0,0.0000,0.000,0.000
21.5000,45.59,0.0,0.0000,0.000,0.000
21.6667,44.82,0.0,0.0000,0.000,0.000
21.8333,45.02,0.0,0.0000,0.000,0.000
22.0000,45.20,0.0,0.0000,0.000,0.000
22.1667,44.79,0.0,0.0000,0.000,0.000
22.3333,45.03,0.0,0.0000,0.000,0.000
22.5000,45.19,0.0,0.0000,0.000,0.000
22.6667,45.15,0.0,0.0000,0.000,0.000
22.8333,44.74,0.0,0.0000,0.000,0.000
23.0000,44.60,0.0,0.0000,0.000,0.000
23.1667,44.74,0.0,0.0000,0.000,0.000
23.3333,45.05,0.0,0.0000,0.000,0.000
23.5000,45.32,0.0,0.0000,0.000,0.000
23.6667,45.27,0.0,0.0000,0.000,0.000
23.8333,44.77,0.0,0.0000,0.000,0.000
24.0000,44.79,1000.1,0.8984,20.183,18.132
24.1667,44.84,998.3,0.8992,20.395,18.339
24.3333,44.68,997.9,0.8987,20.477,18.403
24.5000,44.82,999.5,0.8993,20.213,18.179
24.6667,44.37,1000.9,0.8993,20.460,18.399
24.8333,45.28,1002.4,0.8982,20.059,18.017
25.0000,45.25,1000.7,0.8958,20.443,18.313
25.1667,44.55,999.2,0.9004,20.190,18.179
25.3333,45.28,1001.4,0.8940,20.528,18.351
25.5000,44.70,998.1,0.8984,20.228,18.172
25.6667,45.09,997.2,0.8988,20.073,18.042
25.8333,44.86,1003.9,0.8978,20.476,18.383
26.0000,45.34,998.5,0.8961,20.173,18.078
26.1667,45.14,999.3,0.8990,20.325,18.272
26.3333,44.95,1000.2,0.8993,20.294,18.250
26.5000,45.34,1002.0,0.8970,20.467,18.359
26.6667,45.32,998.1,0.8985,20.379,18.311
26.8333,45.30,1002.4,0.8931,20.583,18.382
27.0000,44.76,997.7,0.8973,20.212,18.137
27.1667,44.69,1000.1,0.8982,20.477,18.393
27.3333,44.98,995.4,0.8997,20.288,18.254
27.5000,44.79,998.9,0.8957,20.349,18.227
27.6667,45.68,997.0,0.8958,20.128,18.031
27.8333,44.81,1000.6,0.8978,20.208,18.141
28.0000,44.70,1000.7,0.8985,20.382,18.312
28.1667,44.88,1000.6,0.8968,20.233,18.146
28.3333,45.35,998.2,0.8982,20.049,18.008
28.5000,45.23,1002.9,0.8946,20.548,18.383
28.6667,44.53,1001.7,0.8959,20.358,18.238
28.8333,45.12,1001.1,0.8944,20.261,18.123
29.0000,44.92,1003.5,0.8978,20.354,18.274
29.1667,45.07,1001.8,0.8996,20.289,18.251
29.3333,45.01,1001.7,0.9003,20.261,18.242
29.5000,45.16,997.2,0.8989,20.066,18.037
29.6667,44.48,998.5,0.8953,20.330,18.201
29.8333,45.12,1001.1,0.8971,20.128,18.056
30.0000,44.79,999.1,0.9000,20.172,18.155
30.1667,44.90,996.9,0.8981,20.003,17.964
30.3333,44.87,1001.9,0.9018,20.172,18.190
30.5000,45.08,1002.8,0.8955,20.512,18.368
30.6667,44.83,997.9,0.8989,20.081,18.051
30.8333,45.41,997.1,0.8922,20.116,17.949
31.0000,45.27,998.6,0.8970,20.258,18.171
31.1667,45.72,1001.2,0.8959,20.270,18.160
31.3333,45.21,999.3,0.8982,19.993,17.958
31.5000,44.98,1000.4,0.8926,20.247,18.072
31.6667,44.66,1001.3,0.8998,20.076,18.063
31.8333,45.37,999.2,0.8995,20.016,18.005
32.0000,44.68,1000.7,0.8954,20.389,18.256
32.1667,44.68,1001.4,0.8968,20.146,18.066
32.3333,44.76,998.1,0.8939,20.137,18.001
32.5000,44.62,996.1,0.8963,20.073,17.993
32.6667,45.28,999.5,0.8998,20.127,18.111
32.8333,45.19,1000.2,0.8956,20.235,18.123
33.0000,45.24,1001.5,0.8934,20.243,18.085
33.1667,45.13,1002.5,0.8950,20.314,18.181
33.3333,44.58,1003.3,0.8937,20.282,18.126
33.5000,44.84,1002.2,0.9016,20.112,18.132
33.6667,45.20,999.0,0.8948,20.071,17.959
33.8333,45.04,1001.2,0.8948,20.163,18.042
34.0000,45.15,999.5,0.8946,20.261,18.126
34.1667,44.70,1002.3,0.8940,20.308,18.156
34.3333,44.44,996.0,0.8962,20.109,18.022
34.5000,44.68,997.1,0.8954,20.021,17.926
34.6667,44.72,998.8,0.8954,20.132,18.026
34.8333,45.14,999.9,0.8914,20.194,18.002
35.0000,45.48,997.9,0.8958,19.902,17.828
35.1667,44.97,1001.1,0.8965,20.149,18.063
35.3333,45.12,998.5,0.8920,20.270,18.080
35.5000,44.99,999.1,0.8925,20.113,17.952
35.6667,44.51,997.1,0.8976,20.051,17.998
35.8333,45.35,997.5,0.8928,20.130,17.972
36.0000,45.20,0.0,0.0000,0.000,0.000
36.1667,44.83,0.0,0.0000,0.000,0.000
36.3333,45.63,0.0,0.0000,0.000,0.000
36.5000,45.07,0.0,0.0000,0.000,0.000
36.6667,45.10,0.0,0.0000,0.000,0.000
36.8333,44.90,0.0,0.0000,0.000,0.000
37.0000,45.23,0.0,0.0000,0.000,0.000
37.1667,45.11,0.0,0.0000,0.000,0.000
37.3333,44.47,0.0,0.0000,0.000,0.000
37.5000,44.94,0.0,0.0000,0.000,0.000
37.6667,45.36,0.0,0.0000,0.000,0.000
37.8333,45.32,0.0,0.0000,0.000,0.000
38.0000,44.81,0.0,0.0000,0.000,0.000
38.1667,45.28,0.0,0.0000,0.000,0.000
38.3333,45.34,0.0,0.0000,0.000,0.000
38.5000,44.61,0.0,0.0000,0.000,0.000
38.6667,44.95,0.0,0.0000,0.000,0.000
38.8333,45.39,0.0,0.0000,0.000,0.000
39.0000,45.08,0.0,0.0000,0.000,0.000
39.1667,45.31,0.0,0.0000,0.000,0.000
39.3333,44.89,0.0,0.0000,0.000,0.000
39.5000,45.59,0.0,0.0000,0.000,0.000
39.6667,45.33,0.0,0.0000,0.000,0.000
39.8333,44.58,0.0,0.0000,0.000,0.000
40.0000,44.97,0.0,0.0000,0.000,0.000
40.1667,44.87,0.0,0.0000,0.000,0.000
40.3333,44.94,0.0,0.0000,0.000,0.000
40.5000,45.42,0.0,0.0000,0.000,0.000
40.6667,45.41,0.0,0.0000,0.000,0.000
40.8333,44.68,0.0,0.0000,0.000,0.000
41.0000,45.39,0.0,0.0000,0.000,0.000
41.1667,44.95,0.0,0.0000,0.000,0.000
41.3333,44.75,0.0,0.0000,0.000,0.000
41.5000,45.37,0.0,0.0000,0.000,0.000
41.6667,44.98,0.0,0.0000,0.000,0.000
41.8333,45.80,0.0,0.0000,0.000,0.000
42.0000,45.11,0.0,0.0000,0.000,0.000
42.1667,44.92,0.0,0.0000,0.000,0.000
42.3333,44.78,0.0,0.0000,0.000,0.000
42.5000,44.91,0.0,0.0000,0.000,0.000
42.6667,45.36,0.0,0.0000,0.000,0.000
42.8333,45.14,0.0,0.0000,0.000,0.000
43.0000,44.82,0.0,0.0000,0.000,0.000
43.1667,44.91,0.0,0.0000,0.000,0.000
43.3333,45.31,0.0,0.0000,0.000,0.000
43.5000,44.96,0.0,0.0000,0.000,0.000
43.6667,44.98,0.0,0.0000,0.000,0.000
43.8333,45.39,0.0,0.0000,0.000,0.000
44.0000,44.88,0.0,0.0000,0.000,0.000
44.1667,45.23,0.0,0.0000,0.000,0.000
44.3333,45.36,0.0,0.0000,0.000,0.000
44.5000,45.36,0.0,0.0000,0.000,0.000
44.6667,45.22,0.0,0.0000,0.000,0.000
44.8333,45.17,0.0,0.0000,0.000,0.000
45.0000,44.82,0.0,0.0000,0.000,0.000
45.1667,45.23,0.0,0.0000,0.000,0.000
45.3333,45.25,0.0,0.0000,0.000,0.000
45.5000,44.88,0.0,0.0000,0.000,0.000
