voltage (V),current_density (mA/cm^2),direction
1.150,-30.7107,reverse
1.140,-18.6927,reverse
1.130,-9.4199,reverse
1.120,-2.2650,reverse
1.110,3.2558,reverse
1.100,7.5160,reverse
1.090,10.8035,reverse
1.080,13.3406,reverse
1.070,15.2987,reverse
1.060,16.8103,reverse
1.050,17.9772,reverse
1.040,18.8782,reverse
1.030,19.5742,reverse
1.020,20.1118,reverse
1.010,20.5274,reverse
1.000,20.8488,reverse
0.990,21.0975,reverse
0.980,21.2902,reverse
0.970,21.4396,reverse
0.960,21.5556,reverse
0.950,21.6459,reverse
0.940,21.7163,reverse
0.930,21.7714,reverse
0.920,21.8146,reverse
0.910,21.8488,reverse
0.900,21.8759,reverse
0.890,21.8975,reverse
0.880,21.9150,reverse
0.870,21.9293,reverse
0.860,21.9410,reverse
0.850,21.9508,reverse
0.840,21.9592,reverse
0.830,21.9664,reverse
0.820,21.9727,reverse
0.810,21.9783,reverse
0.800,21.9835,reverse
0.790,21.9882,reverse
0.780,21.9925,reverse
0.770,21.9967,reverse
0.760,22.0007,reverse
0.750,22.0045,reverse
0.740,22.0082,reverse
0.730,22.0118,reverse
0.720,22.0154,reverse
0.710,22.0189,reverse
0.700,22.0223,reverse
0.690,22.0258,reverse
0.680,22.0292,reverse
0.670,22.0326,reverse
0.660,22.0360,reverse
0.650,22.0393,reverse
0.640,22.0427,reverse
0.630,22.0460,reverse
0.620,22.0494,reverse
0.610,22.0527,reverse
0.600,22.0561,reverse
0.590,22.0594,reverse
0.580,22.0628,reverse
0.570,22.0661,reverse
0.560,22.0694,reverse
0.550,22.0728,reverse
0.540,22.0761,reverse
0.530,22.0794,reverse
0.520,22.0828,reverse
0.510,22.0861,reverse
0.500,22.0894,reverse
0.490,22.0928,reverse
0.480,22.0961,reverse
0.470,22.0994,reverse
0.460,22.1028,reverse
0.450,22.1061,reverse
0.440,22.1094,reverse
0.430,22.1128,reverse
0.420,22.1161,reverse
0.410,22.1194,reverse
0.400,22.1228,reverse
0.390,22.1261,reverse
0.380,22.1294,reverse
0.370,22.1328,reverse
0.360,22.1361,reverse
0.350,22.1394,reverse
0.340,22.1428,reverse
0.330,22.1461,reverse
0.320,22.1494,reverse
0.310,22.1528,reverse
0.300,22.1561,reverse
0.290,22.1594,reverse
0.280,22.1628,reverse
0.270,22.1661,reverse
0.260,22.1694,reverse
0.250,22.1728,reverse
0.240,22.1761,reverse
0.230,22.1794,reverse
0.220,22.1828,reverse
0.210,22.1861,reverse
0.200,22.1894,reverse
0.190,22.1928,reverse
0.180,22.1961,reverse
0.170,22.1994,reverse
0.160,22.2028,reverse
0.150,22.2061,reverse
0.140,22.2094,reverse
0.130,22.2128,reverse
0.120,22.2161,reverse
0.110,22.2194,reverse
0.100,22.2228,reverse
0.090,22.2261,reverse
0.080,22.2294,reverse
0.070,22.2328,reverse
0.060,22.2361,reverse
0.050,22.2394,reverse
0.040,22.2428,reverse
0.030,22.2461,reverse
0.020,22.2494,reverse
0.010,22.2528,reverse
-0.000,22.2561,reverse
-0.010,22.2594,reverse
-0.020,22.2628,reverse
-0.030,22.2661,reverse
-0.040,22.2694,reverse
-0.050,22.2728,reverse
-0.060,22.2761,reverse
-0.070,22.2794,reverse
-0.080,22.2828,reverse
-0.090,22.2861,reverse
-0.100,22.2894,reverse
-0.100,22.0669,forward
-0.090,22.0636,forward
-0.080,22.0602,forward
-0.070,22.0569,forward
-0.060,22.0536,forward
-0.050,22.0502,forward
-0.040,22.0469,forward
-0.030,22.0436,forward
-0.020,22.0402,forward
-0.010,22.0369,forward
-0.000,22.0336,forward
0.010,22.0302,forward
0.020,22.0269,forward
0.030,22.0236,forward
0.040,22.0202,forward
0.050,22.0169,forward
0.060,22.0136,forward
0.070,22.0102,forward
0.080,22.0069,forward
0.090,22.0036,forward
0.100,22.0002,forward
0.110,21.9969,forward
0.120,21.9936,forward
0.130,21.9902,forward
0.140,21.9869,forward
0.150,21.9836,forward
0.160,21.9802,forward
0.170,21.9769,forward
0.180,21.9736,forward
0.190,21.9702,forward
0.200,21.9669,forward
0.210,21.9636,forward
0.220,21.9602,forward
