time (h),temperature (°C),relative_humidity (%)
0.0000,23.00,39.4
0.1667,23.17,41.3
0.3333,23.07,39.9
0.5000,23.17,40.0
0.6667,23.25,38.4
0.8333,23.30,37.8
1.0000,23.47,38.9
1.1667,23.27,38.8
1.3333,23.17,36.9
1.5000,23.51,38.1
1.6667,23.30,35.9
1.8333,23.58,37.0
2.0000,23.80,38.5
2.1667,23.35,38.8
2.3333,24.05,38.1
2.5000,23.42,38.8
2.6667,23.79,36.6
2.8333,23.88,38.1
3.0000,23.53,37.5
3.1667,23.53,35.8
3.3333,24.00,35.7
3.5000,23.84,36.9
3.6667,23.83,35.0
3.8333,23.82,35.9
4.0000,23.86,38.0
4.1667,23.78,36.3
4.3333,23.91,37.4
4.5000,23.60,37.0
4.6667,24.16,37.2
4.8333,23.60,35.0
5.0000,23.69,36.2
5.1667,23.91,37.1
5.3333,24.18,36.8
5.5000,23.94,37.4
5.6667,23.76,36.4
5.8333,24.31,37.2
6.0000,24.09,36.5
6.1667,24.15,36.8
6.3333,24.09,36.0
6.5000,24.48,36.8
6.6667,23.54,37.2
6.8333,24.03,37.2
7.0000,24.20,36.7
7.1667,23.73,35.4
7.3333,23.98,37.9
7.5000,24.01,36.9
7.6667,23.65,36.6
7.8333,24.25,37.2
8.0000,23.73,38.2
8.1667,23.99,37.4
8.3333,24.14,37.0
8.5000,23.41,38.8
8.6667,23.59,38.7
8.8333,24.27,38.2
9.0000,23.93,39.2
9.1667,23.98,38.2
9.3333,23.70,39.1
9.5000,23.65,39.1
9.6667,23.32,38.5
9.8333,23.03,39.9
10.0000,23.19,38.9
10.1667,23.29,38.9
10.3333,23.02,39.2
10.5000,23.49,39.7
10.6667,23.27,40.9
10.8333,23.26,41.5
11.0000,23.17,42.5
11.1667,23.01,40.6
11.3333,22.70,41.8
11.5000,23.23,42.4
11.6667,22.83,43.4
11.8333,22.58,42.2
12.0000,22.96,42.4
12.1667,23.11,43.2
12.3333,23.05,42.3
12.5000,23.13,43.3
12.6667,22.79,44.0
12.8333,22.75,45.3
13.0000,22.63,43.4
13.1667,22.60,44.6
13.3333,22.65,44.5
13.5000,22.73,44.7
13.6667,22.68,44.4
13.8333,22.28,45.9
14.0000,22.52,46.8
14.1667,22.82,46.9
14.3333,22.76,45.9
14.5000,22.69,46.3
14.6667,22.20,47.1
14.8333,22.10,46.3
15.0000,22.31,46.8
15.1667,21.91,46.9
15.3333,22.52,46.9
15.5000,22.01,47.3
15.6667,21.94,46.3
15.8333,22.19,47.2
16.0000,22.18,46.6
