direction,irradiance (W/m^2),open_circuit_voltage (V),short_circuit_current_density (mA/cm^2),fill_factor (%),efficiency (%),potential_at_maximum_power_point (V),current_density_at_maximum_power_point (mA/cm^2),series_resistance (ohm*cm^2),shunt_resistance (ohm*cm^2)
reverse,1000,1.1180,23.037,84.15,21.673,0.990,21.892,1.605,2985
forward,1000,1.1080,22.806,84.05,21.240,0.980,21.673,1.621,3030

voltage (V),current_density (mA/cm^2),direction
1.150,-29.0317,reverse
1.140,-17.2189,reverse
1.130,-8.1045,reverse
1.120,-1.0718,reverse
1.110,4.3547,reverse
1.100,8.5421,reverse
1.090,11.7735,reverse
1.080,14.2673,reverse
1.070,16.1921,reverse
1.060,17.6778,reverse
1.050,18.8249,reverse
1.040,19.7106,reverse
1.030,20.3947,reverse
1.020,20.9232,reverse
1.010,21.3318,reverse
1.000,21.6477,reverse
0.990,21.8922,reverse
0.980,22.0817,reverse
0.970,22.2286,reverse
0.960,22.3427,reverse
0.950,22.4314,reverse
0.940,22.5007,reverse
0.930,22.5549,reverse
0.920,22.5975,reverse
0.910,22.6311,reverse
0.900,22.6578,reverse
0.890,22.6791,reverse
0.880,22.6964,reverse
0.870,22.7104,reverse
0.860,22.7220,reverse
0.850,22.7318,reverse
0.840,22.7400,reverse
0.830,22.7472,reverse
0.820,22.7534,reverse
0.810,22.7590,reverse
0.800,22.7641,reverse
0.790,22.7688,reverse
0.780,22.7731,reverse
0.770,22.7773,reverse
0.760,22.7812,reverse
0.750,22.7850,reverse
0.740,22.7887,reverse
0.730,22.7924,reverse
0.720,22.7959,reverse
0.710,22.7994,reverse
0.700,22.8029,reverse
0.690,22.8063,reverse
0.680,22.8097,reverse
0.670,22.8131,reverse
0.660,22.8165,reverse
0.650,22.8199,reverse
0.640,22.8232,reverse
0.630,22.8266,reverse
0.620,22.8299,reverse
0.610,22.8333,reverse
0.600,22.8366,reverse
0.590,22.8400,reverse
0.580,22.8433,reverse
0.570,22.8466,reverse
0.560,22.8500,reverse
0.550,22.8533,reverse
0.540,22.8566,reverse
0.530,22.8600,reverse
0.520,22.8633,reverse
0.510,22.8666,reverse
0.500,22.8700,reverse
0.490,22.8733,reverse
0.480,22.8767,reverse
0.470,22.8800,reverse
0.460,22.8833,reverse
0.450,22.8867,reverse
0.440,22.8900,reverse
0.430,22.8933,reverse
0.420,22.8967,reverse
0.410,22.9000,reverse
0.400,22.9033,reverse
0.390,22.9067,reverse
0.380,22.9100,reverse
0.370,22.9133,reverse
0.360,22.9167,reverse
0.350,22.9200,reverse
0.340,22.9233,reverse
0.330,22.9267,reverse
0.320,22.9300,reverse
0.310,22.9333,reverse
0.300,22.9367,reverse
0.290,22.9400,reverse
0.280,22.9433,reverse
0.270,22.9467,reverse
0.260,22.9500,reverse
0.250,22.9533,reverse
0.240,22.9567,reverse
0.230,22.9600,reverse
0.220,22.9633,reverse
0.210,22.9667,reverse
0.200,22.9700,reverse
