voltage (V),current_density (mA/cm^2),direction
1.150,-30.0361,reverse
1.140,-18.1011,reverse
1.130,-8.8924,reverse
1.120,-1.7870,reverse
1.110,3.6957,reverse
1.100,7.9264,reverse
1.090,11.1912,reverse
1.080,13.7108,reverse
1.070,15.6554,reverse
1.060,17.1565,reverse
1.050,18.3154,reverse
1.040,19.2102,reverse
1.030,19.9014,reverse
1.020,20.4353,reverse
1.010,20.8481,reverse
1.000,21.1673,reverse
0.990,21.4143,reverse
0.980,21.6056,reverse
0.970,21.7540,reverse
0.960,21.8693,reverse
0.950,21.9589,reverse
0.940,22.0289,reverse
0.930,22.0836,reverse
0.920,22.1266,reverse
0.910,22.1605,reverse
0.900,22.1875,reverse
0.890,22.2090,reverse
0.880,22.2264,reverse
0.870,22.2406,reverse
0.860,22.2522,reverse
0.850,22.2620,reverse
0.840,22.2703,reverse
0.830,22.2775,reverse
0.820,22.2838,reverse
0.810,22.2894,reverse
0.800,22.2945,reverse
0.790,22.2992,reverse
0.780,22.3036,reverse
0.770,22.3077,reverse
0.760,22.3117,reverse
0.750,22.3155,reverse
0.740,22.3192,reverse
0.730,22.3228,reverse
0.720,22.3264,reverse
0.710,22.3299,reverse
0.700,22.3334,reverse
0.690,22.3368,reverse
0.680,22.3402,reverse
0.670,22.3436,reverse
0.660,22.3470,reverse
0.650,22.3504,reverse
0.640,22.3537,reverse
0.630,22.3571,reverse
0.620,22.3604,reverse
0.610,22.3638,reverse
0.600,22.3671,reverse
0.590,22.3705,reverse
0.580,22.3738,reverse
0.570,22.3771,reverse
0.560,22.3805,reverse
0.550,22.3838,reverse
0.540,22.3871,reverse
0.530,22.3905,reverse
0.520,22.3938,reverse
0.510,22.3971,reverse
0.500,22.4005,reverse
0.490,22.4038,reverse
0.480,22.4071,reverse
0.470,22.4105,reverse
0.460,22.4138,reverse
0.450,22.4171,reverse
0.440,22.4205,reverse
0.430,22.4238,reverse
0.420,22.4271,reverse
0.410,22.4305,reverse
0.400,22.4338,reverse
0.390,22.4371,reverse
0.380,22.4405,reverse
0.370,22.4438,reverse
0.360,22.4471,reverse
0.350,22.4505,reverse
0.340,22.4538,reverse
0.330,22.4571,reverse
0.320,22.4605,reverse
0.310,22.4638,reverse
0.300,22.4671,reverse
0.290,22.4705,reverse
0.280,22.4738,reverse
0.270,22.4771,reverse
0.260,22.4805,reverse
0.250,22.4838,reverse
0.240,22.4871,reverse
0.230,22.4905,reverse
0.220,22.4938,reverse
0.210,22.4971,reverse
0.200,22.5005,reverse
0.190,22.5038,reverse
0.180,22.5071,reverse
0.170,22.5105,reverse
0.160,22.5138,reverse
0.150,22.5171,reverse
0.140,22.5205,reverse
0.130,22.5238,reverse
0.120,22.5271,reverse
0.110,22.5305,reverse
0.100,22.5338,reverse
0.090,22.5371,reverse
0.080,22.5405,reverse
0.070,22.5438,reverse
0.060,22.5471,reverse
0.050,22.5505,reverse
0.040,22.5538,reverse
0.030,22.5571,reverse
0.020,22.5605,reverse
0.010,22.5638,reverse
-0.000,22.5671,reverse
-0.010,22.5705,reverse
-0.020,22.5738,reverse
-0.030,22.5771,reverse
-0.040,22.5805,reverse
-0.050,22.5838,reverse
-0.060,22.5871,reverse
-0.070,22.5905,reverse
-0.080,22.5938,reverse
-0.090,22.5971,reverse
-0.100,22.6005,reverse
