direction,irradiance (W/m^2),open_circuit_voltage (V),short_circuit_current_density (mA/cm^2),fill_factor (%),efficiency (%),potential_at_maximum_power_point (V),current_density_at_maximum_power_point (mA/cm^2),series_resistance (ohm*cm^2),shunt_resistance (ohm*cm^2)
reverse,1000,1.1172,22.727,84.13,21.362,0.990,21.578,1.594,2985
forward,1000,1.1072,22.500,84.04,20.935,0.980,21.362,1.611,2985

voltage (V),current_density (mA/cm^2),direction
1.150,-29.6913,reverse
1.140,-17.7985,reverse
1.130,-8.6223,reverse
1.120,-1.5420,reverse
1.110,3.9213,reverse
1.100,8.1371,reverse
1.090,11.3904,reverse
1.080,13.9011,reverse
1.070,15.8389,reverse
1.060,17.3347,reverse
1.050,18.4894,reverse
1.040,19.3811,reverse
1.030,20.0699,reverse
1.020,20.6020,reverse
1.010,21.0133,reverse
1.000,21.3313,reverse
0.990,21.5775,reverse
0.980,21.7682,reverse
0.970,21.9160,reverse
0.960,22.0309,reverse
0.950,22.1203,reverse
0.940,22.1900,reverse
0.930,22.2445,reverse
0.920,22.2874,reverse
0.910,22.3212,reverse
0.900,22.3480,reverse
0.890,22.3695,reverse
0.880,22.3868,reverse
0.870,22.4010,reverse
0.860,22.4126,reverse
0.850,22.4224,reverse
0.840,22.4307,reverse
0.830,22.4378,reverse
0.820,22.4441,reverse
0.810,22.4497,reverse
0.800,22.4548,reverse
0.790,22.4595,reverse
0.780,22.4639,reverse
0.770,22.4680,reverse
0.760,22.4720,reverse
0.750,22.4758,reverse
0.740,22.4795,reverse
0.730,22.4831,reverse
0.720,22.4867,reverse
0.710,22.4902,reverse
0.700,22.4937,reverse
0.690,22.4971,reverse
0.680,22.5005,reverse
0.670,22.5039,reverse
0.660,22.5073,reverse
0.650,22.5106,reverse
0.640,22.5140,reverse
0.630,22.5174,reverse
0.620,22.5207,reverse
0.610,22.5241,reverse
0.600,22.5274,reverse
0.590,22.5307,reverse
0.580,22.5341,reverse
0.570,22.5374,reverse
0.560,22.5408,reverse
0.550,22.5441,reverse
0.540,22.5474,reverse
0.530,22.5508,reverse
0.520,22.5541,reverse
0.510,22.5574,reverse
0.500,22.5608,reverse
0.490,22.5641,reverse
0.480,22.5674,reverse
0.470,22.5708,reverse
