time (h),temperature (°C),relative_humidity (%)
0.0000,65.00,84.7
0.1667,65.08,85.3
0.3333,65.15,84.8
0.5000,65.00,85.7
0.6667,64.73,84.9
0.8333,64.90,84.9
1.0000,65.76,84.8
1.1667,64.99,85.4
1.3333,65.23,84.9
1.5000,64.82,85.1
1.6667,65.14,85.1
1.8333,65.06,84.7
2.0000,64.70,86.1
2.1667,64.82,85.4
2.3333,65.37,84.9
2.5000,64.81,84.3
2.6667,65.51,85.3
2.8333,65.40,85.8
3.0000,65.29,84.0
3.1667,64.50,86.0
3.3333,65.23,84.0
3.5000,65.13,84.5
3.6667,64.91,85.5
3.8333,64.93,85.4
4.0000,64.58,84.3
4.1667,64.83,84.2
4.3333,64.94,84.6
4.5000,64.88,85.8
4.6667,64.95,85.0
4.8333,65.25,86.1
5.0000,65.09,85.2
5.1667,65.18,85.5
5.3333,64.81,85.0
5.5000,64.48,84.7
5.6667,64.74,85.3
5.8333,65.29,85.6
6.0000,65.16,84.9
6.1667,65.21,84.7
6.3333,65.18,84.7
6.5000,64.89,85.0
6.6667,64.93,84.7
6.8333,65.29,85.2
7.0000,65.18,85.9
7.1667,64.95,84.4
7.3333,65.15,85.3
7.5000,65.05,85.3
7.6667,64.68,85.0
7.8333,64.74,85.0
8.0000,64.92,85.0
8.1667,65.18,84.9
8.3333,64.63,85.8
8.5000,64.88,84.8
8.6667,64.74,85.6
8.8333,65.11,84.7
9.0000,64.50,84.4
9.1667,64.98,84.1
9.3333,64.85,84.8
9.5000,65.03,85.4
9.6667,65.41,84.8
9.8333,64.64,85.2
10.0000,65.05,84.8
10.1667,64.56,85.6
10.3333,64.91,84.6
10.5000,65.19,85.2
10.6667,65.30,85.2
10.8333,65.05,85.0
11.0000,65.13,85.1
11.1667,65.32,85.6
11.3333,65.05,85.1
11.5000,64.97,84.6
11.6667,65.28,84.5
11.8333,64.79,85.3
12.0000,64.80,85.0
12.1667,64.45,84.5
12.3333,64.58,85.2
12.5000,65.00,85.8
12.6667,65.30,85.8
12.8333,65.13,84.8
13.0000,64.77,84.9
13.1667,64.64,84.6
13.3333,64.59,84.7
13.5000,65.27,84.0
13.6667,65.19,84.9
13.8333,65.11,84.1
14.0000,64.96,83.7
14.1667,64.96,84.4
14.3333,64.75,85.0
14.5000,65.03,84.3
14.6667,64.80,84.8
14.8333,65.45,85.7
15.0000,64.55,84.9
15.1667,64.85,85.1
15.3333,65.00,84.1
15.5000,64.84,85.3
15.6667,65.19,84.6
15.8333,65.37,85.0
16.0000,65.04,85.6
16.1667,64.42,85.3
16.3333,64.91,85.6
16.5000,65.26,84.9
16.6667,64.50,85.3
16.8333,65.13,84.8
17.0000,64.85,85.7
17.1667,65.22,85.5
17.3333,65.20,84.4
17.5000,64.66,85.1
17.6667,65.08,84.9
17.8333,65.27,85.4
18.0000,63.90,85.3
18.1667,64.44,84.8
18.3333,65.29,85.2
18.5000,64.90,84.3
18.6667,65.11,84.6
18.8333,64.38,85.6
19.0000,64.93,84.6
19.1667,64.42,85.0
19.3333,65.15,85.0
19.5000,64.57,85.2
19.6667,64.79,84.9
19.8333,64.66,85.7
20.0000,65.10,85.1
20.1667,65.27,84.9
20.3333,65.12,84.5
20.5000,64.90,85.3
20.6667,65.14,85.8
20.8333,64.71,85.6
21.0000,64.79,85.6
21.1667,65.12,85.2
21.3333,64.93,84.9
21.5000,65.20,84.5
21.6667,65.22,84.9
21.8333,64.92,85.4
22.0000,65.29,85.7
22.1667,64.85,85.5
22.3333,65.10,85.1
22.5000,65.28,85.7
22.6667,65.24,84.8
22.8333,65.58,84.7
23.0000,64.82,84.5
23.1667,64.89,84.4
23.3333,64.91,85.3
23.5000,64.48,85.2
23.6667,65.18,84.5
23.8333,64.78,85.0
24.0000,64.52,85.0
24.1667,65.42,84.5
24.3333,65.29,84.7
24.5000,65.36,85.1
24.6667,65.45,85.3
24.8333,64.81,84.9
25.0000,65.12,84.3
25.1667,65.33,84.9
25.3333,64.86,85.5
25.5000,65.05,85.7
25.6667,65.43,85.6
25.8333,65.05,84.4
26.0000,65.63,84.4
26.1667,65.09,84.9
26.3333,64.90,85.1
26.5000,64.63,85.2
26.6667,64.80,85.1
26.8333,65.00,84.6
27.0000,64.83,84.4
27.1667,65.23,85.3
27.3333,65.07,84.6
27.5000,64.55,84.5
27.6667,65.47,84.9
27.8333,64.98,84.6
28.0000,65.10,84.9
28.1667,65.13,86.0
28.3333,65.62,84.8
28.5000,65.52,85.0
28.6667,64.70,84.7
28.8333,64.61,84.5
29.0000,64.90,84.9
29.1667,64.77,84.8
29.3333,65.44,84.8
29.5000,65.27,85.1
29.6667,64.99,84.9
29.8333,65.11,85.0
30.0000,65.15,84.5
30.1667,64.20,85.8
30.3333,65.05,85.0
30.5000,64.72,85.8
30.6667,64.97,85.8
30.8333,64.82,85.3
31.0000,64.71,84.7
31.1667,65.20,84.6
31.3333,65.06,84.8
31.5000,65.00,85.1
31.6667,64.65,84.6
31.8333,64.77,85.8
32.0000,65.41,84.4
32.1667,65.03,84.4
32.3333,64.70,84.8
32.5000,64.75,84.3
32.6667,64.81,84.8
32.8333,64.98,85.1
33.0000,65.06,85.6
33.1667,64.91,84.5
33.3333,64.96,84.5
33.5000,64.41,84.9
33.6667,64.28,85.2
33.8333,64.92,85.2
34.0000,64.80,84.7
34.1667,65.44,84.5
34.3333,64.76,84.7
34.5000,65.35,85.5
34.6667,64.61,85.2
34.8333,65.30,84.5
35.0000,64.56,84.7
35.1667,65.14,85.1
35.3333,64.89,85.2
35.5000,65.02,85.7
35.6667,64.75,84.9
35.8333,65.19,84.7
36.0000,64.81,84.1
36.1667,65.21,85.1
36.3333,64.87,85.5
36.5000,65.06,84.9
36.6667,64.82,84.8
36.8333,65.24,84.8
37.0000,64.52,84.6
37.1667,65.20,84.5
37.3333,64.93,84.8
37.5000,65.34,84.7
37.6667,65.22,85.0
37.8333,65.13,85.3
38.0000,65.02,85.0
38.1667,64.97,85.4
38.3333,65.52,84.5
38.5000,65.28,85.2
38.6667,65.23,85.4
38.8333,65.24,84.8
39.0000,64.88,84.9
39.1667,65.20,84.7
39.3333,64.96,85.1
39.5000,65.50,85.5
39.6667,64.75,84.4
39.8333,64.46,84.5
40.0000,65.33,85.2
40.1667,64.70,85.9
40.3333,64.87,85.4
40.5000,65.15,84.9
40.6667,65.82,84.8
40.8333,65.33,84.9
41.0000,65.33,85.1
41.1667,64.59,84.5
41.3333,65.16,85.5
41.5000,64.74,84.7
41.6667,65.29,85.4
41.8333,64.97,85.4
42.0000,64.27,84.0
42.1667,65.20,84.5
42.3333,64.48,85.6
42.5000,64.75,85.0
42.6667,65.22,84.8
42.8333,64.99,85.5
43.0000,64.31,84.8
43.1667,65.13,85.0
43.3333,65.51,84.4
43.5000,65.32,85.2
43.6667,64.81,84.7
43.8333,64.77,84.7
44.0000,64.85,84.4
44.1667,65.12,84.9
44.3333,64.96,84.3
44.5000,64.67,85.5
44.6667,64.86,84.3
44.8333,64.95,85.1
45.0000,65.25,84.9
45.1667,64.84,85.9
45.3333,64.39,85.7
45.5000,64.33,85.1
45.6667,64.88,84.7
45.8333,64.80,85.0
46.0000,64.94,84.3
46.1667,65.03,85.2
46.3333,65.27,84.5
46.5000,65.04,85.0
46.6667,65.19,84.7
46.8333,64.69,84.7
47.0000,65.10,85.4
47.1667,64.92,85.3
47.3333,65.02,84.6
47.5000,64.89,84.6
47.6667,65.29,85.2
47.8333,64.39,84.7
48.0000,64.51,84.5
48.1667,64.23,85.3
48.3333,65.29,85.6
48.5000,65.24,84.9
48.6667,64.74,84.5
48.8333,64.77,84.4
49.0000,64.83,84.8
49.1667,65.26,85.1
49.3333,65.11,84.5
49.5000,65.16,85.3
49.6667,64.90,84.9
49.8333,65.25,85.8
50.0000,64.94,85.3
50.1667,65.10,84.5
50.3333,64.24,84.2
50.5000,64.74,85.5
50.6667,64.23,85.2
50.8333,65.07,84.9
51.0000,64.76,84.7
51.1667,65.21,85.2
51.3333,64.81,85.4
51.5000,65.20,85.2
51.6667,65.20,84.8
51.8333,65.36,85.1
52.0000,64.54,84.6
52.1667,65.15,85.1
52.3333,64.76,84.9
52.5000,65.13,85.5
52.6667,65.29,84.7
52.8333,65.01,84.6
53.0000,64.95,84.6
53.1667,65.19,85.1
53.3333,64.89,85.1
53.5000,65.35,85.3
53.6667,65.14,85.4
53.8333,65.22,84.8
54.0000,64.92,84.9
54.1667,65.23,85.1
54.3333,64.50,85.1
54.5000,64.13,85.1
54.6667,64.88,85.8
54.8333,64.99,84.7
55.0000,65.04,85.3
55.1667,65.02,84.7
55.3333,64.97,85.5
55.5000,64.69,85.5
55.6667,64.55,86.0
55.8333,64.91,85.4
56.0000,65.03,85.1
56.1667,64.79,85.3
56.3333,65.17,84.8
56.5000,64.94,85.7
56.6667,64.48,85.3
56.8333,64.56,85.1
57.0000,65.48,85.1
57.1667,65.37,85.4
57.3333,64.80,85.5
57.5000,65.04,84.8
57.6667,65.12,84.9
57.8333,65.04,85.2
58.0000,64.97,85.6
58.1667,64.64,85.8
58.3333,65.05,85.2
58.5000,65.07,85.6
58.6667,64.79,85.0
58.8333,64.87,85.2
59.0000,65.56,85.3
59.1667,65.12,85.1
59.3333,65.59,84.3
59.5000,64.82,85.1
59.6667,65.17,84.6
59.8333,65.29,85.8
60.0000,64.97,85.6
60.1667,64.93,85.3
60.3333,64.57,84.3
60.5000,64.95,83.5
60.6667,64.79,84.3
60.8333,64.61,85.3
61.0000,64.86,84.8
61.1667,64.95,84.8
61.3333,65.32,85.3
61.5000,65.07,84.9
61.6667,65.17,84.9
61.8333,65.60,85.0
62.0000,64.93,85.0
62.1667,64.85,85.0
62.3333,65.16,84.0
62.5000,64.67,85.3
62.6667,64.63,85.7
62.8333,65.22,85.6
