voltage (V),current_density (mA/cm^2),direction
1.150,-30.2707,reverse
1.140,-18.3070,reverse
1.130,-9.0760,reverse
1.120,-1.9535,reverse
1.110,3.5424,reverse
1.100,7.7833,reverse
1.090,11.0560,reverse
1.080,13.5817,reverse
1.070,15.5310,reverse
1.060,17.0357,reverse
1.050,18.1974,reverse
1.040,19.0944,reverse
1.030,19.7872,reverse
1.020,20.3224,reverse
1.010,20.7362,reverse
1.000,21.0561,reverse
0.990,21.3037,reverse
0.980,21.4955,reverse
0.970,21.6443,reverse
0.960,21.7598,reverse
0.950,21.8497,reverse
0.940,21.9198,reverse
0.930,21.9746,reverse
0.920,22.0177,reverse
0.910,22.0517,reverse
0.900,22.0787,reverse
0.890,22.1003,reverse
0.880,22.1177,reverse
0.870,22.1319,reverse
0.860,22.1436,reverse
0.850,22.1534,reverse
0.840,22.1617,reverse
0.830,22.1689,reverse
0.820,22.1752,reverse
0.810,22.1808,reverse
0.800,22.1859,reverse
0.790,22.1906,reverse
0.780,22.1950,reverse
0.770,22.1992,reverse
0.760,22.2031,reverse
0.750,22.2069,reverse
0.740,22.2106,reverse
0.730,22.2143,reverse
0.720,22.2178,reverse
0.710,22.2213,reverse
0.700,22.2248,reverse
0.690,22.2282,reverse
0.680,22.2316,reverse
0.670,22.2350,reverse
0.660,22.2384,reverse
0.650,22.2418,reverse
0.640,22.2451,reverse
0.630,22.2485,reverse
0.620,22.2518,reverse
0.610,22.2552,reverse
0.600,22.2585,reverse
0.590,22.2619,reverse
0.580,22.2652,reverse
0.570,22.2685,reverse
0.560,22.2719,reverse
0.550,22.2752,reverse
0.540,22.2786,reverse
0.530,22.2819,reverse
0.520,22.2852,reverse
0.510,22.2886,reverse
0.500,22.2919,reverse
0.490,22.2952,reverse
0.480,22.2986,reverse
0.470,22.3019,reverse
0.460,22.3052,reverse
0.450,22.3086,reverse
0.440,22.3119,reverse
0.430,22.3152,reverse
0.420,22.3186,reverse
0.410,22.3219,reverse
0.400,22.3252,reverse
0.390,22.3286,reverse
0.380,22.3319,reverse
0.370,22.3352,reverse
0.360,22.3386,reverse
0.350,22.3419,reverse
0.340,22.3452,reverse
0.330,22.3486,reverse
0.320,22.3519,reverse
0.310,22.3552,reverse
0.300,22.3586,reverse
0.290,22.3619,reverse
0.280,22.3652,reverse
0.270,22.3686,reverse
0.260,22.3719,reverse
0.250,22.3752,reverse
0.240,22.3786,reverse
0.230,22.3819,reverse
0.220,22.3852,reverse
0.210,22.3886,reverse
0.200,22.3919,reverse
0.190,22.3952,reverse
0.180,22.3986,reverse
0.170,22.4019,reverse
0.160,22.4052,reverse
0.150,22.4086,reverse
0.140,22.4119,reverse
0.130,22.4152,reverse
0.120,22.4186,reverse
0.110,22.4219,reverse
0.100,22.4252,reverse
0.090,22.4286,reverse
0.080,22.4319,reverse
0.070,22.4352,reverse
0.060,22.4386,reverse
0.050,22.4419,reverse
0.040,22.4452,reverse
0.030,22.4486,reverse
0.020,22.4519,reverse
0.010,22.4552,reverse
-0.000,22.4586,reverse
-0.010,22.4619,reverse
-0.020,22.4652,reverse
-0.030,22.4686,reverse
-0.040,22.4719,reverse
-0.050,22.4752,reverse
-0.060,22.4786,reverse
-0.070,22.4819,reverse
-0.080,22.4852,reverse
-0.090,22.4886,reverse
-0.100,22.4919,reverse
-0.100,22.2673,forward
-0.090,22.2640,forward
-0.080,22.2606,forward
-0.070,22.2573,forward
-0.060,22.2540,forward
-0.050,22.2506,forward
-0.040,22.2473,forward
-0.030,22.2440,forward
-0.020,22.2406,forward
-0.010,22.2373,forward
-0.000,22.2340,forward
0.010,22.2306,forward
0.020,22.2273,forward
0.030,22.2240,forward
0.040,22.2206,forward
0.050,22.2173,forward
0.060,22.2140,forward
0.070,22.2106,forward
0.080,22.2073,forward
0.090,22.2040,forward
0.100,22.2006,forward
0.110,22.1973,forward
0.120,22.1940,forward
0.130,22.1906,forward
0.140,22.1873,forward
0.150,22.1840,forward
0.160,22.1806,forward
0.170,22.1773,forward
0.180,22.1740,forward
0.190,22.1706,forward
0.200,22.1673,forward
0.210,22.1640,forward
0.220,22.1606,forward
0.230,22.1573,forward
0.240,22.1540,forward
0.250,22.1506,forward
0.260,22.1473,forward
0.270,22.1440,forward
0.280,22.1406,forward
0.290,22.1373,forward
0.300,22.1340,forward
0.310,22.1306,forward
0.320,22.1273,forward
0.330,22.1240,forward
0.340,22.1206,forward
0.350,22.1173,forward
0.360,22.1140,forward
0.370,22.1106,forward
0.380,22.1073,forward
0.390,22.1040,forward
0.400,22.1006,forward
0.410,22.0973,forward
0.420,22.0940,forward
0.430,22.0906,forward
0.440,22.0873,forward
0.450,22.0840,forward
0.460,22.0806,forward
0.470,22.0773,forward
0.480,22.0740,forward
0.490,22.0706,forward
0.500,22.0673,forward
0.510,22.0640,forward
0.520,22.0606,forward
0.530,22.0573,forward
0.540,22.0540,forward
0.550,22.0506,forward
0.560,22.0473,forward
0.570,22.0440,forward
0.580,22.0406,forward
0.590,22.0373,forward
0.600,22.0339,forward
0.610,22.0306,forward
0.620,22.0272,forward
0.630,22.0239,forward
0.640,22.0205,forward
0.650,22.0172,forward
0.660,22.0138,forward
0.670,22.0104,forward
0.680,22.0070,forward
0.690,22.0035,forward
0.700,22.0001,forward
0.710,21.9966,forward
0.720,21.9930,forward
0.730,21.9894,forward
0.740,21.9857,forward
0.750,21.9819,forward
0.760,21.9779,forward
0.770,21.9738,forward
0.780,21.9694,forward
0.790,21.9647,forward
0.800,21.9596,forward
0.810,21.9540,forward
0.820,21.9478,forward
0.830,21.9406,forward
0.840,21.9324,forward
0.850,21.9226,forward
0.860,21.9110,forward
0.870,21.8969,forward
0.880,21.8796,forward
0.890,21.8582,forward
0.900,21.8315,forward
0.910,21.7978,forward
0.920,21.7551,forward
0.930,21.7008,forward
0.940,21.6313,forward
0.950,21.5423,forward
0.960,21.4279,forward
0.970,21.2806,forward
0.980,21.0907,forward
0.990,20.8456,forward
1.000,20.5288,forward
1.010,20.1191,forward
1.020,19.5892,forward
1.030,18.9033,forward
1.040,18.0152,forward
1.050,16.8652,forward
1.060,15.3755,forward
1.070,13.4456,forward
1.080,10.9451,forward
1.090,7.7052,forward
1.100,3.5066,forward
1.110,-1.9343,forward
1.120,-8.9857,forward
1.130,-18.1244,forward
1.140,-29.9685,forward
1.150,-45.3194,forward
