direction,irradiance (W/m^2),open_circuit_voltage (V),short_circuit_current_density (mA/cm^2),fill_factor (%),efficiency (%),potential_at_maximum_power_point (V),current_density_at_maximum_power_point (mA/cm^2),series_resistance (ohm*cm^2),shunt_resistance (ohm*cm^2)
reverse,1000,1.1167,22.558,84.12,21.191,0.990,21.405,1.588,2985
forward,1000,1.1067,22.332,84.02,20.767,0.980,21.191,1.605,2985

voltage (V),current_density (mA/cm^2),direction
1.150,-30.0566,reverse
1.140,-18.1191,reverse
1.130,-8.9084,reverse
1.120,-1.8015,reverse
1.110,3.6823,reverse
1.100,7.9139,reverse
1.090,11.1793,reverse
1.080,13.6995,reverse
1.070,15.6445,reverse
1.060,17.1459,reverse
1.050,18.3050,reverse
1.040,19.2001,reverse
1.030,19.8914,reverse
1.020,20.4255,reverse
1.010,20.8383,reverse
1.000,21.1575,reverse
0.990,21.4046,reverse
0.980,21.5960,reverse
0.970,21.7444,reverse
0.960,21.8597,reverse
0.950,21.9494,reverse
0.940,22.0193,reverse
0.930,22.0741,reverse
0.920,22.1171,reverse
0.910,22.1510,reverse
0.900,22.1779,reverse
0.890,22.1995,reverse
0.880,22.2169,reverse
0.870,22.2310,reverse
0.860,22.2427,reverse
0.850,22.2525,reverse
0.840,22.2608,reverse
0.830,22.2680,reverse
0.820,22.2743,reverse
0.810,22.2799,reverse
0.800,22.2850,reverse
0.790,22.2897,reverse
0.780,22.2941,reverse
0.770,22.2982,reverse
0.760,22.3022,reverse
0.750,22.3060,reverse
0.740,22.3097,reverse
0.730,22.3133,reverse
0.720,22.3169,reverse
0.710,22.3204,reverse
0.700,22.3239,reverse
0.690,22.3273,reverse
0.680,22.3307,reverse
0.670,22.3341,reverse
0.660,22.3375,reverse
0.650,22.3408,reverse
0.640,22.3442,reverse
0.630,22.3476,reverse
0.620,22.3509,reverse
0.610,22.3543,reverse
0.600,22.3576,reverse
0.590,22.3609,reverse
0.580,22.3643,reverse
0.570,22.3676,reverse
0.560,22.3710,reverse
0.550,22.3743,reverse
0.540,22.3776,reverse
0.530,22.3810,reverse
0.520,22.3843,reverse
0.510,22.3876,reverse
0.500,22.3910,reverse
0.490,22.3943,reverse
0.480,22.3976,reverse
0.470,22.4010,reverse
0.460,22.4043,reverse
0.450,22.4076,reverse
0.440,22.4110,reverse
0.430,22.4143,reverse
0.420,22.4176,reverse
0.410,22.4210,reverse
0.400,22.4243,reverse
0.390,22.4276,reverse
0.380,22.4310,reverse
0.370,22.4343,reverse
0.360,22.4376,reverse
0.350,22.4410,reverse
0.340,22.4443,reverse
0.330,22.4476,reverse
0.320,22.4510,reverse
0.310,22.4543,reverse
0.300,22.4576,reverse
0.290,22.4610,reverse
0.280,22.4643,reverse
0.270,22.4676,reverse
0.260,22.4710,reverse
0.250,22.4743,reverse
0.240,22.4776,reverse
0.230,22.4810,reverse
0.220,22.4843,reverse
0.210,22.4876,reverse
0.200,22.4910,reverse
0.190,22.4943,reverse
0.180,22.4976,reverse
0.170,22.5010,reverse
0.160,22.5043,reverse
0.150,22.5076,reverse
0.140,22.5110,reverse
0.130,22.5143,reverse
0.120,22.5176,reverse
0.110,22.5210,reverse
0.100,22.5243,reverse
0.090,22.5276,reverse
0.080,22.5310,reverse
0.070,22.5343,reverse
0.060,22.5376,reverse
0.050,22.5410,reverse
0.040,22.5443,reverse
0.030,22.5476,reverse
0.020,22.5510,reverse
0.010,22.5543,reverse
-0.000,22.5576,reverse
-0.010,22.5610,reverse
-0.020,22.5643,reverse
-0.030,22.5676,reverse
-0.040,22.5710,reverse
-0.050,22.5743,reverse
-0.060,22.5776,reverse
-0.070,22.5810,reverse
-0.080,22.5843,reverse
-0.090,22.5876,reverse
-0.100,22.5910,reverse
-0.100,22.3654,forward
-0.090,22.3621,forward
-0.080,22.3587,forward
-0.070,22.3554,forward
-0.060,22.3521,forward
-0.050,22.3487,forward
-0.040,22.3454,forward
-0.030,22.3421,forward
-0.020,22.3387,forward
-0.010,22.3354,forward
-0.000,22.3321,forward
0.010,22.3287,forward
0.020,22.3254,forward
0.030,22.3221,forward
0.040,22.3187,forward
0.050,22.3154,forward
0.060,22.3121,forward
0.070,22.3087,forward
0.080,22.3054,forward
0.090,22.3021,forward
0.100,22.2987,forward
0.110,22.2954,forward
0.120,22.2921,forward
0.130,22.2887,forward
0.140,22.2854,forward
0.150,22.2821,forward
0.160,22.2787,forward
0.170,22.2754,forward
0.180,22.2721,forward
0.190,22.2687,forward
0.200,22.2654,forward
0.210,22.2621,forward
0.220,22.2587,forward
0.230,22.2554,forward
0.240,22.2521,forward
0.250,22.2487,forward
0.260,22.2454,forward
0.270,22.2421,forward
0.280,22.2387,forward
0.290,22.2354,forward
0.300,22.2321,forward
0.310,22.2287,forward
0.320,22.2254,forward
0.330,22.2221,forward
0.340,22.2187,forward
0.350,22.2154,forward
0.360,22.2121,forward
0.370,22.2087,forward
0.380,22.2054,forward
0.390,22.2021,forward
0.400,22.1987,forward
0.410,22.1954,forward
0.420,22.1921,forward
0.430,22.1887,forward
0.440,22.1854,forward
0.450,22.1821,forward
0.460,22.1787,forward
0.470,22.1754,forward
0.480,22.1721,forward
0.490,22.1687,forward
0.500,22.1654,forward
0.510,22.1621,forward
0.520,22.1587,forward
0.530,22.1554,forward
0.540,22.1520,forward
0.550,22.1487,forward
0.560,22.1454,forward
0.570,22.1420,forward
0.580,22.1387,forward
0.590,22.1354,forward
0.600,22.1320,forward
0.610,22.1287,forward
0.620,22.1253,forward
0.630,22.1220,forward
0.640,22.1186,forward
0.650,22.1152,forward
0.660,22.1119,forward
0.670,22.1085,forward
0.680,22.1050,forward
0.690,22.1016,forward
0.700,22.0982,forward
0.710,22.0946,forward
0.720,22.0911,forward
0.730,22.0875,forward
0.740,22.0838,forward
0.750,22.0800,forward
0.760,22.0760,forward
0.770,22.0719,forward
0.780,22.0675,forward
0.790,22.0628,forward
0.800,22.0577,forward
0.810,22.0521,forward
0.820,22.0459,forward
0.830,22.0387,forward
0.840,22.0305,forward
0.850,22.0208,forward
0.860,22.0092,forward
0.870,21.9951,forward
0.880,21.9778,forward
0.890,21.9565,forward
0.900,21.9298,forward
0.910,21.8962,forward
0.920,21.8536,forward
0.930,21.7993,forward
0.940,21.7300,forward
0.950,21.6412,forward
0.960,21.5271,forward
0.970,21.3801,forward
0.980,21.1906,forward
0.990,20.9460,forward
1.000,20.6299,forward
1.010,20.2211,forward
1.020,19.6923,forward
1.030,19.0079,forward
1.040,18.1218,forward
1.050,16.9743,forward
1.060,15.4879,forward
1.070,13.5622,forward
1.080,11.0673,forward
1.090,7.8344,forward
1.100,3.6451,forward
1.110,-1.7839,forward
1.120,-8.8198,forward
1.130,-17.9384,forward
1.140,-29.7565,forward
1.150,-45.0737,forward
