direction,irradiance (W/m^2),open_circuit_voltage (V),short_circuit_current_density (mA/cm^2),fill_factor (%),efficiency (%),potential_at_maximum_power_point (V),current_density_at_maximum_power_point (mA/cm^2),series_resistance (ohm*cm^2),shunt_resistance (ohm*cm^2)
reverse,1000,1.1109,20.377,83.91,18.994,0.980,19.382,1.510,2985
forward,1000,1.1009,20.173,83.81,18.613,0.970,19.188,1.525,3030

voltage (V),current_density (mA/cm^2),direction
1.150,-34.9614,reverse
1.140,-22.4016,reverse
1.130,-12.7107,reverse
1.120,-5.2333,reverse
1.110,0.5363,reverse
1.100,4.9884,reverse
1.090,8.4240,reverse
1.080,11.0754,reverse
1.070,13.1217,reverse
1.060,14.7013,reverse
1.050,15.9207,reverse
1.040,16.8622,reverse
1.030,17.5894,reverse
1.020,18.1511,reverse
1.010,18.5853,reverse
1.000,18.9211,reverse
0.990,19.1808,reverse
0.980,19.3820,reverse
0.970,19.5380,reverse
0.960,19.6591,reverse
0.950,19.7533,reverse
0.940,19.8267,reverse
0.930,19.8842,reverse
0.920,19.9292,reverse
0.910,19.9647,reverse
0.900,19.9929,reverse
0.890,20.0154,reverse
0.880,20.0335,reverse
0.870,20.0483,reverse
0.860,20.0604,reverse
0.850,20.0705,reverse
0.840,20.0791,reverse
0.830,20.0865,reverse
0.820,20.0929,reverse
0.810,20.0987,reverse
0.800,20.1038,reverse
0.790,20.1086,reverse
0.780,20.1131,reverse
0.770,20.1172,reverse
0.760,20.1212,reverse
0.750,20.1251,reverse
0.740,20.1288,reverse
0.730,20.1324,reverse
0.720,20.1360,reverse
0.710,20.1395,reverse
0.700,20.1430,reverse
0.690,20.1464,reverse
0.680,20.1498,reverse
0.670,20.1532,reverse
0.660,20.1566,reverse
0.650,20.1600,reverse
0.640,20.1633,reverse
0.630,20.1667,reverse
0.620,20.1701,reverse
0.610,20.1734,reverse
0.600,20.1767,reverse
0.590,20.1801,reverse
0.580,20.1834,reverse
0.570,20.1868,reverse
0.560,20.1901,reverse
0.550,20.1934,reverse
0.540,20.1968,reverse
0.530,20.2001,reverse
0.520,20.2034,reverse
0.510,20.2068,reverse
0.500,20.2101,reverse
0.490,20.2134,reverse
0.480,20.2168,reverse
0.470,20.2201,reverse
0.460,20.2234,reverse
0.450,20.2268,reverse
0.440,20.2301,reverse
0.430,20.2334,reverse
0.420,20.2368,reverse
0.410,20.2401,reverse
0.400,20.2434,reverse
0.390,20.2468,reverse
0.380,20.2501,reverse
