time (h),temperature (°C),irradiance (W/m^2),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.0000,64.86,902.8,49.6,0.8687,19.239,16.713
0.1667,65.01,901.5,50.3,0.8687,19.182,16.664
0.3333,65.29,902.1,49.5,0.8706,18.978,16.522
0.5000,64.87,900.3,49.2,0.8685,18.717,16.255
0.6667,64.86,902.8,50.3,0.8682,19.014,16.508
0.8333,64.87,903.9,50.1,0.8719,18.875,16.457
1.0000,65.76,907.4,49.7,0.8678,19.039,16.522
1.1667,65.46,898.9,50.3,0.8667,18.732,16.236
1.3333,65.20,906.6,49.5,0.8713,18.721,16.311
1.5000,65.17,907.7,50.1,0.8627,18.993,16.386
1.6667,65.16,909.6,50.5,0.8642,19.002,16.421
1.8333,64.51,900.1,50.2,0.8662,18.599,16.111
2.0000,65.02,910.4,50.2,0.8654,18.868,16.328
2.1667,64.93,907.0,49.2,0.8654,18.850,16.313
2.3333,64.71,908.2,50.8,0.8683,18.751,16.282
2.5000,64.88,915.6,51.1,0.8670,18.878,16.367
2.6667,64.84,910.2,50.4,0.8636,18.950,16.365
2.8333,65.22,913.9,50.8,0.8663,18.989,16.451
3.0000,65.52,912.1,49.2,0.8646,18.896,16.338
3.1667,64.97,920.2,49.7,0.8652,19.101,16.526
3.3333,65.00,913.3,50.0,0.8671,18.564,16.098
3.5000,64.79,915.0,50.9,0.8620,18.981,16.362
3.6667,64.80,917.2,50.7,0.8645,18.836,16.284
3.8333,65.43,916.3,50.5,0.8629,18.846,16.263
4.0000,64.97,923.7,50.8,0.8625,19.030,16.413
4.1667,65.40,916.8,49.6,0.8611,18.946,16.315
4.3333,64.78,918.2,49.8,0.8639,18.846,16.281
4.5000,65.62,921.2,50.5,0.8604,18.981,16.331
4.6667,65.16,922.7,50.0,0.8598,19.042,16.373
4.8333,65.47,924.8,50.3,0.8613,18.998,16.362
5.0000,65.66,922.7,50.8,0.8602,18.955,16.304
5.1667,64.71,921.3,50.1,0.8649,18.953,16.392
5.3333,65.36,925.3,49.1,0.8586,19.016,16.327
5.5000,65.18,925.1,51.1,0.8598,18.977,16.317
5.6667,64.80,926.3,50.1,0.8611,19.038,16.394
5.8333,64.84,923.6,49.9,0.8634,18.899,16.318
6.0000,64.70,926.1,49.5,0.8610,18.988,16.349
6.1667,64.75,928.7,49.5,0.8600,19.056,16.389
6.3333,64.88,930.9,50.1,0.8613,19.206,16.543
6.5000,64.57,927.9,49.9,0.8626,18.901,16.304
6.6667,65.17,930.2,51.3,0.8623,18.882,16.283
6.8333,65.45,931.8,50.6,0.8564,18.917,16.201
7.0000,64.72,927.1,49.8,0.8628,18.997,16.390
7.1667,65.44,934.3,49.9,0.8574,19.094,16.371
7.3333,65.53,937.8,49.6,0.8603,19.055,16.394
7.5000,64.82,930.9,50.2,0.8598,19.133,16.450
