time (h),temperature (°C),irradiance (W/m^2),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.0000,64.77,902.8,50.8,0.8713,19.012,16.566
0.1667,65.19,901.5,50.9,0.8718,18.949,16.520
0.3333,64.72,902.1,50.2,0.8701,19.016,16.545
0.5000,64.53,900.3,48.9,0.8726,18.888,16.482
0.6667,65.18,902.8,50.3,0.8708,18.823,16.391
0.8333,65.03,903.9,50.1,0.8688,18.986,16.496
1.0000,64.85,907.4,50.4,0.8703,18.878,16.430
1.1667,65.15,898.9,49.7,0.8687,18.799,16.330
1.3333,64.69,906.6,49.4,0.8663,18.928,16.397
1.5000,65.09,907.7,49.9,0.8653,19.028,16.465
1.6667,65.29,909.6,50.0,0.8670,18.939,16.420
1.8333,65.13,900.1,49.2,0.8656,18.762,16.241
2.0000,65.15,910.4,49.6,0.8707,18.787,16.358
2.1667,64.52,907.0,50.0,0.8677,18.838,16.345
2.3333,65.45,908.2,49.8,0.8647,18.859,16.307
2.5000,65.66,915.6,49.6,0.8619,19.042,16.412
2.6667,65.23,910.2,50.3,0.8612,18.722,16.123
2.8333,65.45,913.9,50.6,0.8659,18.820,16.296
3.0000,64.51,912.1,50.3,0.8654,18.912,16.366
3.1667,64.82,920.2,50.6,0.8645,19.121,16.529
3.3333,65.00,913.3,48.8,0.8655,18.819,16.287
3.5000,65.52,915.0,50.3,0.8648,18.839,16.293
3.6667,65.42,917.2,49.7,0.8654,18.841,16.305
3.8333,65.30,916.3,49.9,0.8569,18.879,16.177
4.0000,65.45,923.7,50.0,0.8591,19.228,16.518
4.1667,64.75,916.8,50.3,0.8639,18.816,16.255
4.3333,64.89,918.2,49.9,0.8626,18.856,16.265
4.5000,65.31,921.2,50.2,0.8639,18.745,16.194
4.6667,65.01,922.7,50.2,0.8596,18.920,16.264
4.8333,65.19,924.8,50.1,0.8602,18.971,16.319
5.0000,65.50,922.7,50.1,0.8618,18.989,16.366
5.1667,65.07,921.3,50.7,0.8618,18.843,16.238
5.3333,64.44,925.3,50.0,0.8643,18.860,16.301
5.5000,65.63,925.1,50.0,0.8604,18.853,16.221
5.6667,65.07,926.3,50.3,0.8597,19.090,16.412
5.8333,64.94,923.6,50.2,0.8617,18.983,16.357
6.0000,64.67,926.1,50.2,0.8617,18.808,16.207
6.1667,64.69,928.7,50.2,0.8620,19.038,16.411
6.3333,65.06,930.9,51.0,0.8594,19.066,16.385
6.5000,64.96,927.9,49.9,0.8623,18.938,16.329
6.6667,65.76,930.2,49.7,0.8594,19.049,16.370
6.8333,65.37,931.8,49.1,0.8632,18.971,16.375
7.0000,64.86,927.1,50.7,0.8616,18.916,16.297
7.1667,64.91,934.3,50.0,0.8617,18.866,16.257
7.3333,64.77,937.8,49.9,0.8609,19.083,16.429
7.5000,65.10,930.9,50.9,0.8585,19.013,16.323
7.6667,64.89,934.1,49.8,0.8599,19.160,16.475
7.8333,64.86,926.3,50.2,0.8616,18.834,16.228
8.0000,65.02,932.9,50.2,0.8616,19.120,16.473
8.1667,65.24,938.1,50.0,0.8563,19.079,16.336
8.3333,65.11,931.8,50.1,0.8596,18.983,16.318
8.5000,65.19,933.2,50.7,0.8605,18.904,16.267
8.6667,64.74,933.8,51.4,0.8559,19.017,16.277
8.8333,65.08,932.8,49.3,0.8618,18.798,16.201
9.0000,64.99,935.9,49.7,0.8596,18.879,16.228
9.1667,65.34,937.4,49.4,0.8576,19.043,16.330
9.3333,64.88,934.5,49.8,0.8608,19.000,16.355
