voltage (V),current_density (mA/cm^2),direction
1.150,-29.6896,reverse
1.140,-17.7970,reverse
1.130,-8.6210,reverse
1.120,-1.5408,reverse
1.110,3.9224,reverse
1.100,8.1381,reverse
1.090,11.3913,reverse
1.080,13.9020,reverse
1.070,15.8398,reverse
1.060,17.3355,reverse
1.050,18.4903,reverse
1.040,19.3820,reverse
1.030,20.0707,reverse
1.020,20.6028,reverse
1.010,21.0141,reverse
1.000,21.3321,reverse
0.990,21.5783,reverse
0.980,21.7690,reverse
0.970,21.9168,reverse
0.960,22.0317,reverse
0.950,22.1210,reverse
0.940,22.1908,reverse
0.930,22.2453,reverse
0.920,22.2881,reverse
0.910,22.3220,reverse
0.900,22.3488,reverse
0.890,22.3703,reverse
0.880,22.3876,reverse
0.870,22.4017,reverse
0.860,22.4134,reverse
0.850,22.4232,reverse
0.840,22.4315,reverse
0.830,22.4386,reverse
0.820,22.4449,reverse
0.810,22.4505,reverse
0.800,22.4556,reverse
0.790,22.4603,reverse
0.780,22.4647,reverse
0.770,22.4688,reverse
0.760,22.4728,reverse
0.750,22.4766,reverse
0.740,22.4803,reverse
0.730,22.4839,reverse
0.720,22.4875,reverse
0.710,22.4910,reverse
0.700,22.4944,reverse
0.690,22.4979,reverse
0.680,22.5013,reverse
0.670,22.5047,reverse
0.660,22.5081,reverse
0.650,22.5114,reverse
0.640,22.5148,reverse
0.630,22.5181,reverse
0.620,22.5215,reverse
0.610,22.5248,reverse
0.600,22.5282,reverse
0.590,22.5315,reverse
0.580,22.5349,reverse
0.570,22.5382,reverse
0.560,22.5415,reverse
0.550,22.5449,reverse
0.540,22.5482,reverse
0.530,22.5515,reverse
0.520,22.5549,reverse
0.510,22.5582,reverse
0.500,22.5615,reverse
0.490,22.5649,reverse
0.480,22.5682,reverse
0.470,22.5715,reverse
0.460,22.5749,reverse
0.450,22.5782,reverse
0.440,22.5815,reverse
0.430,22.5849,reverse
0.420,22.5882,reverse
0.410,22.5915,reverse
0.400,22.5949,reverse
0.390,22.5982,reverse
0.380,22.6015,reverse
0.370,22.6049,reverse
0.360,22.6082,reverse
0.350,22.6115,reverse
0.340,22.6149,reverse
0.330,22.6182,reverse
0.320,22.6215,reverse
0.310,22.6249,reverse
0.300,22.6282,reverse
0.290,22.6315,reverse
0.280,22.6349,reverse
0.270,22.6382,reverse
0.260,22.6415,reverse
0.250,22.6449,reverse
0.240,22.6482,reverse
0.230,22.6515,reverse
0.220,22.6549,reverse
0.210,22.6582,reverse
0.200,22.6615,reverse
0.190,22.6649,reverse
0.180,22.6682,reverse
0.170,22.6715,reverse
0.160,22.6749,reverse
0.150,22.6782,reverse
0.140,22.6815,reverse
0.130,22.6849,reverse
0.120,22.6882,reverse
0.110,22.6915,reverse
0.100,22.6949,reverse
0.090,22.6982,reverse
0.080,22.7015,reverse
0.070,22.7049,reverse
0.060,22.7082,reverse
0.050,22.7115,reverse
0.040,22.7149,reverse
0.030,22.7182,reverse
0.020,22.7215,reverse
0.010,22.7249,reverse
-0.000,22.7282,reverse
-0.010,22.7315,reverse
-0.020,22.7349,reverse
-0.030,22.7382,reverse
-0.040,22.7415,reverse
-0.050,22.7449,reverse
-0.060,22.7482,reverse
-0.070,22.7515,reverse
-0.080,22.7549,reverse
-0.090,22.7582,reverse
-0.100,22.7615,reverse
-0.100,22.5343,forward
-0.090,22.5309,forward
-0.080,22.5276,forward
-0.070,22.5243,forward
-0.060,22.5209,forward
-0.050,22.5176,forward
-0.040,22.5143,forward
-0.030,22.5109,forward
-0.020,22.5076,forward
-0.010,22.5043,forward
-0.000,22.5009,forward
0.010,22.4976,forward
0.020,22.4943,forward
0.030,22.4909,forward
0.040,22.4876,forward
0.050,22.4843,forward
0.060,22.4809,forward
0.070,22.4776,forward
0.080,22.4743,forward
0.090,22.4709,forward
0.100,22.4676,forward
0.110,22.4643,forward
0.120,22.4609,forward
0.130,22.4576,forward
0.140,22.4543,forward
0.150,22.4509,forward
0.160,22.4476,forward
0.170,22.4443,forward
0.180,22.4409,forward
0.190,22.4376,forward
0.200,22.4343,forward
0.210,22.4309,forward
0.220,22.4276,forward
0.230,22.4243,forward
0.240,22.4209,forward
0.250,22.4176,forward
0.260,22.4143,forward
0.270,22.4109,forward
0.280,22.4076,forward
0.290,22.4043,forward
0.300,22.4009,forward
0.310,22.3976,forward
0.320,22.3943,forward
0.330,22.3909,forward
0.340,22.3876,forward
0.350,22.3843,forward
0.360,22.3809,forward
0.370,22.3776,forward
0.380,22.3743,forward
0.390,22.3709,forward
0.400,22.3676,forward
0.410,22.3643,forward
0.420,22.3609,forward
0.430,22.3576,forward
0.440,22.3543,forward
0.450,22.3509,forward
0.460,22.3476,forward
0.470,22.3443,forward
0.480,22.3409,forward
0.490,22.3376,forward
0.500,22.3343,forward
0.510,22.3309,forward
0.520,22.3276,forward
0.530,22.3243,forward
0.540,22.3209,forward
0.550,22.3176,forward
0.560,22.3142,forward
0.570,22.3109,forward
0.580,22.3076,forward
0.590,22.3042,forward
0.600,22.3009,forward
0.610,22.2975,forward
0.620,22.2942,forward
0.630,22.2908,forward
0.640,22.2875,forward
0.650,22.2841,forward
0.660,22.2807,forward
0.670,22.2773,forward
0.680,22.2739,forward
0.690,22.2705,forward
0.700,22.2670,forward
0.710,22.2635,forward
0.720,22.2600,forward
0.730,22.2564,forward
0.740,22.2527,forward
0.750,22.2488,forward
0.760,22.2449,forward
0.770,22.2408,forward
0.780,22.2364,forward
0.790,22.2317,forward
0.800,22.2267,forward
0.810,22.2211,forward
0.820,22.2148,forward
0.830,22.2077,forward
0.840,22.1994,forward
0.850,22.1897,forward
0.860,22.1782,forward
0.870,22.1641,forward
0.880,22.1469,forward
0.890,22.1257,forward
0.900,22.0990,forward
0.910,22.0655,forward
0.920,22.0231,forward
0.930,21.9690,forward
0.940,21.9000,forward
0.950,21.8115,forward
0.960,21.6978,forward
0.970,21.5513,forward
0.980,21.3625,forward
0.990,21.1188,forward
1.000,20.8039,forward
1.010,20.3967,forward
1.020,19.8699,forward
1.030,19.1880,forward
1.040,18.3052,forward
1.050,17.1620,forward
1.060,15.6811,forward
1.070,13.7627,forward
1.080,11.2771,forward
1.090,8.0564,forward
1.100,3.8828,forward
1.110,-1.5258,forward
1.120,-8.5352,forward
1.130,-17.6195,forward
1.140,-29.3932,forward
1.150,-44.6528,forward
