time (h),temperature (°C),irradiance (W/m^2),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.0000,64.78,894.8,40.5,0.8749,18.764,16.416
0.1667,65.23,895.4,39.5,0.8715,18.776,16.364
0.3333,64.40,898.1,38.8,0.8720,18.920,16.499
0.5000,65.14,901.2,39.5,0.8727,18.806,16.413
0.6667,65.13,902.2,39.8,0.8706,19.019,16.558
0.8333,65.04,901.3,37.3,0.8678,18.828,16.338
1.0000,64.96,0.0,39.3,0.0000,0.000,0.000
1.1667,65.15,0.0,39.3,0.0000,0.000,0.000
1.3333,64.73,0.0,37.9,0.0000,0.000,0.000
1.5000,65.31,0.0,36.9,0.0000,0.000,0.000
1.6667,65.15,0.0,39.3,0.0000,0.000,0.000
1.8333,64.48,0.0,39.7,0.0000,0.000,0.000
2.0000,64.75,905.7,38.4,0.8685,18.819,16.345
2.1667,64.80,911.9,37.7,0.8665,19.081,16.534
2.3333,65.19,907.4,37.9,0.8666,18.982,16.449
2.5000,64.85,905.6,37.0,0.8608,19.015,16.369
2.6667,65.25,910.6,38.2,0.8651,18.953,16.396
2.8333,65.16,915.8,37.6,0.8647,19.180,16.585
3.0000,64.88,0.0,37.1,0.0000,0.000,0.000
3.1667,65.22,0.0,38.1,0.0000,0.000,0.000
3.3333,64.55,0.0,37.1,0.0000,0.000,0.000
3.5000,64.85,0.0,36.8,0.0000,0.000,0.000
3.6667,65.33,0.0,36.6,0.0000,0.000,0.000
3.8333,64.98,0.0,35.4,0.0000,0.000,0.000
4.0000,64.98,915.5,36.8,0.8648,19.290,16.682
4.1667,64.86,918.1,35.4,0.8635,19.064,16.462
4.3333,64.67,924.8,36.5,0.8667,19.090,16.546
4.5000,65.27,920.2,36.9,0.8674,18.861,16.360
4.6667,64.90,923.0,37.4,0.8627,19.207,16.571
4.8333,65.03,920.2,37.1,0.8665,18.951,16.421
5.0000,65.15,0.0,38.2,0.0000,0.000,0.000
5.1667,64.92,0.0,35.7,0.0000,0.000,0.000
5.3333,64.95,0.0,36.3,0.0000,0.000,0.000
5.5000,64.82,0.0,36.5,0.0000,0.000,0.000
5.6667,65.10,0.0,37.4,0.0000,0.000,0.000
5.8333,64.87,0.0,35.2,0.0000,0.000,0.000
6.0000,65.12,928.2,36.5,0.8631,19.070,16.460
6.1667,65.08,929.3,37.7,0.8632,19.117,16.501
6.3333,64.56,928.7,36.3,0.8663,19.086,16.534
6.5000,64.82,931.0,36.7,0.8643,19.148,16.549
6.6667,64.89,933.5,37.4,0.8637,19.287,16.659
6.8333,64.57,935.6,35.9,0.8650,19.090,16.513
7.0000,65.01,0.0,37.5,0.0000,0.000,0.000
7.1667,64.90,0.0,36.8,0.0000,0.000,0.000
7.3333,64.97,0.0,37.7,0.0000,0.000,0.000
7.5000,65.15,0.0,34.6,0.0000,0.000,0.000
7.6667,64.76,0.0,36.7,0.0000,0.000,0.000
7.8333,65.19,0.0,37.1,0.0000,0.000,0.000
8.0000,64.63,931.5,37.5,0.8622,19.182,16.539
8.1667,65.03,930.8,38.1,0.8608,19.075,16.421
8.3333,65.70,934.3,38.5,0.8592,19.113,16.421
8.5000,65.01,937.6,39.0,0.8619,19.395,16.717
8.6667,64.54,934.1,38.0,0.8618,19.252,16.592
8.8333,64.36,934.8,38.1,0.8643,19.297,16.678
9.0000,65.44,0.0,40.2,0.0000,0.000,0.000
9.1667,65.08,0.0,39.7,0.0000,0.000,0.000
9.3333,64.37,0.0,38.7,0.0000,0.000,0.000
9.5000,64.87,0.0,38.7,0.0000,0.000,0.000
9.6667,64.37,0.0,38.3,0.0000,0.000,0.000
9.8333,64.60,0.0,39.8,0.0000,0.000,0.000
10.0000,65.01,936.5,41.2,0.8604,19.245,16.558
10.1667,65.31,937.4,40.5,0.8599,19.202,16.512
10.3333,64.73,942.1,41.4,0.8633,19.281,16.645
10.5000,65.31,936.5,39.8,0.8591,19.071,16.384
10.6667,65.07,945.5,41.0,0.8624,19.257,16.608
10.8333,65.14,948.0,43.6,0.8585,19.424,16.676
11.0000,65.40,0.0,41.0,0.0000,0.000,0.000
11.1667,65.19,0.0,40.5,0.0000,0.000,0.000
11.3333,65.00,0.0,41.5,0.0000,0.000,0.000
11.5000,64.80,0.0,42.1,0.0000,0.000,0.000
11.6667,65.72,0.0,40.7,0.0000,0.000,0.000
11.8333,65.01,0.0,44.0,0.0000,0.000,0.000
12.0000,64.65,942.5,42.6,0.8612,19.283,16.605
12.1667,65.58,937.6,43.7,0.8605,19.174,16.500
12.3333,65.21,938.3,43.4,0.8603,19.128,16.456
12.5000,65.57,941.6,43.3,0.8608,19.202,16.529
12.6667,64.88,941.4,42.2,0.8618,19.086,16.449
12.8333,65.30,942.9,44.7,0.8625,19.155,16.521
13.0000,65.43,0.0,44.3,0.0000,0.000,0.000
13.1667,65.32,0.0,46.0,0.0000,0.000,0.000
13.3333,64.76,0.0,45.9,0.0000,0.000,0.000
13.5000,65.00,0.0,45.4,0.0000,0.000,0.000
13.6667,65.16,0.0,45.7,0.0000,0.000,0.000
13.8333,65.25,0.0,44.9,0.0000,0.000,0.000
14.0000,65.18,943.2,45.0,0.8613,19.216,16.551
14.1667,65.11,936.2,47.0,0.8617,18.851,16.245
14.3333,65.19,930.8,44.9,0.8565,18.992,16.268
14.5000,65.32,934.0,46.0,0.8578,18.993,16.292
14.6667,64.71,938.4,47.7,0.8563,19.120,16.374
14.8333,64.89,934.8,46.6,0.8567,19.120,16.380
15.0000,65.38,0.0,45.6,0.0000,0.000,0.000
15.1667,64.53,0.0,47.8,0.0000,0.000,0.000
15.3333,64.99,0.0,45.9,0.0000,0.000,0.000
15.5000,64.51,0.0,47.8,0.0000,0.000,0.000
15.6667,64.86,0.0,46.6,0.0000,0.000,0.000
15.8333,65.50,0.0,48.3,0.0000,0.000,0.000
16.0000,65.21,936.3,47.4,0.8594,18.934,16.272
16.1667,64.90,938.7,47.7,0.8590,19.178,16.473
16.3333,65.26,928.4,47.0,0.8564,18.874,16.164
16.5000,64.66,933.7,48.7,0.8655,18.785,16.258
16.6667,64.90,935.4,49.3,0.8569,19.146,16.406
16.8333,65.09,935.6,47.5,0.8585,18.950,16.268
17.0000,65.56,0.0,48.4,0.0000,0.000,0.000
17.1667,64.76,0.0,48.0,0.0000,0.000,0.000
17.3333,65.06,0.0,47.5,0.0000,0.000,0.000
17.5000,65.17,0.0,47.8,0.0000,0.000,0.000
17.6667,64.67,0.0,49.0,0.0000,0.000,0.000
17.8333,65.10,0.0,47.9,0.0000,0.000,0.000
18.0000,65.10,931.9,49.1,0.8561,18.911,16.190
18.1667,65.12,929.0,47.9,0.8529,18.906,16.125
18.3333,65.03,931.6,48.2,0.8597,18.792,16.156
18.5000,65.30,926.4,46.6,0.8570,18.710,16.034
18.6667,65.68,928.4,47.9,0.8587,18.744,16.095
18.8333,65.11,924.9,47.6,0.8585,18.736,16.085
19.0000,65.70,0.0,48.4,0.0000,0.000,0.000
19.1667,64.90,0.0,48.4,0.0000,0.000,0.000
19.3333,64.90,0.0,47.2,0.0000,0.000,0.000
19.5000,65.14,0.0,48.2,0.0000,0.000,0.000
19.6667,65.48,0.0,47.9,0.0000,0.000,0.000
19.8333,65.68,0.0,47.3,0.0000,0.000,0.000
20.0000,64.72,923.1,45.9,0.8543,18.877,16.127
20.1667,64.81,926.7,45.2,0.8590,18.784,16.135
20.3333,65.06,921.4,47.9,0.8591,18.473,15.871
20.5000,64.93,921.0,47.5,0.8558,18.667,15.975
20.6667,65.55,918.3,47.1,0.8559,18.680,15.989
20.8333,65.57,919.3,45.2,0.8501,18.536,15.758
21.0000,64.86,0.0,47.1,0.0000,0.000,0.000
21.1667,65.20,0.0,46.1,0.0000,0.000,0.000
21.3333,65.41,0.0,46.0,0.0000,0.000,0.000
21.5000,64.71,0.0,45.4,0.0000,0.000,0.000
21.6667,65.21,0.0,44.2,0.0000,0.000,0.000
21.8333,65.08,0.0,45.4,0.0000,0.000,0.000
22.0000,64.73,916.4,44.5,0.8534,18.399,15.701
22.1667,64.98,908.1,45.7,0.8567,18.344,15.716
22.3333,64.93,914.5,44.4,0.8548,18.422,15.748
22.5000,64.81,913.0,44.5,0.8555,18.556,15.875
22.6667,64.27,911.4,43.4,0.8604,18.371,15.807
22.8333,65.42,908.3,43.8,0.8555,18.240,15.605
23.0000,65.12,0.0,43.1,0.0000,0.000,0.000
23.1667,64.81,0.0,42.9,0.0000,0.000,0.000
23.3333,65.21,0.0,44.2,0.0000,0.000,0.000
23.5000,64.67,0.0,43.6,0.0000,0.000,0.000
23.6667,64.91,0.0,41.4,0.0000,0.000,0.000
23.8333,65.36,0.0,42.7,0.0000,0.000,0.000
24.0000,65.21,911.3,42.4,0.8569,18.250,15.639
24.1667,64.83,906.4,41.0,0.8536,18.308,15.628
24.3333,64.71,901.4,42.1,0.8510,18.353,15.619
24.5000,64.80,905.8,42.6,0.8564,18.144,15.538
24.6667,64.64,907.9,42.6,0.8568,18.050,15.465
24.8333,64.61,902.2,41.2,0.8569,18.084,15.495
25.0000,65.18,0.0,41.6,0.0000,0.000,0.000
25.1667,64.67,0.0,40.5,0.0000,0.000,0.000
25.3333,64.79,0.0,40.2,0.0000,0.000,0.000
25.5000,64.57,0.0,42.8,0.0000,0.000,0.000
25.6667,64.95,0.0,39.6,0.0000,0.000,0.000
25.8333,64.69,0.0,40.4,0.0000,0.000,0.000
26.0000,64.86,891.8,38.6,0.8598,17.952,15.435
26.1667,65.03,898.6,39.0,0.8575,18.091,15.513
26.3333,64.76,889.6,38.2,0.8546,17.879,15.280
26.5000,65.37,894.3,38.8,0.8521,17.984,15.324
26.6667,64.59,892.0,37.8,0.8554,17.838,15.258
26.8333,65.00,888.5,38.6,0.8534,17.917,15.290
27.0000,65.20,0.0,37.6,0.0000,0.000,0.000
27.1667,64.82,0.0,39.1,0.0000,0.000,0.000
27.3333,65.76,0.0,38.5,0.0000,0.000,0.000
27.5000,65.02,0.0,38.7,0.0000,0.000,0.000
27.6667,65.49,0.0,36.3,0.0000,0.000,0.000
27.8333,65.27,0.0,36.9,0.0000,0.000,0.000
28.0000,64.97,885.2,36.8,0.8508,17.788,15.134
28.1667,65.63,884.7,36.9,0.8520,17.842,15.200
28.3333,64.66,882.2,35.7,0.8533,17.780,15.172
28.5000,65.02,887.1,36.6,0.8538,17.777,15.179
28.6667,64.42,880.9,36.0,0.8529,17.592,15.004
28.8333,65.29,883.7,37.5,0.8534,17.746,15.145
29.0000,65.00,0.0,36.9,0.0000,0.000,0.000
29.1667,64.84,0.0,36.2,0.0000,0.000,0.000
29.3333,64.72,0.0,35.1,0.0000,0.000,0.000
29.5000,65.01,0.0,37.1,0.0000,0.000,0.000
29.6667,65.39,0.0,36.7,0.0000,0.000,0.000
29.8333,64.43,0.0,36.8,0.0000,0.000,0.000
30.0000,64.74,882.4,36.4,0.8551,17.588,15.039
30.1667,64.46,876.4,35.9,0.8499,17.823,15.148
30.3333,65.39,876.6,34.7,0.8514,17.654,15.030
30.5000,65.48,877.3,36.6,0.8528,17.603,15.012
30.6667,64.13,871.0,37.0,0.8564,17.404,14.904
30.8333,64.69,872.9,36.9,0.8541,17.677,15.098
31.0000,65.23,0.0,37.5,0.0000,0.000,0.000
31.1667,64.72,0.0,37.1,0.0000,0.000,0.000
31.3333,65.08,0.0,36.2,0.0000,0.000,0.000
31.5000,65.00,0.0,36.9,0.0000,0.000,0.000
31.6667,64.89,0.0,36.8,0.0000,0.000,0.000
31.8333,65.25,0.0,36.4,0.0000,0.000,0.000
32.0000,64.95,865.9,35.5,0.8489,17.553,14.901
32.1667,65.47,869.1,36.0,0.8514,17.452,14.858
32.3333,65.23,865.8,36.8,0.8502,17.494,14.874
32.5000,65.37,871.2,37.7,0.8513,17.552,14.941
32.6667,65.16,866.5,39.1,0.8516,17.401,14.819
32.8333,64.73,866.3,38.3,0.8509,17.421,14.823
33.0000,65.38,0.0,37.9,0.0000,0.000,0.000
33.1667,65.04,0.0,37.6,0.0000,0.000,0.000
33.3333,64.93,0.0,38.2,0.0000,0.000,0.000
33.5000,65.21,0.0,38.2,0.0000,0.000,0.000
33.6667,64.81,0.0,37.2,0.0000,0.000,0.000
33.8333,65.21,0.0,38.8,0.0000,0.000,0.000
34.0000,65.39,864.5,36.8,0.8526,17.220,14.681
34.1667,65.45,870.2,38.1,0.8519,17.373,14.800
34.3333,65.23,864.4,38.1,0.8479,17.413,14.765
34.5000,65.02,862.6,37.2,0.8474,17.429,14.769
34.6667,64.96,860.0,39.2,0.8524,17.144,14.613
34.8333,64.95,868.2,39.2,0.8490,17.353,14.732
35.0000,64.28,0.0,38.5,0.0000,0.000,0.000
35.1667,64.52,0.0,39.3,0.0000,0.000,0.000
35.3333,65.72,0.0,39.5,0.0000,0.000,0.000
35.5000,64.95,0.0,39.9,0.0000,0.000,0.000
35.6667,64.80,0.0,39.8,0.0000,0.000,0.000
35.8333,65.02,0.0,40.0,0.0000,0.000,0.000
36.0000,64.90,862.4,40.0,0.8477,17.322,14.683
36.1667,65.07,858.3,40.4,0.8507,17.154,14.594
36.3333,64.50,858.3,39.2,0.8519,17.081,14.551
36.5000,64.65,864.8,41.4,0.8534,17.257,14.727
36.6667,64.98,857.8,39.9,0.8487,17.239,14.630
36.8333,64.86,859.8,40.8,0.8515,17.154,14.606
37.0000,65.51,0.0,40.3,0.0000,0.000,0.000
37.1667,64.65,0.0,41.6,0.0000,0.000,0.000
37.3333,64.75,0.0,42.3,0.0000,0.000,0.000
37.5000,65.17,0.0,40.9,0.0000,0.000,0.000
37.6667,65.34,0.0,39.5,0.0000,0.000,0.000
37.8333,65.15,0.0,42.4,0.0000,0.000,0.000
38.0000,64.94,861.0,41.0,0.8502,17.396,14.790
38.1667,65.08,864.2,40.9,0.8519,17.205,14.657
38.3333,65.17,860.7,42.5,0.8499,17.167,14.589
38.5000,64.90,861.3,41.2,0.8502,17.179,14.606
38.6667,65.29,861.7,41.7,0.8460,17.276,14.615
38.8333,64.73,863.7,43.3,0.8492,17.376,14.756
39.0000,64.86,0.0,43.0,0.0000,0.000,0.000
39.1667,65.17,0.0,44.1,0.0000,0.000,0.000
39.3333,65.25,0.0,42.4,0.0000,0.000,0.000
39.5000,64.99,0.0,43.6,0.0000,0.000,0.000
39.6667,64.69,0.0,42.3,0.0000,0.000,0.000
39.8333,64.89,0.0,41.6,0.0000,0.000,0.000
40.0000,64.70,867.4,42.8,0.8521,17.365,14.797
40.1667,65.05,867.2,43.4,0.8504,17.265,14.681
40.3333,64.85,867.8,43.4,0.8494,17.459,14.830
40.5000,65.15,859.8,43.0,0.8511,17.183,14.624
40.6667,65.17,860.2,42.6,0.8517,17.200,14.649
40.8333,65.07,859.8,43.7,0.8526,17.331,14.777
41.0000,64.75,0.0,43.3,0.0000,0.000,0.000
41.1667,64.75,0.0,42.8,0.0000,0.000,0.000
41.3333,65.38,0.0,43.9,0.0000,0.000,0.000
41.5000,65.07,0.0,42.7,0.0000,0.000,0.000
41.6667,64.52,0.0,41.8,0.0000,0.000,0.000
41.8333,64.73,0.0,43.8,0.0000,0.000,0.000
42.0000,65.27,867.9,42.4,0.8489,17.307,14.692
42.1667,64.75,866.1,43.6,0.8492,17.190,14.598
42.3333,64.58,869.6,42.5,0.8525,17.273,14.725
42.5000,65.28,870.4,42.8,0.8498,17.336,14.732
42.6667,64.78,872.4,43.8,0.8500,17.362,14.757
42.8333,65.15,869.3,43.4,0.8493,17.185,14.595
43.0000,64.74,0.0,43.1,0.0000,0.000,0.000
43.1667,64.91,0.0,42.1,0.0000,0.000,0.000
43.3333,64.41,0.0,44.1,0.0000,0.000,0.000
43.5000,64.77,0.0,41.0,0.0000,0.000,0.000
43.6667,65.06,0.0,42.7,0.0000,0.000,0.000
43.8333,64.70,0.0,42.5,0.0000,0.000,0.000
44.0000,65.06,870.2,42.6,0.8499,17.313,14.713
44.1667,65.30,870.7,43.4,0.8486,17.331,14.707
44.3333,64.68,866.8,42.6,0.8480,17.231,14.612
44.5000,64.97,876.7,42.1,0.8497,17.305,14.703
44.6667,65.31,878.0,41.6,0.8547,17.296,14.783
44.8333,64.85,875.6,40.7,0.8503,17.269,14.683
45.0000,64.59,0.0,41.4,0.0000,0.000,0.000
45.1667,64.76,0.0,40.9,0.0000,0.000,0.000
45.3333,65.10,0.0,40.2,0.0000,0.000,0.000
45.5000,65.57,0.0,41.4,0.0000,0.000,0.000
45.6667,64.83,0.0,40.8,0.0000,0.000,0.000
45.8333,65.12,0.0,40.2,0.0000,0.000,0.000
46.0000,65.36,878.9,39.3,0.8471,17.568,14.881
46.1667,64.83,882.8,38.5,0.8488,17.440,14.803
46.3333,65.13,888.5,41.0,0.8479,17.706,15.013
46.5000,64.98,882.2,38.9,0.8467,17.828,15.094
46.6667,64.98,887.7,37.6,0.8442,17.744,14.979
46.8333,64.75,883.1,39.2,0.8506,17.485,14.873
47.0000,65.41,0.0,38.1,0.0000,0.000,0.000
47.1667,65.52,0.0,37.6,0.0000,0.000,0.000
47.3333,64.59,0.0,38.3,0.0000,0.000,0.000
47.5000,64.73,0.0,37.3,0.0000,0.000,0.000
47.6667,65.91,0.0,37.2,0.0000,0.000,0.000
47.8333,65.11,0.0,38.4,0.0000,0.000,0.000
48.0000,65.30,891.9,38.2,0.8486,17.766,15.076
48.1667,64.87,887.9,36.1,0.8515,17.651,15.029
48.3333,65.49,894.1,37.3,0.8446,17.717,14.964
48.5000,65.02,892.3,35.8,0.8461,17.716,14.990
48.6667,64.44,897.9,35.6,0.8474,17.806,15.089
48.8333,65.23,890.6,35.2,0.8506,17.563,14.940
49.0000,64.74,0.0,36.0,0.0000,0.000,0.000
49.1667,64.77,0.0,34.6,0.0000,0.000,0.000
49.3333,64.82,0.0,37.0,0.0000,0.000,0.000
49.5000,65.25,0.0,36.2,0.0000,0.000,0.000
49.6667,64.51,0.0,34.0,0.0000,0.000,0.000
49.8333,64.91,0.0,34.4,0.0000,0.000,0.000
50.0000,65.31,902.2,33.4,0.8430,18.027,15.196
50.1667,65.12,896.6,34.7,0.8461,17.688,14.967
50.3333,65.64,898.6,33.4,0.8500,17.763,15.099
50.5000,64.77,908.0,33.1,0.8491,17.999,15.283
