time (h),temperature (°C),irradiance (W/m^2),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.0000,65.20,894.8,37.8,0.8716,18.841,16.422
0.1667,64.82,895.4,42.2,0.8693,18.904,16.434
0.3333,65.15,898.1,40.4,0.8670,18.969,16.446
0.5000,65.05,901.2,38.1,0.8697,18.905,16.442
0.6667,65.07,902.2,40.1,0.8686,19.100,16.591
0.8333,65.16,901.3,37.7,0.8674,18.860,16.360
1.0000,65.26,0.0,39.5,0.0000,0.000,0.000
1.1667,65.10,0.0,40.4,0.0000,0.000,0.000
1.3333,65.15,0.0,38.7,0.0000,0.000,0.000
1.5000,65.31,0.0,39.0,0.0000,0.000,0.000
1.6667,64.81,0.0,39.2,0.0000,0.000,0.000
1.8333,65.31,0.0,37.5,0.0000,0.000,0.000
2.0000,65.30,907.4,38.2,0.8639,18.971,16.389
2.1667,65.26,908.8,37.8,0.8668,19.113,16.568
2.3333,65.12,913.4,37.6,0.8677,18.754,16.272
2.5000,65.28,910.8,38.6,0.8648,19.144,16.555
2.6667,64.94,915.7,35.0,0.8676,19.168,16.630
2.8333,65.40,915.5,36.5,0.8655,19.006,16.450
3.0000,64.58,0.0,39.5,0.0000,0.000,0.000
3.1667,64.27,0.0,35.8,0.0000,0.000,0.000
3.3333,65.24,0.0,37.9,0.0000,0.000,0.000
3.5000,64.59,0.0,36.2,0.0000,0.000,0.000
3.6667,64.97,0.0,36.2,0.0000,0.000,0.000
3.8333,64.76,0.0,37.3,0.0000,0.000,0.000
4.0000,64.96,920.1,35.8,0.8637,19.129,16.522
4.1667,64.74,915.8,36.2,0.8690,18.861,16.389
4.3333,65.05,920.7,33.9,0.8662,18.999,16.457
4.5000,64.96,923.0,36.0,0.8701,18.969,16.505
4.6667,64.71,925.6,35.8,0.8613,19.096,16.447
4.8333,65.74,925.5,37.1,0.8635,19.245,16.619
5.0000,65.14,0.0,37.2,0.0000,0.000,0.000
5.1667,65.32,0.0,35.8,0.0000,0.000,0.000
5.3333,64.31,0.0,35.7,0.0000,0.000,0.000
5.5000,65.07,0.0,37.0,0.0000,0.000,0.000
5.6667,64.28,0.0,36.4,0.0000,0.000,0.000
5.8333,65.54,0.0,36.3,0.0000,0.000,0.000
6.0000,65.06,926.1,35.4,0.8653,19.149,16.570
6.1667,64.97,927.0,37.9,0.8602,19.336,16.632
6.3333,64.79,931.2,36.2,0.8619,19.254,16.596
6.5000,65.21,929.8,36.3,0.8618,19.113,16.472
6.6667,65.13,929.9,36.3,0.8597,19.165,16.477
6.8333,64.99,931.7,35.1,0.8633,19.089,16.479
