direction,irradiance (W/m^2),open_circuit_voltage (V),short_circuit_current_density (mA/cm^2),fill_factor (%),efficiency (%),potential_at_maximum_power_point (V),current_density_at_maximum_power_point (mA/cm^2),series_resistance (ohm*cm^2),shunt_resistance (ohm*cm^2)
reverse,1000,1.1139,21.517,84.03,20.140,0.990,20.344,1.551,2985
forward,1000,1.1039,21.301,83.94,19.738,0.980,20.140,1.567,3030

voltage (V),current_density (mA/cm^2),direction
1.150,-32.3466,reverse
1.140,-20.1238,reverse
1.130,-10.6929,reverse
1.120,-3.4162,reverse
1.110,2.1986,reverse
1.100,6.5313,reverse
1.090,9.8748,reverse
1.080,12.4551,reverse
1.070,14.4466,reverse
1.060,15.9838,reverse
1.050,17.1706,reverse
1.040,18.0869,reverse
1.030,18.7946,reverse
1.020,19.3414,reverse
1.010,19.7640,reverse
1.000,20.0909,reverse
0.990,20.3438,reverse
0.980,20.5396,reverse
0.970,20.6915,reverse
0.960,20.8095,reverse
0.950,20.9012,reverse
0.940,20.9728,reverse
0.930,21.0287,reverse
0.920,21.0727,reverse
0.910,21.1073,reverse
0.900,21.1348,reverse
0.890,21.1568,reverse
0.880,21.1745,reverse
0.870,21.1890,reverse
0.860,21.2009,reverse
0.850,21.2108,reverse
0.840,21.2192,reverse
0.830,21.2265,reverse
0.820,21.2329,reverse
0.810,21.2385,reverse
0.800,21.2437,reverse
0.790,21.2484,reverse
0.780,21.2528,reverse
0.770,21.2570,reverse
0.760,21.2610,reverse
0.750,21.2648,reverse
0.740,21.2685,reverse
0.730,21.2721,reverse
0.720,21.2757,reverse
0.710,21.2792,reverse
0.700,21.2827,reverse
0.690,21.2861,reverse
0.680,21.2895,reverse
0.670,21.2929,reverse
0.660,21.2963,reverse
0.650,21.2997,reverse
0.640,21.3030,reverse
0.630,21.3064,reverse
0.620,21.3097,reverse
0.610,21.3131,reverse
0.600,21.3164,reverse
0.590,21.3198,reverse
0.580,21.3231,reverse
0.570,21.3264,reverse
0.560,21.3298,reverse
0.550,21.3331,reverse
0.540,21.3364,reverse
0.530,21.3398,reverse
0.520,21.3431,reverse
0.510,21.3464,reverse
0.500,21.3498,reverse
0.490,21.3531,reverse
0.480,21.3565,reverse
0.470,21.3598,reverse
0.460,21.3631,reverse
0.450,21.3665,reverse
0.440,21.3698,reverse
0.430,21.3731,reverse
0.420,21.3765,reverse
0.410,21.3798,reverse
0.400,21.3831,reverse
0.390,21.3865,reverse
0.380,21.3898,reverse
0.370,21.3931,reverse
0.360,21.3965,reverse
0.350,21.3998,reverse
0.340,21.4031,reverse
0.330,21.4065,reverse
0.320,21.4098,reverse
0.310,21.4131,reverse
0.300,21.4165,reverse
0.290,21.4198,reverse
0.280,21.4231,reverse
0.270,21.4265,reverse
0.260,21.4298,reverse
0.250,21.4331,reverse
0.240,21.4365,reverse
0.230,21.4398,reverse
0.220,21.4431,reverse
0.210,21.4465,reverse
0.200,21.4498,reverse
0.190,21.4531,reverse
0.180,21.4565,reverse
0.170,21.4598,reverse
0.160,21.4631,reverse
0.150,21.4665,reverse
0.140,21.4698,reverse
0.130,21.4731,reverse
0.120,21.4765,reverse
0.110,21.4798,reverse
0.100,21.4831,reverse
0.090,21.4865,reverse
0.080,21.4898,reverse
0.070,21.4931,reverse
0.060,21.4965,reverse
0.050,21.4998,reverse
0.040,21.5031,reverse
0.030,21.5065,reverse
0.020,21.5098,reverse
0.010,21.5131,reverse
-0.000,21.5165,reverse
-0.010,21.5198,reverse
-0.020,21.5231,reverse
-0.030,21.5265,reverse
-0.040,21.5298,reverse
-0.050,21.5331,reverse
-0.060,21.5365,reverse
-0.070,21.5398,reverse
-0.080,21.5431,reverse
-0.090,21.5465,reverse
-0.100,21.5498,reverse
-0.100,21.3346,forward
-0.090,21.3313,forward
-0.080,21.3280,forward
-0.070,21.3246,forward
-0.060,21.3213,forward
-0.050,21.3180,forward
-0.040,21.3146,forward
-0.030,21.3113,forward
-0.020,21.3080,forward
-0.010,21.3046,forward
-0.000,21.3013,forward
0.010,21.2980,forward
0.020,21.2946,forward
0.030,21.2913,forward
0.040,21.2880,forward
0.050,21.2846,forward
0.060,21.2813,forward
0.070,21.2780,forward
0.080,21.2746,forward
0.090,21.2713,forward
0.100,21.2680,forward
0.110,21.2646,forward
0.120,21.2613,forward
0.130,21.2580,forward
0.140,21.2546,forward
0.150,21.2513,forward
0.160,21.2480,forward
0.170,21.2446,forward
0.180,21.2413,forward
0.190,21.2380,forward
0.200,21.2346,forward
0.210,21.2313,forward
0.220,21.2280,forward
0.230,21.2246,forward
0.240,21.2213,forward
0.250,21.2180,forward
0.260,21.2146,forward
0.270,21.2113,forward
0.280,21.2080,forward
0.290,21.2046,forward
0.300,21.2013,forward
0.310,21.1980,forward
0.320,21.1946,forward
0.330,21.1913,forward
0.340,21.1880,forward
0.350,21.1846,forward
0.360,21.1813,forward
0.370,21.1780,forward
0.380,21.1746,forward
0.390,21.1713,forward
0.400,21.1680,forward
0.410,21.1646,forward
0.420,21.1613,forward
0.430,21.1580,forward
0.440,21.1546,forward
0.450,21.1513,forward
0.460,21.1480,forward
0.470,21.1446,forward
0.480,21.1413,forward
0.490,21.1380,forward
0.500,21.1346,forward
0.510,21.1313,forward
0.520,21.1279,forward
0.530,21.1246,forward
0.540,21.1213,forward
0.550,21.1179,forward
0.560,21.1146,forward
0.570,21.1113,forward
0.580,21.1079,forward
0.590,21.1046,forward
0.600,21.1012,forward
0.610,21.0979,forward
0.620,21.0945,forward
0.630,21.0912,forward
0.640,21.0878,forward
0.650,21.0845,forward
0.660,21.0811,forward
0.670,21.0777,forward
0.680,21.0743,forward
0.690,21.0708,forward
0.700,21.0674,forward
0.710,21.0639,forward
0.720,21.0603,forward
0.730,21.0567,forward
0.740,21.0530,forward
0.750,21.0491,forward
0.760,21.0452,forward
0.770,21.0410,forward
0.780,21.0366,forward
0.790,21.0319,forward
0.800,21.0268,forward
0.810,21.0211,forward
0.820,21.0148,forward
0.830,21.0076,forward
0.840,20.9992,forward
0.850,20.9893,forward
0.860,20.9775,forward
0.870,20.9632,forward
0.880,20.9456,forward
0.890,20.9238,forward
0.900,20.8966,forward
0.910,20.8622,forward
0.920,20.8187,forward
0.930,20.7632,forward
0.940,20.6924,forward
0.950,20.6015,forward
0.960,20.4847,forward
0.970,20.3343,forward
0.980,20.1404,forward
0.990,19.8899,forward
1.000,19.5664,forward
1.010,19.1479,forward
1.020,18.6066,forward
1.030,17.9059,forward
1.040,16.9987,forward
1.050,15.8238,forward
1.060,14.3019,forward
1.070,12.3303,forward
1.080,9.7758,forward
1.090,6.4657,forward
1.100,2.1763,forward
1.110,-3.3824,forward
1.120,-10.5865,forward
1.130,-19.9230,forward
1.140,-32.0236,forward
1.150,-47.7069,forward
