direction,irradiance (W/m^2),open_circuit_voltage (V),short_circuit_current_density (mA/cm^2),fill_factor (%),efficiency (%),potential_at_maximum_power_point (V),current_density_at_maximum_power_point (mA/cm^2),series_resistance (ohm*cm^2),shunt_resistance (ohm*cm^2)
reverse,1000,1.1146,21.760,84.06,20.386,0.990,20.592,1.560,2985
forward,1000,1.1046,21.542,83.96,19.978,0.980,20.386,1.576,2985

voltage (V),current_density (mA/cm^2),direction
1.150,-31.8030,reverse
1.140,-19.6487,reverse
1.130,-10.2708,reverse
1.120,-3.0349,reverse
1.110,2.5485,reverse
1.100,6.8569,reverse
1.090,10.1816,reverse
1.080,12.7474,reverse
1.070,14.7278,reverse
1.060,16.2564,reverse
1.050,17.4365,reverse
1.040,18.3477,reverse
1.030,19.0515,reverse
1.020,19.5952,reverse
1.010,20.0155,reverse
1.000,20.3405,reverse
0.990,20.5920,reverse
0.980,20.7868,reverse
0.970,20.9378,reverse
0.960,21.0551,reverse
0.950,21.1464,reverse
0.940,21.2176,reverse
0.930,21.2732,reverse
0.920,21.3170,reverse
0.910,21.3514,reverse
0.900,21.3788,reverse
0.890,21.4007,reverse
0.880,21.4183,reverse
0.870,21.4327,reverse
0.860,21.4445,reverse
0.850,21.4544,reverse
0.840,21.4628,reverse
0.830,21.4701,reverse
0.820,21.4764,reverse
0.810,21.4821,reverse
0.800,21.4872,reverse
0.790,21.4920,reverse
0.780,21.4964,reverse
0.770,21.5005,reverse
0.760,21.5045,reverse
0.750,21.5083,reverse
0.740,21.5120,reverse
0.730,21.5156,reverse
0.720,21.5192,reverse
0.710,21.5227,reverse
0.700,21.5262,reverse
0.690,21.5296,reverse
0.680,21.5330,reverse
0.670,21.5364,reverse
0.660,21.5398,reverse
0.650,21.5432,reverse
0.640,21.5465,reverse
0.630,21.5499,reverse
0.620,21.5532,reverse
0.610,21.5566,reverse
0.600,21.5599,reverse
0.590,21.5633,reverse
0.580,21.5666,reverse
0.570,21.5699,reverse
0.560,21.5733,reverse
0.550,21.5766,reverse
0.540,21.5800,reverse
0.530,21.5833,reverse
0.520,21.5866,reverse
0.510,21.5900,reverse
0.500,21.5933,reverse
0.490,21.5966,reverse
0.480,21.6000,reverse
0.470,21.6033,reverse
0.460,21.6066,reverse
0.450,21.6100,reverse
0.440,21.6133,reverse
0.430,21.6166,reverse
0.420,21.6200,reverse
0.410,21.6233,reverse
0.400,21.6266,reverse
0.390,21.6300,reverse
0.380,21.6333,reverse
0.370,21.6366,reverse
0.360,21.6400,reverse
0.350,21.6433,reverse
0.340,21.6466,reverse
0.330,21.6500,reverse
0.320,21.6533,reverse
0.310,21.6566,reverse
0.300,21.6600,reverse
0.290,21.6633,reverse
0.280,21.6666,reverse
0.270,21.6700,reverse
0.260,21.6733,reverse
0.250,21.6766,reverse
0.240,21.6800,reverse
0.230,21.6833,reverse
0.220,21.6866,reverse
0.210,21.6900,reverse
0.200,21.6933,reverse
0.190,21.6966,reverse
0.180,21.7000,reverse
0.170,21.7033,reverse
0.160,21.7066,reverse
0.150,21.7100,reverse
0.140,21.7133,reverse
0.130,21.7166,reverse
0.120,21.7200,reverse
0.110,21.7233,reverse
0.100,21.7266,reverse
0.090,21.7300,reverse
