time (h),temperature (°C),irradiance (W/m^2),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.0000,22.90,903.0,39.5,0.9515,19.309,18.372
0.1667,25.48,893.5,39.2,0.9456,19.055,18.019
0.3333,27.60,900.5,39.4,0.9426,19.071,17.977
0.5000,29.99,903.8,40.0,0.9362,19.105,17.887
0.6667,32.46,907.0,38.3,0.9347,18.901,17.667
0.8333,34.99,901.6,37.5,0.9295,18.987,17.649
1.0000,36.47,899.5,38.6,0.9232,18.906,17.454
1.1667,39.43,906.6,38.9,0.9188,19.073,17.525
1.3333,41.73,912.3,38.5,0.9136,19.226,17.565
1.5000,43.59,904.7,37.8,0.9079,19.013,17.262
1.6667,46.53,906.9,39.3,0.9040,19.183,17.342
1.8333,48.43,911.2,38.3,0.9038,19.031,17.200
2.0000,51.30,908.9,38.2,0.8941,19.053,17.036
2.1667,52.81,907.0,37.3,0.8917,19.045,16.983
2.3333,56.19,910.6,38.0,0.8880,18.983,16.858
2.5000,58.19,912.6,35.7,0.8807,19.071,16.795
2.6667,60.62,912.1,36.5,0.8762,19.086,16.723
2.8333,63.25,911.5,37.3,0.8715,18.969,16.531
3.0000,64.89,915.9,37.9,0.8702,19.077,16.600
3.1667,62.57,913.7,37.8,0.8717,18.962,16.530
3.3333,60.87,912.7,37.0,0.8761,19.030,16.672
3.5000,57.90,915.2,37.3,0.8816,19.077,16.818
3.6667,55.53,921.8,37.0,0.8829,19.222,16.971
3.8333,53.29,915.8,37.3,0.8873,18.917,16.785
4.0000,50.83,920.3,36.5,0.8914,19.165,17.084
4.1667,48.76,920.0,36.5,0.8991,19.106,17.179
4.3333,46.31,922.3,35.6,0.8991,19.179,17.243
4.5000,44.23,917.5,36.6,0.9011,19.118,17.227
4.6667,40.93,920.7,35.9,0.9097,19.385,17.635
4.8333,39.62,919.9,37.1,0.9118,18.953,17.281
5.0000,36.95,922.7,34.0,0.9180,19.245,17.666
5.1667,34.38,922.8,36.6,0.9253,19.130,17.701
5.3333,32.35,925.3,36.3,0.9275,19.109,17.723
5.5000,29.85,931.0,36.8,0.9324,19.401,18.089
5.6667,27.79,929.1,37.3,0.9340,19.324,18.049
5.8333,25.14,920.3,35.1,0.9386,19.040,17.870
6.0000,22.82,925.5,36.5,0.9491,19.001,18.035
6.1667,25.24,931.2,36.9,0.9381,19.229,18.040
6.3333,27.68,932.7,37.5,0.9328,19.403,18.098
6.5000,30.16,932.0,35.8,0.9337,19.368,18.083
6.6667,32.73,929.4,37.6,0.9232,19.410,17.919
6.8333,34.52,930.0,35.9,0.9214,19.283,17.767
7.0000,37.31,923.5,35.8,0.9148,19.017,17.396
7.1667,39.46,932.0,36.6,0.9135,19.303,17.634
7.3333,41.83,930.4,36.9,0.9097,19.272,17.532
7.5000,44.30,932.4,37.2,0.9037,19.056,17.222
7.6667,46.56,934.7,37.5,0.8991,19.255,17.313
7.8333,48.95,934.5,37.5,0.8969,19.112,17.141
8.0000,51.44,936.5,39.5,0.8877,19.408,17.228
8.1667,53.34,931.8,39.1,0.8838,19.162,16.934
8.3333,55.53,940.3,38.0,0.8826,19.368,17.095
8.5000,58.01,937.6,37.2,0.8779,19.283,16.929
8.6667,60.93,933.3,37.3,0.8720,19.177,16.723
8.8333,62.77,933.3,39.1,0.8689,19.048,16.550
9.0000,65.38,937.7,38.7,0.8624,19.358,16.694
9.1667,63.03,936.6,38.6,0.8677,19.057,16.535
9.3333,60.20,931.0,40.4,0.8707,18.960,16.508
9.5000,57.83,931.5,39.9,0.8736,19.128,16.710
9.6667,55.96,938.2,40.5,0.8768,19.179,16.817
9.8333,53.31,936.3,39.6,0.8835,19.129,16.900
10.0000,50.86,936.5,38.2,0.8861,19.183,16.998
10.1667,48.56,940.6,41.0,0.8950,19.267,17.244
10.3333,46.54,940.5,41.6,0.8957,19.255,17.246
10.5000,44.72,937.9,41.1,0.9009,19.195,17.293
10.6667,42.56,941.6,40.4,0.9024,19.459,17.561
10.8333,38.82,939.9,41.0,0.9099,19.190,17.462
11.0000,37.27,941.9,41.6,0.9128,19.262,17.582
11.1667,34.20,942.6,41.9,0.9171,19.235,17.641
11.3333,32.14,945.2,41.8,0.9180,19.478,17.882
11.5000,30.34,938.9,42.5,0.9278,19.220,17.832
11.6667,28.15,941.8,41.3,0.9270,19.288,17.881
11.8333,25.86,940.7,42.6,0.9336,19.203,17.927
12.0000,23.43,937.0,43.1,0.9389,19.265,18.087
12.1667,25.55,938.9,44.2,0.9360,19.286,18.051
12.3333,27.24,942.7,44.0,0.9310,19.327,17.992
12.5000,30.28,943.6,43.8,0.9240,19.066,17.616
12.6667,32.50,940.1,43.2,0.9191,19.363,17.796
12.8333,34.20,935.1,43.7,0.9177,19.242,17.658
13.0000,36.56,943.2,43.7,0.9171,19.308,17.707
13.1667,39.05,936.2,43.6,0.9097,18.971,17.259
13.3333,41.55,937.7,44.3,0.9081,19.021,17.273
13.5000,44.39,937.0,44.2,0.8995,19.252,17.316
13.6667,46.21,938.3,45.2,0.8929,19.105,17.058
13.8333,48.57,941.5,45.4,0.8910,19.167,17.078
14.0000,50.97,936.3,47.3,0.8876,19.099,16.954
14.1667,53.33,937.7,47.2,0.8820,19.247,16.976
14.3333,55.53,938.9,46.0,0.8774,19.093,16.753
14.5000,58.35,942.6,45.9,0.8711,19.286,16.800
