voltage (V),current_density (mA/cm^2),direction
1.150,-31.9457,reverse
1.140,-19.7735,reverse
1.130,-10.3818,reverse
1.120,-3.1351,reverse
1.110,2.4565,reverse
1.100,6.7712,reverse
1.090,10.1009,reverse
1.080,12.6705,reverse
1.070,14.6537,reverse
1.060,16.1846,reverse
1.050,17.3664,reverse
1.040,18.2790,reverse
1.030,18.9838,reverse
1.020,19.5284,reverse
1.010,19.9493,reverse
1.000,20.2747,reverse
0.990,20.5266,reverse
0.980,20.7217,reverse
0.970,20.8729,reverse
0.960,20.9904,reverse
0.950,21.0818,reverse
0.940,21.1531,reverse
0.930,21.2088,reverse
0.920,21.2526,reverse
0.910,21.2871,reverse
0.900,21.3145,reverse
0.890,21.3364,reverse
0.880,21.3541,reverse
0.870,21.3685,reverse
0.860,21.3803,reverse
0.850,21.3902,reverse
0.840,21.3987,reverse
0.830,21.4059,reverse
0.820,21.4123,reverse
0.810,21.4179,reverse
0.800,21.4231,reverse
0.790,21.4278,reverse
0.780,21.4322,reverse
0.770,21.4363,reverse
0.760,21.4403,reverse
0.750,21.4441,reverse
0.740,21.4478,reverse
0.730,21.4515,reverse
0.720,21.4550,reverse
0.710,21.4585,reverse
0.700,21.4620,reverse
0.690,21.4654,reverse
0.680,21.4689,reverse
0.670,21.4723,reverse
0.660,21.4756,reverse
0.650,21.4790,reverse
0.640,21.4824,reverse
0.630,21.4857,reverse
0.620,21.4891,reverse
0.610,21.4924,reverse
0.600,21.4958,reverse
0.590,21.4991,reverse
0.580,21.5024,reverse
0.570,21.5058,reverse
0.560,21.5091,reverse
0.550,21.5125,reverse
0.540,21.5158,reverse
0.530,21.5191,reverse
0.520,21.5225,reverse
0.510,21.5258,reverse
0.500,21.5291,reverse
0.490,21.5325,reverse
0.480,21.5358,reverse
0.470,21.5391,reverse
0.460,21.5425,reverse
0.450,21.5458,reverse
0.440,21.5491,reverse
0.430,21.5525,reverse
0.420,21.5558,reverse
0.410,21.5591,reverse
0.400,21.5625,reverse
0.390,21.5658,reverse
0.380,21.5691,reverse
0.370,21.5725,reverse
0.360,21.5758,reverse
0.350,21.5791,reverse
0.340,21.5825,reverse
0.330,21.5858,reverse
0.320,21.5891,reverse
0.310,21.5925,reverse
0.300,21.5958,reverse
0.290,21.5991,reverse
0.280,21.6025,reverse
0.270,21.6058,reverse
0.260,21.6091,reverse
0.250,21.6125,reverse
0.240,21.6158,reverse
0.230,21.6191,reverse
0.220,21.6225,reverse
0.210,21.6258,reverse
0.200,21.6291,reverse
0.190,21.6325,reverse
0.180,21.6358,reverse
0.170,21.6391,reverse
0.160,21.6425,reverse
0.150,21.6458,reverse
0.140,21.6491,reverse
0.130,21.6525,reverse
0.120,21.6558,reverse
0.110,21.6591,reverse
0.100,21.6625,reverse
0.090,21.6658,reverse
0.080,21.6691,reverse
0.070,21.6725,reverse
0.060,21.6758,reverse
0.050,21.6791,reverse
0.040,21.6825,reverse
0.030,21.6858,reverse
0.020,21.6891,reverse
0.010,21.6925,reverse
-0.000,21.6958,reverse
-0.010,21.6991,reverse
-0.020,21.7025,reverse
-0.030,21.7058,reverse
-0.040,21.7091,reverse
-0.050,21.7125,reverse
-0.060,21.7158,reverse
-0.070,21.7191,reverse
-0.080,21.7225,reverse
-0.090,21.7258,reverse
-0.100,21.7291,reverse
-0.100,21.5122,forward
-0.090,21.5088,forward
-0.080,21.5055,forward
-0.070,21.5022,forward
-0.060,21.4988,forward
-0.050,21.4955,forward
-0.040,21.4922,forward
-0.030,21.4888,forward
-0.020,21.4855,forward
-0.010,21.4822,forward
-0.000,21.4788,forward
0.010,21.4755,forward
0.020,21.4722,forward
0.030,21.4688,forward
0.040,21.4655,forward
0.050,21.4622,forward
0.060,21.4588,forward
0.070,21.4555,forward
0.080,21.4522,forward
0.090,21.4488,forward
0.100,21.4455,forward
0.110,21.4422,forward
0.120,21.4388,forward
0.130,21.4355,forward
0.140,21.4322,forward
0.150,21.4288,forward
0.160,21.4255,forward
0.170,21.4222,forward
0.180,21.4188,forward
0.190,21.4155,forward
0.200,21.4122,forward
0.210,21.4088,forward
0.220,21.4055,forward
0.230,21.4022,forward
0.240,21.3988,forward
0.250,21.3955,forward
0.260,21.3922,forward
0.270,21.3888,forward
0.280,21.3855,forward
0.290,21.3822,forward
0.300,21.3788,forward
0.310,21.3755,forward
0.320,21.3722,forward
0.330,21.3688,forward
0.340,21.3655,forward
0.350,21.3622,forward
0.360,21.3588,forward
0.370,21.3555,forward
0.380,21.3522,forward
0.390,21.3488,forward
0.400,21.3455,forward
0.410,21.3422,forward
0.420,21.3388,forward
0.430,21.3355,forward
0.440,21.3322,forward
0.450,21.3288,forward
0.460,21.3255,forward
0.470,21.3222,forward
0.480,21.3188,forward
0.490,21.3155,forward
0.500,21.3122,forward
0.510,21.3088,forward
0.520,21.3055,forward
0.530,21.3022,forward
0.540,21.2988,forward
0.550,21.2955,forward
0.560,21.2922,forward
0.570,21.2888,forward
0.580,21.2855,forward
0.590,21.2821,forward
0.600,21.2788,forward
0.610,21.2754,forward
0.620,21.2721,forward
0.630,21.2687,forward
0.640,21.2654,forward
0.650,21.2620,forward
0.660,21.2586,forward
0.670,21.2552,forward
0.680,21.2518,forward
0.690,21.2484,forward
0.700,21.2449,forward
0.710,21.2414,forward
0.720,21.2379,forward
0.730,21.2342,forward
0.740,21.2305,forward
0.750,21.2267,forward
0.760,21.2227,forward
0.770,21.2186,forward
0.780,21.2142,forward
0.790,21.2095,forward
0.800,21.2044,forward
0.810,21.1987,forward
0.820,21.1924,forward
0.830,21.1852,forward
0.840,21.1768,forward
0.850,21.1670,forward
0.860,21.1552,forward
0.870,21.1409,forward
0.880,21.1234,forward
0.890,21.1017,forward
0.900,21.0745,forward
0.910,21.0403,forward
0.920,20.9970,forward
0.930,20.9417,forward
0.940,20.8711,forward
0.950,20.7806,forward
0.960,20.6643,forward
0.970,20.5145,forward
0.980,20.3214,forward
0.990,20.0720,forward
1.000,19.7497,forward
