voltage (V),current_density (mA/cm^2),direction
1.150,-28.0563,reverse
1.140,-16.3605,reverse
1.130,-7.3363,reverse
1.120,-0.3733,reverse
1.110,4.9995,reverse
1.100,9.1454,reverse
1.090,12.3448,reverse
1.080,14.8140,reverse
1.070,16.7197,reverse
1.060,18.1908,reverse
1.050,19.3265,reverse
1.040,20.2034,reverse
1.030,20.8808,reverse
1.020,21.4041,reverse
1.010,21.8087,reverse
1.000,22.1215,reverse
0.990,22.3637,reverse
0.980,22.5512,reverse
0.970,22.6967,reverse
0.960,22.8097,reverse
0.950,22.8976,reverse
0.940,22.9663,reverse
0.930,23.0200,reverse
0.920,23.0621,reverse
0.910,23.0954,reverse
0.900,23.1219,reverse
0.890,23.1431,reverse
0.880,23.1602,reverse
0.870,23.1741,reverse
0.860,23.1857,reverse
0.850,23.1953,reverse
0.840,23.2035,reverse
0.830,23.2106,reverse
0.820,23.2169,reverse
0.810,23.2224,reverse
0.800,23.2275,reverse
0.790,23.2322,reverse
0.780,23.2365,reverse
0.770,23.2407,reverse
0.760,23.2446,reverse
0.750,23.2484,reverse
0.740,23.2521,reverse
0.730,23.2557,reverse
0.720,23.2593,reverse
0.710,23.2628,reverse
0.700,23.2662,reverse
0.690,23.2697,reverse
0.680,23.2731,reverse
0.670,23.2765,reverse
0.660,23.2798,reverse
0.650,23.2832,reverse
0.640,23.2866,reverse
0.630,23.2899,reverse
0.620,23.2933,reverse
0.610,23.2966,reverse
0.600,23.3000,reverse
0.590,23.3033,reverse
0.580,23.3066,reverse
0.570,23.3100,reverse
0.560,23.3133,reverse
0.550,23.3167,reverse
0.540,23.3200,reverse
0.530,23.3233,reverse
0.520,23.3267,reverse
0.510,23.3300,reverse
0.500,23.3333,reverse
0.490,23.3367,reverse
0.480,23.3400,reverse
0.470,23.3433,reverse
0.460,23.3467,reverse
0.450,23.3500,reverse
0.440,23.3533,reverse
0.430,23.3567,reverse
0.420,23.3600,reverse
0.410,23.3633,reverse
0.400,23.3667,reverse
0.390,23.3700,reverse
0.380,23.3733,reverse
0.370,23.3767,reverse
0.360,23.3800,reverse
0.350,23.3833,reverse
0.340,23.3867,reverse
0.330,23.3900,reverse
0.320,23.3933,reverse
0.310,23.3967,reverse
0.300,23.4000,reverse
0.290,23.4033,reverse
0.280,23.4067,reverse
0.270,23.4100,reverse
0.260,23.4133,reverse
0.250,23.4167,reverse
0.240,23.4200,reverse
0.230,23.4233,reverse
0.220,23.4267,reverse
0.210,23.4300,reverse
0.200,23.4333,reverse
0.190,23.4367,reverse
0.180,23.4400,reverse
0.170,23.4433,reverse
0.160,23.4467,reverse
0.150,23.4500,reverse
0.140,23.4533,reverse
0.130,23.4567,reverse
0.120,23.4600,reverse
0.110,23.4633,reverse
0.100,23.4667,reverse
0.090,23.4700,reverse
0.080,23.4733,reverse
0.070,23.4767,reverse
0.060,23.4800,reverse
0.050,23.4833,reverse
0.040,23.4867,reverse
0.030,23.4900,reverse
0.020,23.4933,reverse
0.010,23.4967,reverse
-0.000,23.5000,reverse
-0.010,23.5033,reverse
-0.020,23.5067,reverse
-0.030,23.5100,reverse
-0.040,23.5133,reverse
-0.050,23.5167,reverse
-0.060,23.5200,reverse
-0.070,23.5233,reverse
-0.080,23.5267,reverse
-0.090,23.5300,reverse
-0.100,23.5333,reverse
-0.100,23.2983,forward
-0.090,23.2950,forward
-0.080,23.2917,forward
-0.070,23.2883,forward
-0.060,23.2850,forward
-0.050,23.2817,forward
-0.040,23.2783,forward
-0.030,23.2750,forward
-0.020,23.2717,forward
-0.010,23.2683,forward
-0.000,23.2650,forward
0.010,23.2617,forward
0.020,23.2583,forward
0.030,23.2550,forward
0.040,23.2517,forward
0.050,23.2483,forward
0.060,23.2450,forward
0.070,23.2417,forward
0.080,23.2383,forward
0.090,23.2350,forward
0.100,23.2317,forward
0.110,23.2283,forward
0.120,23.2250,forward
0.130,23.2217,forward
0.140,23.2183,forward
0.150,23.2150,forward
0.160,23.2117,forward
0.170,23.2083,forward
0.180,23.2050,forward
0.190,23.2017,forward
0.200,23.1983,forward
0.210,23.1950,forward
0.220,23.1917,forward
0.230,23.1883,forward
0.240,23.1850,forward
0.250,23.1817,forward
0.260,23.1783,forward
0.270,23.1750,forward
0.280,23.1717,forward
0.290,23.1683,forward
0.300,23.1650,forward
0.310,23.1617,forward
0.320,23.1583,forward
0.330,23.1550,forward
0.340,23.1517,forward
0.350,23.1483,forward
0.360,23.1450,forward
0.370,23.1417,forward
0.380,23.1383,forward
0.390,23.1350,forward
0.400,23.1317,forward
0.410,23.1283,forward
0.420,23.1250,forward
0.430,23.1217,forward
0.440,23.1183,forward
0.450,23.1150,forward
0.460,23.1117,forward
0.470,23.1083,forward
0.480,23.1050,forward
0.490,23.1017,forward
0.500,23.0983,forward
0.510,23.0950,forward
0.520,23.0917,forward
0.530,23.0883,forward
0.540,23.0850,forward
0.550,23.0817,forward
0.560,23.0783,forward
0.570,23.0750,forward
0.580,23.0716,forward
0.590,23.0683,forward
0.600,23.0650,forward
0.610,23.0616,forward
0.620,23.0583,forward
0.630,23.0549,forward
0.640,23.0515,forward
0.650,23.0482,forward
0.660,23.0448,forward
0.670,23.0414,forward
0.680,23.0380,forward
0.690,23.0346,forward
0.700,23.0311,forward
0.710,23.0276,forward
0.720,23.0241,forward
0.730,23.0204,forward
0.740,23.0168,forward
0.750,23.0130,forward
0.760,23.0090,forward
0.770,23.0049,forward
0.780,23.0005,forward
0.790,22.9959,forward
0.800,22.9908,forward
0.810,22.9853,forward
0.820,22.9791,forward
0.830,22.9720,forward
0.840,22.9639,forward
0.850,22.9543,forward
0.860,22.9428,forward
0.870,22.9290,forward
0.880,22.9120,forward
0.890,22.8910,forward
0.900,22.8648,forward
0.910,22.8318,forward
0.920,22.7900,forward
0.930,22.7368,forward
0.940,22.6688,forward
0.950,22.5817,forward
0.960,22.4698,forward
0.970,22.3258,forward
0.980,22.1401,forward
0.990,21.9003,forward
1.000,21.5905,forward
1.010,21.1900,forward
1.020,20.6719,forward
1.030,20.0013,forward
1.040,19.1330,forward
1.050,18.0087,forward
1.060,16.5523,forward
1.070,14.6656,forward
1.080,12.2211,forward
1.090,9.0536,forward
1.100,4.9491,forward
1.110,-0.3700,forward
1.120,-7.2634,forward
1.130,-16.1974,forward
1.140,-27.7762,forward
1.150,-42.7832,forward
