direction,irradiance (W/m^2),open_circuit_voltage (V),short_circuit_current_density (mA/cm^2),fill_factor (%),efficiency (%),potential_at_maximum_power_point (V),current_density_at_maximum_power_point (mA/cm^2),series_resistance (ohm*cm^2),shunt_resistance (ohm*cm^2)
reverse,1000,1.1150,21.925,84.07,20.553,0.990,20.761,1.566,2985
forward,1000,1.1050,21.706,83.98,20.142,0.980,20.553,1.582,2985

voltage (V),current_density (mA/cm^2),direction
1.150,-31.4365,reverse
1.140,-19.3282,reverse
1.130,-9.9857,reverse
1.120,-2.7771,reverse
1.110,2.7852,reverse
1.100,7.0773,reverse
1.090,10.3895,reverse
1.080,12.9456,reverse
1.070,14.9185,reverse
1.060,16.4413,reverse
1.050,17.6170,reverse
1.040,18.5248,reverse
1.030,19.2259,reverse
1.020,19.7676,reverse
1.010,20.1863,reverse
1.000,20.5101,reverse
0.990,20.7606,reverse
0.980,20.9547,reverse
0.970,21.1052,reverse
0.960,21.2221,reverse
0.950,21.3130,reverse
0.940,21.3839,reverse
0.930,21.4394,reverse
0.920,21.4829,reverse
0.910,21.5173,reverse
0.900,21.5446,reverse
0.890,21.5664,reverse
0.880,21.5840,reverse
0.870,21.5983,reverse
0.860,21.6101,reverse
0.850,21.6200,reverse
0.840,21.6284,reverse
0.830,21.6356,reverse
0.820,21.6419,reverse
0.810,21.6476,reverse
0.800,21.6527,reverse
0.790,21.6574,reverse
0.780,21.6618,reverse
0.770,21.6660,reverse
0.760,21.6700,reverse
0.750,21.6738,reverse
0.740,21.6775,reverse
0.730,21.6811,reverse
0.720,21.6847,reverse
0.710,21.6882,reverse
0.700,21.6916,reverse
0.690,21.6951,reverse
0.680,21.6985,reverse
0.670,21.7019,reverse
0.660,21.7053,reverse
0.650,21.7086,reverse
0.640,21.7120,reverse
0.630,21.7154,reverse
0.620,21.7187,reverse
0.610,21.7220,reverse
0.600,21.7254,reverse
0.590,21.7287,reverse
0.580,21.7321,reverse
0.570,21.7354,reverse
0.560,21.7387,reverse
0.550,21.7421,reverse
0.540,21.7454,reverse
0.530,21.7488,reverse
0.520,21.7521,reverse
0.510,21.7554,reverse
0.500,21.7588,reverse
0.490,21.7621,reverse
0.480,21.7654,reverse
0.470,21.7688,reverse
0.460,21.7721,reverse
0.450,21.7754,reverse
0.440,21.7788,reverse
0.430,21.7821,reverse
0.420,21.7854,reverse
0.410,21.7888,reverse
0.400,21.7921,reverse
0.390,21.7954,reverse
0.380,21.7988,reverse
0.370,21.8021,reverse
0.360,21.8054,reverse
0.350,21.8088,reverse
0.340,21.8121,reverse
0.330,21.8154,reverse
0.320,21.8188,reverse
0.310,21.8221,reverse
0.300,21.8254,reverse
0.290,21.8288,reverse
0.280,21.8321,reverse
0.270,21.8354,reverse
0.260,21.8388,reverse
0.250,21.8421,reverse
0.240,21.8454,reverse
0.230,21.8488,reverse
0.220,21.8521,reverse
0.210,21.8554,reverse
0.200,21.8588,reverse
0.190,21.8621,reverse
0.180,21.8654,reverse
0.170,21.8688,reverse
0.160,21.8721,reverse
0.150,21.8754,reverse
0.140,21.8788,reverse
0.130,21.8821,reverse
0.120,21.8854,reverse
0.110,21.8888,reverse
0.100,21.8921,reverse
0.090,21.8954,reverse
0.080,21.8988,reverse
0.070,21.9021,reverse
0.060,21.9054,reverse
0.050,21.9088,reverse
0.040,21.9121,reverse
0.030,21.9154,reverse
0.020,21.9188,reverse
0.010,21.9221,reverse
-0.000,21.9254,reverse
-0.010,21.9288,reverse
-0.020,21.9321,reverse
-0.030,21.9354,reverse
-0.040,21.9388,reverse
-0.050,21.9421,reverse
-0.060,21.9454,reverse
-0.070,21.9488,reverse
-0.080,21.9521,reverse
-0.090,21.9554,reverse
-0.100,21.9588,reverse
-0.100,21.7395,forward
-0.090,21.7362,forward
-0.080,21.7328,forward
-0.070,21.7295,forward
-0.060,21.7262,forward
-0.050,21.7228,forward
-0.040,21.7195,forward
-0.030,21.7162,forward
-0.020,21.7128,forward
-0.010,21.7095,forward
-0.000,21.7062,forward
0.010,21.7028,forward
0.020,21.6995,forward
0.030,21.6962,forward
0.040,21.6928,forward
0.050,21.6895,forward
0.060,21.6862,forward
0.070,21.6828,forward
0.080,21.6795,forward
0.090,21.6762,forward
0.100,21.6728,forward
0.110,21.6695,forward
0.120,21.6662,forward
0.130,21.6628,forward
0.140,21.6595,forward
0.150,21.6562,forward
0.160,21.6528,forward
0.170,21.6495,forward
0.180,21.6462,forward
0.190,21.6428,forward
0.200,21.6395,forward
0.210,21.6362,forward
0.220,21.6328,forward
0.230,21.6295,forward
0.240,21.6262,forward
0.250,21.6228,forward
0.260,21.6195,forward
0.270,21.6162,forward
0.280,21.6128,forward
0.290,21.6095,forward
0.300,21.6062,forward
0.310,21.6028,forward
0.320,21.5995,forward
0.330,21.5962,forward
0.340,21.5928,forward
0.350,21.5895,forward
0.360,21.5862,forward
0.370,21.5828,forward
0.380,21.5795,forward
0.390,21.5762,forward
0.400,21.5728,forward
0.410,21.5695,forward
0.420,21.5662,forward
0.430,21.5628,forward
0.440,21.5595,forward
0.450,21.5562,forward
0.460,21.5528,forward
0.470,21.5495,forward
0.480,21.5462,forward
0.490,21.5428,forward
0.500,21.5395,forward
0.510,21.5362,forward
0.520,21.5328,forward
0.530,21.5295,forward
0.540,21.5262,forward
0.550,21.5228,forward
0.560,21.5195,forward
0.570,21.5162,forward
0.580,21.5128,forward
0.590,21.5095,forward
0.600,21.5061,forward
0.610,21.5028,forward
0.620,21.4994,forward
0.630,21.4961,forward
0.640,21.4927,forward
0.650,21.4893,forward
0.660,21.4860,forward
0.670,21.4826,forward
0.680,21.4792,forward
0.690,21.4757,forward
0.700,21.4723,forward
0.710,21.4688,forward
0.720,21.4652,forward
0.730,21.4616,forward
0.740,21.4579,forward
0.750,21.4541,forward
0.760,21.4501,forward
0.770,21.4459,forward
0.780,21.4416,forward
0.790,21.4369,forward
0.800,21.4318,forward
0.810,21.4261,forward
0.820,21.4198,forward
0.830,21.4126,forward
0.840,21.4043,forward
0.850,21.3945,forward
0.860,21.3827,forward
0.870,21.3685,forward
0.880,21.3511,forward
0.890,21.3295,forward
0.900,21.3024,forward
0.910,21.2684,forward
0.920,21.2252,forward
0.930,21.1703,forward
0.940,21.1000,forward
0.950,21.0100,forward
0.960,20.8942,forward
0.970,20.7452,forward
0.980,20.5531,forward
0.990,20.3050,forward
1.000,19.9844,forward
1.010,19.5699,forward
1.020,19.0335,forward
1.030,18.3394,forward
1.040,17.4406,forward
1.050,16.2767,forward
1.060,14.7691,forward
1.070,12.8159,forward
1.080,10.2853,forward
1.090,7.0062,forward
1.100,2.7569,forward
1.110,-2.7497,forward
1.120,-9.8863,forward
1.130,-19.1353,forward
1.140,-31.1226,forward
1.150,-46.6590,forward
