direction,irradiance (W/m^2),open_circuit_voltage (V),short_circuit_current_density (mA/cm^2),fill_factor (%),efficiency (%),potential_at_maximum_power_point (V),current_density_at_maximum_power_point (mA/cm^2),series_resistance (ohm*cm^2),shunt_resistance (ohm*cm^2)
reverse,1000,1.1170,22.646,84.13,21.280,0.990,21.495,1.592,3030
forward,1000,1.1070,22.420,84.03,20.854,0.980,21.280,1.608,2985

voltage (V),current_density (mA/cm^2),direction
1.150,-29.8662,reverse
1.140,-17.9520,reverse
1.130,-8.7593,reverse
1.120,-1.6663,reverse
1.110,3.8068,reverse
1.100,8.0301,reverse
1.090,11.2892,reverse
1.080,13.8044,reverse
1.070,15.7457,reverse
1.060,17.2442,reverse
1.050,18.4010,reverse
1.040,19.2943,reverse
1.030,19.9843,reverse
1.020,20.5173,reverse
1.010,20.9294,reverse
1.000,21.2480,reverse
0.990,21.4946,reverse
0.980,21.6856,reverse
0.970,21.8338,reverse
0.960,21.9488,reverse
0.950,22.0383,reverse
0.940,22.1082,reverse
0.930,22.1628,reverse
0.920,22.2057,reverse
0.910,22.2396,reverse
0.900,22.2665,reverse
0.890,22.2880,reverse
0.880,22.3053,reverse
0.870,22.3195,reverse
0.860,22.3312,reverse
0.850,22.3409,reverse
0.840,22.3492,reverse
0.830,22.3564,reverse
0.820,22.3627,reverse
0.810,22.3683,reverse
0.800,22.3734,reverse
0.790,22.3781,reverse
0.780,22.3825,reverse
0.770,22.3866,reverse
0.760,22.3906,reverse
0.750,22.3944,reverse
0.740,22.3981,reverse
0.730,22.4017,reverse
0.720,22.4053,reverse
0.710,22.4088,reverse
0.700,22.4122,reverse
0.690,22.4157,reverse
0.680,22.4191,reverse
0.670,22.4225,reverse
0.660,22.4259,reverse
0.650,22.4292,reverse
0.640,22.4326,reverse
0.630,22.4359,reverse
0.620,22.4393,reverse
0.610,22.4426,reverse
0.600,22.4460,reverse
0.590,22.4493,reverse
0.580,22.4527,reverse
0.570,22.4560,reverse
0.560,22.4593,reverse
0.550,22.4627,reverse
0.540,22.4660,reverse
0.530,22.4693,reverse
0.520,22.4727,reverse
0.510,22.4760,reverse
0.500,22.4793,reverse
0.490,22.4827,reverse
0.480,22.4860,reverse
0.470,22.4893,reverse
0.460,22.4927,reverse
0.450,22.4960,reverse
0.440,22.4993,reverse
0.430,22.5027,reverse
0.420,22.5060,reverse
0.410,22.5093,reverse
0.400,22.5127,reverse
0.390,22.5160,reverse
0.380,22.5193,reverse
0.370,22.5227,reverse
0.360,22.5260,reverse
0.350,22.5293,reverse
0.340,22.5327,reverse
0.330,22.5360,reverse
0.320,22.5393,reverse
0.310,22.5427,reverse
0.300,22.5460,reverse
0.290,22.5493,reverse
0.280,22.5527,reverse
0.270,22.5560,reverse
0.260,22.5593,reverse
0.250,22.5627,reverse
0.240,22.5660,reverse
0.230,22.5693,reverse
0.220,22.5727,reverse
0.210,22.5760,reverse
0.200,22.5793,reverse
0.190,22.5827,reverse
0.180,22.5860,reverse
0.170,22.5893,reverse
0.160,22.5927,reverse
0.150,22.5960,reverse
0.140,22.5993,reverse
0.130,22.6027,reverse
0.120,22.6060,reverse
0.110,22.6093,reverse
0.100,22.6127,reverse
0.090,22.6160,reverse
0.080,22.6193,reverse
0.070,22.6227,reverse
0.060,22.6260,reverse
0.050,22.6293,reverse
0.040,22.6327,reverse
0.030,22.6360,reverse
0.020,22.6393,reverse
0.010,22.6427,reverse
-0.000,22.6460,reverse
-0.010,22.6493,reverse
-0.020,22.6527,reverse
-0.030,22.6560,reverse
-0.040,22.6593,reverse
-0.050,22.6627,reverse
-0.060,22.6660,reverse
-0.070,22.6693,reverse
-0.080,22.6727,reverse
-0.090,22.6760,reverse
-0.100,22.6793,reverse
-0.100,22.4529,forward
-0.090,22.4496,forward
-0.080,22.4462,forward
-0.070,22.4429,forward
-0.060,22.4396,forward
-0.050,22.4362,forward
-0.040,22.4329,forward
-0.030,22.4296,forward
-0.020,22.4262,forward
-0.010,22.4229,forward
-0.000,22.4196,forward
0.010,22.4162,forward
0.020,22.4129,forward
0.030,22.4096,forward
0.040,22.4062,forward
0.050,22.4029,forward
0.060,22.3996,forward
0.070,22.3962,forward
0.080,22.3929,forward
0.090,22.3896,forward
0.100,22.3862,forward
0.110,22.3829,forward
0.120,22.3796,forward
0.130,22.3762,forward
0.140,22.3729,forward
0.150,22.3696,forward
0.160,22.3662,forward
0.170,22.3629,forward
0.180,22.3596,forward
0.190,22.3562,forward
0.200,22.3529,forward
0.210,22.3496,forward
0.220,22.3462,forward
0.230,22.3429,forward
0.240,22.3396,forward
0.250,22.3362,forward
0.260,22.3329,forward
0.270,22.3296,forward
0.280,22.3262,forward
0.290,22.3229,forward
0.300,22.3196,forward
0.310,22.3162,forward
0.320,22.3129,forward
0.330,22.3096,forward
0.340,22.3062,forward
0.350,22.3029,forward
0.360,22.2996,forward
0.370,22.2962,forward
0.380,22.2929,forward
0.390,22.2896,forward
0.400,22.2862,forward
0.410,22.2829,forward
0.420,22.2796,forward
0.430,22.2762,forward
0.440,22.2729,forward
0.450,22.2696,forward
0.460,22.2662,forward
0.470,22.2629,forward
0.480,22.2595,forward
0.490,22.2562,forward
0.500,22.2529,forward
0.510,22.2495,forward
0.520,22.2462,forward
0.530,22.2429,forward
0.540,22.2395,forward
0.550,22.2362,forward
0.560,22.2329,forward
0.570,22.2295,forward
0.580,22.2262,forward
0.590,22.2229,forward
0.600,22.2195,forward
0.610,22.2162,forward
0.620,22.2128,forward
0.630,22.2095,forward
0.640,22.2061,forward
0.650,22.2027,forward
0.660,22.1993,forward
0.670,22.1960,forward
0.680,22.1925,forward
0.690,22.1891,forward
0.700,22.1856,forward
0.710,22.1821,forward
0.720,22.1786,forward
0.730,22.1750,forward
0.740,22.1713,forward
0.750,22.1675,forward
0.760,22.1635,forward
0.770,22.1594,forward
0.780,22.1550,forward
0.790,22.1503,forward
0.800,22.1453,forward
0.810,22.1397,forward
0.820,22.1334,forward
0.830,22.1263,forward
0.840,22.1180,forward
0.850,22.1083,forward
0.860,22.0967,forward
0.870,22.0827,forward
0.880,22.0655,forward
0.890,22.0441,forward
0.900,22.0175,forward
0.910,21.9839,forward
0.920,21.9414,forward
0.930,21.8873,forward
0.940,21.8181,forward
0.950,21.7294,forward
0.960,21.6155,forward
0.970,21.4688,forward
0.980,21.2797,forward
0.990,21.0355,forward
1.000,20.7200,forward
1.010,20.3121,forward
1.020,19.7843,forward
1.030,19.1013,forward
1.040,18.2169,forward
1.050,17.0716,forward
1.060,15.5880,forward
1.070,13.6661,forward
1.080,11.1760,forward
1.090,7.9495,forward
1.100,3.7684,forward
1.110,-1.6501,forward
1.120,-8.6722,forward
1.130,-17.7730,forward
1.140,-29.5680,forward
1.150,-44.8553,forward
