time (h),temperature (°C),irradiance (W/m^2),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.0000,19.81,472.5,64.3,0.9367,10.198,9.553
0.1667,21.01,503.7,61.6,0.9391,10.825,10.166
0.3333,21.56,486.0,60.9,0.9401,10.451,9.826
0.5000,22.38,533.2,57.5,0.9412,11.362,10.695
0.6667,23.59,594.3,56.0,0.9389,12.766,11.986
0.8333,23.21,565.6,56.6,0.9391,11.973,11.243
1.0000,24.36,572.4,54.1,0.9380,12.217,11.460
1.1667,24.95,609.0,55.5,0.9334,12.982,12.117
1.3333,25.28,594.1,54.6,0.9352,12.708,11.885
1.5000,26.56,654.7,52.5,0.9365,13.824,12.946
1.6667,26.78,663.8,51.5,0.9355,14.186,13.271
1.8333,27.53,626.7,50.4,0.9320,13.395,12.483
2.0000,27.80,672.1,50.6,0.9368,14.282,13.379
2.1667,28.00,656.4,51.3,0.9332,13.941,13.010
2.3333,28.82,676.8,48.5,0.9331,14.325,13.367
2.5000,28.32,662.2,49.6,0.9324,13.990,13.045
2.6667,30.19,718.9,47.5,0.9323,15.061,14.042
2.8333,28.66,656.3,46.8,0.9280,13.857,12.859
3.0000,28.89,653.3,50.6,0.9313,13.880,12.926
3.1667,29.32,674.3,47.9,0.9333,14.207,13.259
3.3333,29.58,677.5,49.0,0.9279,14.301,13.269
3.5000,30.08,672.1,46.6,0.9315,14.119,13.152
3.6667,30.89,697.5,46.8,0.9274,14.786,13.712
3.8333,29.77,668.6,47.8,0.9281,14.191,13.170
4.0000,30.18,670.0,45.5,0.9263,14.292,13.238
4.1667,29.27,627.6,46.7,0.9298,13.346,12.409
4.3333,28.51,595.2,48.3,0.9247,12.648,11.695
4.5000,28.43,588.0,50.6,0.9300,12.391,11.523
4.6667,28.11,590.0,49.6,0.9316,12.627,11.764
4.8333,28.32,568.5,50.3,0.9258,12.036,11.144
5.0000,28.02,557.7,50.5,0.9305,11.772,10.954
5.1667,26.66,512.6,53.6,0.9266,10.873,10.074
5.3333,26.55,520.3,52.1,0.9239,11.081,10.237
5.5000,26.30,469.0,54.9,0.9272,10.012,9.283
