time (h),temperature (°C),irradiance (W/m^2),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.0000,20.18,454.6,61.6,0.9437,9.706,9.160
0.1667,21.15,492.0,58.8,0.9380,10.555,9.901
0.3333,21.41,498.5,59.6,0.9427,10.651,10.041
0.5000,21.91,528.5,61.2,0.9436,11.248,10.614
0.6667,22.08,524.4,59.5,0.9383,11.247,10.552
0.8333,24.27,583.7,56.5,0.9360,12.573,11.769
1.0000,23.42,571.0,55.1,0.9392,12.170,11.430
1.1667,24.91,575.4,54.4,0.9374,12.184,11.421
1.3333,25.50,623.3,54.8,0.9334,13.301,12.415
1.5000,26.57,629.6,51.9,0.9304,13.413,12.480
1.6667,25.96,603.6,53.5,0.9341,12.821,11.977
1.8333,26.76,630.0,52.9,0.9360,13.441,12.580
2.0000,28.23,676.9,51.7,0.9352,14.398,13.464
2.1667,28.80,688.4,51.5,0.9342,14.434,13.484
2.3333,28.00,643.0,52.2,0.9332,13.719,12.802
2.5000,29.42,691.7,48.4,0.9294,14.575,13.546
2.6667,27.87,631.9,51.5,0.9309,13.457,12.528
2.8333,29.54,687.7,49.9,0.9296,14.661,13.629
3.0000,29.94,694.1,48.4,0.9312,14.639,13.633
3.1667,29.94,699.2,44.9,0.9286,14.863,13.802
3.3333,29.75,680.0,46.6,0.9324,14.281,13.315
3.5000,28.88,632.0,49.4,0.9284,13.506,12.539
3.6667,28.55,631.6,49.9,0.9297,13.246,12.316
3.8333,28.64,637.3,49.6,0.9299,13.428,12.487
4.0000,30.13,658.0,46.0,0.9270,13.858,12.845
4.1667,29.19,619.8,47.2,0.9308,13.082,12.177
4.3333,27.63,590.5,53.5,0.9297,12.531,11.651
4.5000,28.06,573.4,50.3,0.9284,12.111,11.243
4.6667,28.08,575.7,51.2,0.9280,12.209,11.330
4.8333,27.85,544.9,51.1,0.9239,11.533,10.656
5.0000,26.89,518.8,50.8,0.9264,10.945,10.139
5.1667,26.79,527.7,51.4,0.9303,11.165,10.387
5.3333,25.75,478.5,55.1,0.9259,10.197,9.441
5.5000,26.67,473.8,52.8,0.9279,10.072,9.346
5.6667,24.91,446.9,57.0,0.9227,9.554,8.815
5.8333,24.66,411.2,54.8,0.9282,8.928,8.287
6.0000,24.14,399.4,55.9,0.9252,8.535,7.896
6.1667,23.87,382.4,55.8,0.9248,8.153,7.540
