voltage (V),current_density (mA/cm^2),direction
1.150,-29.3301,reverse
1.140,-17.4812,reverse
1.130,-8.3389,reverse
1.120,-1.2847,reverse
1.110,4.1584,reverse
1.100,8.3586,reverse
1.090,11.5999,reverse
1.080,14.1013,reverse
1.070,16.0319,reverse
1.060,17.5222,reverse
1.050,18.6727,reverse
1.040,19.5612,reverse
1.030,20.2473,reverse
1.020,20.7775,reverse
1.010,21.1873,reverse
1.000,21.5042,reverse
0.990,21.7495,reverse
0.980,21.9394,reverse
0.970,22.0868,reverse
0.960,22.2012,reverse
0.950,22.2903,reverse
0.940,22.3597,reverse
0.930,22.4141,reverse
0.920,22.4568,reverse
0.910,22.4905,reverse
0.900,22.5172,reverse
0.890,22.5387,reverse
0.880,22.5559,reverse
0.870,22.5700,reverse
0.860,22.5817,reverse
0.850,22.5914,reverse
0.840,22.5997,reverse
0.830,22.6068,reverse
0.820,22.6131,reverse
0.810,22.6187,reverse
0.800,22.6238,reverse
0.790,22.6285,reverse
0.780,22.6328,reverse
0.770,22.6370,reverse
0.760,22.6409,reverse
0.750,22.6447,reverse
0.740,22.6484,reverse
0.730,22.6521,reverse
0.720,22.6556,reverse
0.710,22.6591,reverse
0.700,22.6626,reverse
0.690,22.6660,reverse
0.680,22.6694,reverse
0.670,22.6728,reverse
0.660,22.6762,reverse
0.650,22.6796,reverse
0.640,22.6829,reverse
0.630,22.6863,reverse
0.620,22.6896,reverse
0.610,22.6930,reverse
0.600,22.6963,reverse
0.590,22.6997,reverse
0.580,22.7030,reverse
0.570,22.7063,reverse
0.560,22.7097,reverse
0.550,22.7130,reverse
0.540,22.7164,reverse
0.530,22.7197,reverse
0.520,22.7230,reverse
0.510,22.7264,reverse
0.500,22.7297,reverse
0.490,22.7330,reverse
0.480,22.7364,reverse
0.470,22.7397,reverse
0.460,22.7430,reverse
0.450,22.7464,reverse
0.440,22.7497,reverse
0.430,22.7530,reverse
0.420,22.7564,reverse
0.410,22.7597,reverse
0.400,22.7630,reverse
0.390,22.7664,reverse
