direction,irradiance (W/m^2),open_circuit_voltage (V),short_circuit_current_density (mA/cm^2),fill_factor (%),efficiency (%),potential_at_maximum_power_point (V),current_density_at_maximum_power_point (mA/cm^2),series_resistance (ohm*cm^2),shunt_resistance (ohm*cm^2)
reverse,1000,1.1177,22.935,84.14,21.570,0.990,21.788,1.602,2985
forward,1000,1.1077,22.705,84.05,21.139,0.980,21.570,1.618,3030

voltage (V),current_density (mA/cm^2),direction
1.150,-29.2487,reverse
1.140,-17.4097,reverse
1.130,-8.2750,reverse
1.120,-1.2267,reverse
1.110,4.2119,reverse
1.100,8.4086,reverse
1.090,11.6472,reverse
1.080,14.1465,reverse
1.070,16.0755,reverse
1.060,17.5646,reverse
1.050,18.7142,reverse
1.040,19.6018,reverse
1.030,20.2874,reverse
1.020,20.8172,reverse
1.010,21.2266,reverse
1.000,21.5433,reverse
0.990,21.7883,reverse
0.980,21.9782,reverse
0.970,22.1254,reverse
0.960,22.2397,reverse
0.950,22.3287,reverse
0.940,22.3981,reverse
0.930,22.4524,reverse
0.920,22.4951,reverse
0.910,22.5288,reverse
0.900,22.5555,reverse
0.890,22.5769,reverse
0.880,22.5942,reverse
0.870,22.6082,reverse
0.860,22.6199,reverse
0.850,22.6296,reverse
0.840,22.6379,reverse
0.830,22.6450,reverse
0.820,22.6513,reverse
0.810,22.6569,reverse
0.800,22.6620,reverse
0.790,22.6667,reverse
0.780,22.6710,reverse
0.770,22.6752,reverse
0.760,22.6791,reverse
0.750,22.6829,reverse
0.740,22.6866,reverse
0.730,22.6903,reverse
0.720,22.6938,reverse
0.710,22.6973,reverse
0.700,22.7008,reverse
0.690,22.7042,reverse
0.680,22.7076,reverse
0.670,22.7110,reverse
0.660,22.7144,reverse
0.650,22.7178,reverse
0.640,22.7211,reverse
0.630,22.7245,reverse
0.620,22.7278,reverse
0.610,22.7312,reverse
0.600,22.7345,reverse
0.590,22.7379,reverse
0.580,22.7412,reverse
0.570,22.7445,reverse
0.560,22.7479,reverse
0.550,22.7512,reverse
0.540,22.7545,reverse
0.530,22.7579,reverse
0.520,22.7612,reverse
0.510,22.7645,reverse
0.500,22.7679,reverse
0.490,22.7712,reverse
0.480,22.7745,reverse
0.470,22.7779,reverse
0.460,22.7812,reverse
0.450,22.7846,reverse
0.440,22.7879,reverse
0.430,22.7912,reverse
0.420,22.7946,reverse
0.410,22.7979,reverse
0.400,22.8012,reverse
0.390,22.8046,reverse
0.380,22.8079,reverse
0.370,22.8112,reverse
