time (h),temperature (°C),relative_humidity (%)
0.0000,22.84,39.3
0.1667,29.53,39.7
0.3333,36.41,38.6
0.5000,44.65,38.2
0.6667,50.85,39.4
0.8333,57.91,39.2
1.0000,65.44,38.8
1.1667,64.82,39.9
1.3333,65.14,36.4
1.5000,64.64,38.9
1.6667,65.11,37.2
1.8333,65.03,38.0
2.0000,65.18,38.1
2.1667,64.87,38.6
2.3333,64.64,35.2
2.5000,65.26,38.7
2.6667,64.27,37.7
2.8333,65.62,37.4
3.0000,64.96,36.6
3.1667,58.10,36.8
3.3333,50.98,36.7
3.5000,43.64,37.4
3.6667,37.37,38.0
3.8333,29.74,36.9
4.0000,22.28,37.9
4.1667,22.27,36.1
4.3333,23.03,35.2
4.5000,23.47,36.2
4.6667,22.90,36.1
4.8333,23.52,36.1
5.0000,22.94,35.7
5.1667,22.58,35.8
5.3333,22.65,36.0
5.5000,22.51,35.3
5.6667,22.67,37.7
5.8333,22.70,37.5
6.0000,23.10,37.8
6.1667,30.09,38.2
6.3333,36.99,36.6
6.5000,44.32,36.3
6.6667,51.38,37.5
6.8333,58.28,36.7
7.0000,65.24,37.9
7.1667,64.48,38.9
7.3333,65.08,36.7
7.5000,64.97,38.6
7.6667,64.70,38.8
7.8333,64.80,37.7
8.0000,65.12,37.7
8.1667,64.87,36.7
8.3333,65.24,38.1
8.5000,65.21,37.7
8.6667,64.88,39.4
8.8333,65.38,38.7
9.0000,65.20,38.4
9.1667,58.12,39.6
9.3333,51.06,39.0
9.5000,43.50,40.3
9.6667,36.74,38.6
9.8333,29.64,39.6
10.0000,22.93,40.2
10.1667,22.80,40.7
10.3333,23.02,40.7
10.5000,22.86,41.1
10.6667,23.50,40.8
10.8333,23.33,41.9
11.0000,22.91,42.1
11.1667,23.15,43.1
11.3333,23.25,41.5
11.5000,22.88,41.7
11.6667,22.52,42.2
11.8333,23.18,42.2
12.0000,22.99,43.2
12.1667,30.16,44.3
12.3333,36.84,43.3
12.5000,43.57,43.6
12.6667,50.73,43.0
12.8333,57.73,45.2
13.0000,64.49,44.5
13.1667,64.91,44.5
13.3333,65.31,44.4
13.5000,64.84,45.2
13.6667,64.57,45.1
13.8333,65.20,45.9
14.0000,65.50,44.7
14.1667,64.86,45.6
14.3333,65.68,46.8
14.5000,64.97,44.8
14.6667,65.30,47.0
14.8333,65.27,46.3
15.0000,65.10,46.2
15.1667,58.43,46.3
15.3333,50.78,46.7
15.5000,44.02,46.3
15.6667,36.95,47.7
15.8333,29.96,46.9
16.0000,22.57,48.0
16.1667,22.92,48.1
16.3333,22.89,48.9
16.5000,22.83,48.8
16.6667,22.91,48.5
16.8333,23.32,47.8
17.0000,22.86,47.1
17.1667,23.03,48.0
17.3333,23.86,49.6
17.5000,23.25,48.0
17.6667,22.76,46.7
17.8333,23.38,48.5
18.0000,22.84,49.1
18.1667,29.71,47.0
18.3333,36.87,48.1
18.5000,43.79,47.6
18.6667,51.15,47.3
18.8333,57.80,47.2
19.0000,64.84,46.6
19.1667,65.12,47.6
19.3333,65.29,46.1
19.5000,65.12,47.5
19.6667,64.67,47.7
19.8333,64.85,46.5
20.0000,65.52,47.0
20.1667,64.97,46.4
20.3333,65.27,45.2
20.5000,64.86,46.1
20.6667,65.08,44.9
20.8333,65.70,46.5
21.0000,64.63,46.0
21.1667,58.32,46.4
21.3333,50.67,46.8
21.5000,44.52,45.5
21.6667,37.15,45.0
21.8333,29.86,45.1
22.0000,22.92,44.5
22.1667,23.10,44.7
22.3333,22.86,44.9
22.5000,23.05,44.0
22.6667,23.00,44.9
22.8333,22.89,43.0
23.0000,22.95,44.4
23.1667,22.84,42.8
23.3333,23.29,43.3
23.5000,23.17,41.4
23.6667,22.88,42.0
23.8333,23.06,42.1
24.0000,22.84,40.0
24.1667,30.36,41.8
24.3333,36.94,42.6
24.5000,43.82,41.4
24.6667,50.78,40.1
24.8333,58.35,41.8
25.0000,65.06,41.6
25.1667,65.27,40.7
25.3333,65.48,38.6
25.5000,64.88,40.8
25.6667,65.10,40.4
25.8333,64.66,40.7
26.0000,64.75,38.7
26.1667,64.68,39.0
26.3333,64.78,38.8
26.5000,65.17,38.4
26.6667,64.43,39.1
26.8333,65.08,38.7
27.0000,64.96,38.0
27.1667,57.68,37.0
