direction,irradiance (W/m^2),open_circuit_voltage (V),short_circuit_current_density (mA/cm^2),fill_factor (%),efficiency (%),potential_at_maximum_power_point (V),current_density_at_maximum_power_point (mA/cm^2),series_resistance (ohm*cm^2),shunt_resistance (ohm*cm^2)
reverse,1000,1.1174,22.796,84.14,21.431,0.990,21.647,1.597,2985
forward,1000,1.1074,22.568,84.04,21.002,0.980,21.431,1.613,2985

voltage (V),current_density (mA/cm^2),direction
1.150,-29.5441,reverse
1.140,-17.6692,reverse
1.130,-8.5069,reverse
1.120,-1.4372,reverse
1.110,4.0178,reverse
1.100,8.2273,reverse
1.090,11.4756,reverse
1.080,13.9826,reverse
1.070,15.9174,reverse
1.060,17.4110,reverse
1.050,18.5640,reverse
1.040,19.4544,reverse
1.030,20.1421,reverse
1.020,20.6734,reverse
1.010,21.0840,reverse
1.000,21.4016,reverse
0.990,21.6474,reverse
0.980,21.8378,reverse
0.970,21.9855,reverse
0.960,22.1002,reverse
0.950,22.1894,reverse
0.940,22.2590,reverse
0.930,22.3135,reverse
0.920,22.3563,reverse
0.910,22.3900,reverse
0.900,22.4169,reverse
0.890,22.4383,reverse
0.880,22.4556,reverse
0.870,22.4697,reverse
0.860,22.4814,reverse
0.850,22.4911,reverse
0.840,22.4994,reverse
0.830,22.5066,reverse
0.820,22.5129,reverse
0.810,22.5185,reverse
0.800,22.5236,reverse
0.790,22.5282,reverse
0.780,22.5326,reverse
0.770,22.5368,reverse
0.760,22.5407,reverse
0.750,22.5445,reverse
0.740,22.5482,reverse
0.730,22.5518,reverse
0.720,22.5554,reverse
0.710,22.5589,reverse
0.700,22.5624,reverse
0.690,22.5658,reverse
0.680,22.5692,reverse
0.670,22.5726,reverse
0.660,22.5760,reverse
0.650,22.5794,reverse
0.640,22.5827,reverse
0.630,22.5861,reverse
0.620,22.5894,reverse
0.610,22.5928,reverse
0.600,22.5961,reverse
0.590,22.5995,reverse
0.580,22.6028,reverse
0.570,22.6061,reverse
0.560,22.6095,reverse
0.550,22.6128,reverse
0.540,22.6161,reverse
0.530,22.6195,reverse
0.520,22.6228,reverse
0.510,22.6261,reverse
0.500,22.6295,reverse
0.490,22.6328,reverse
0.480,22.6361,reverse
0.470,22.6395,reverse
0.460,22.6428,reverse
0.450,22.6461,reverse
0.440,22.6495,reverse
0.430,22.6528,reverse
0.420,22.6561,reverse
0.410,22.6595,reverse
0.400,22.6628,reverse
0.390,22.6661,reverse
0.380,22.6695,reverse
0.370,22.6728,reverse
0.360,22.6761,reverse
0.350,22.6795,reverse
0.340,22.6828,reverse
0.330,22.6861,reverse
0.320,22.6895,reverse
0.310,22.6928,reverse
