voltage (V),current_density (mA/cm^2),direction
1.150,-29.5444,reverse
1.140,-17.6695,reverse
1.130,-8.5071,reverse
1.120,-1.4374,reverse
1.110,4.0177,reverse
1.100,8.2271,reverse
1.090,11.4755,reverse
1.080,13.9824,reverse
1.070,15.9173,reverse
1.060,17.4108,reverse
1.050,18.5639,reverse
1.040,19.4543,reverse
1.030,20.1419,reverse
1.020,20.6732,reverse
1.010,21.0839,reverse
1.000,21.4015,reverse
0.990,21.6473,reverse
0.980,21.8377,reverse
0.970,21.9854,reverse
0.960,22.1001,reverse
0.950,22.1893,reverse
0.940,22.2589,reverse
0.930,22.3134,reverse
0.920,22.3562,reverse
0.910,22.3899,reverse
0.900,22.4167,reverse
0.890,22.4382,reverse
0.880,22.4555,reverse
0.870,22.4696,reverse
0.860,22.4813,reverse
0.850,22.4910,reverse
0.840,22.4993,reverse
0.830,22.5065,reverse
0.820,22.5127,reverse
0.810,22.5183,reverse
0.800,22.5234,reverse
0.790,22.5281,reverse
0.780,22.5325,reverse
0.770,22.5366,reverse
0.760,22.5406,reverse
0.750,22.5444,reverse
0.740,22.5481,reverse
0.730,22.5517,reverse
0.720,22.5553,reverse
0.710,22.5588,reverse
0.700,22.5623,reverse
0.690,22.5657,reverse
0.680,22.5691,reverse
0.670,22.5725,reverse
0.660,22.5759,reverse
0.650,22.5792,reverse
0.640,22.5826,reverse
0.630,22.5860,reverse
0.620,22.5893,reverse
0.610,22.5927,reverse
0.600,22.5960,reverse
0.590,22.5993,reverse
0.580,22.6027,reverse
0.570,22.6060,reverse
0.560,22.6093,reverse
0.550,22.6127,reverse
0.540,22.6160,reverse
0.530,22.6194,reverse
0.520,22.6227,reverse
0.510,22.6260,reverse
0.500,22.6294,reverse
0.490,22.6327,reverse
0.480,22.6360,reverse
0.470,22.6394,reverse
0.460,22.6427,reverse
0.450,22.6460,reverse
0.440,22.6494,reverse
0.430,22.6527,reverse
0.420,22.6560,reverse
0.410,22.6594,reverse
0.400,22.6627,reverse
0.390,22.6660,reverse
0.380,22.6694,reverse
0.370,22.6727,reverse
0.360,22.6760,reverse
0.350,22.6794,reverse
0.340,22.6827,reverse
0.330,22.6860,reverse
0.320,22.6894,reverse
0.310,22.6927,reverse
0.300,22.6960,reverse
0.290,22.6994,reverse
0.280,22.7027,reverse
0.270,22.7060,reverse
0.260,22.7094,reverse
0.250,22.7127,reverse
0.240,22.7160,reverse
0.230,22.7194,reverse
0.220,22.7227,reverse
0.210,22.7260,reverse
0.200,22.7294,reverse
0.190,22.7327,reverse
0.180,22.7360,reverse
0.170,22.7394,reverse
0.160,22.7427,reverse
0.150,22.7460,reverse
0.140,22.7494,reverse
0.130,22.7527,reverse
0.120,22.7560,reverse
0.110,22.7594,reverse
0.100,22.7627,reverse
0.090,22.7660,reverse
0.080,22.7694,reverse
0.070,22.7727,reverse
0.060,22.7760,reverse
0.050,22.7794,reverse
0.040,22.7827,reverse
0.030,22.7860,reverse
0.020,22.7894,reverse
0.010,22.7927,reverse
-0.000,22.7960,reverse
-0.010,22.7994,reverse
-0.020,22.8027,reverse
-0.030,22.8060,reverse
-0.040,22.8094,reverse
-0.050,22.8127,reverse
-0.060,22.8160,reverse
-0.070,22.8194,reverse
-0.080,22.8227,reverse
-0.090,22.8260,reverse
-0.100,22.8294,reverse
-0.100,22.6014,forward
-0.090,22.5981,forward
-0.080,22.5947,forward
-0.070,22.5914,forward
-0.060,22.5881,forward
-0.050,22.5847,forward
-0.040,22.5814,forward
-0.030,22.5781,forward
-0.020,22.5747,forward
-0.010,22.5714,forward
-0.000,22.5681,forward
0.010,22.5647,forward
0.020,22.5614,forward
0.030,22.5581,forward
0.040,22.5547,forward
0.050,22.5514,forward
0.060,22.5481,forward
0.070,22.5447,forward
0.080,22.5414,forward
0.090,22.5381,forward
0.100,22.5347,forward
0.110,22.5314,forward
0.120,22.5281,forward
0.130,22.5247,forward
0.140,22.5214,forward
0.150,22.5181,forward
0.160,22.5147,forward
0.170,22.5114,forward
0.180,22.5081,forward
0.190,22.5047,forward
0.200,22.5014,forward
0.210,22.4981,forward
0.220,22.4947,forward
0.230,22.4914,forward
0.240,22.4881,forward
0.250,22.4847,forward
0.260,22.4814,forward
0.270,22.4781,forward
0.280,22.4747,forward
0.290,22.4714,forward
0.300,22.4681,forward
0.310,22.4647,forward
0.320,22.4614,forward
0.330,22.4581,forward
0.340,22.4547,forward
0.350,22.4514,forward
0.360,22.4481,forward
0.370,22.4447,forward
0.380,22.4414,forward
0.390,22.4381,forward
0.400,22.4347,forward
0.410,22.4314,forward
0.420,22.4281,forward
0.430,22.4247,forward
0.440,22.4214,forward
0.450,22.4181,forward
0.460,22.4147,forward
0.470,22.4114,forward
0.480,22.4081,forward
0.490,22.4047,forward
0.500,22.4014,forward
0.510,22.3981,forward
0.520,22.3947,forward
0.530,22.3914,forward
0.540,22.3881,forward
0.550,22.3847,forward
0.560,22.3814,forward
0.570,22.3780,forward
0.580,22.3747,forward
0.590,22.3714,forward
0.600,22.3680,forward
0.610,22.3647,forward
0.620,22.3613,forward
0.630,22.3580,forward
0.640,22.3546,forward
0.650,22.3512,forward
0.660,22.3479,forward
0.670,22.3445,forward
0.680,22.3411,forward
0.690,22.3376,forward
0.700,22.3342,forward
0.710,22.3307,forward
0.720,22.3271,forward
0.730,22.3235,forward
0.740,22.3198,forward
0.750,22.3160,forward
0.760,22.3120,forward
0.770,22.3079,forward
0.780,22.3035,forward
0.790,22.2989,forward
0.800,22.2938,forward
0.810,22.2882,forward
0.820,22.2820,forward
0.830,22.2748,forward
0.840,22.2666,forward
0.850,22.2569,forward
0.860,22.2454,forward
0.870,22.2313,forward
0.880,22.2142,forward
0.890,22.1929,forward
0.900,22.1663,forward
0.910,22.1329,forward
0.920,22.0905,forward
0.930,22.0365,forward
0.940,21.9676,forward
0.950,21.8792,forward
0.960,21.7656,forward
0.970,21.6194,forward
0.980,21.4309,forward
0.990,21.1875,forward
1.000,20.8731,forward
1.010,20.4664,forward
1.020,19.9404,forward
1.030,19.2596,forward
1.040,18.3781,forward
1.050,17.2365,forward
1.060,15.7579,forward
1.070,13.8423,forward
1.080,11.3604,forward
1.090,8.1445,forward
1.100,3.9771,forward
1.110,-1.4234,forward
1.120,-8.4224,forward
1.130,-17.4932,forward
1.140,-29.2494,forward
1.150,-44.4863,forward
