time (h),temperature (°C),relative_humidity (%)
0.0000,-40.50,40.0
0.1667,-19.00,40.4
0.3333,1.42,38.7
0.5000,22.35,39.4
0.6667,43.39,38.4
0.8333,64.23,38.1
1.0000,85.13,38.9
1.1667,85.09,38.5
1.3333,85.13,37.8
1.5000,84.52,37.6
1.6667,84.91,38.4
1.8333,85.14,37.0
2.0000,85.03,38.3
2.1667,85.20,39.5
2.3333,85.27,37.8
2.5000,84.93,38.4
2.6667,84.54,36.5
2.8333,85.51,38.8
3.0000,85.30,36.0
3.1667,64.26,36.7
3.3333,43.30,36.7
3.5000,22.26,37.1
3.6667,1.73,37.4
3.8333,-19.26,36.1
4.0000,-40.17,35.7
4.1667,-40.11,37.3
4.3333,-39.42,36.3
4.5000,-40.47,35.2
4.6667,-40.40,37.2
4.8333,-40.14,37.1
5.0000,-39.68,36.7
5.1667,-39.97,36.9
5.3333,-39.76,36.0
5.5000,-40.12,36.5
5.6667,-39.54,37.8
5.8333,-39.83,38.0
6.0000,-40.25,36.1
6.1667,-18.66,36.7
6.3333,1.61,36.1
6.5000,22.89,36.3
6.6667,43.42,36.6
6.8333,63.91,36.7
7.0000,84.80,36.8
7.1667,84.43,36.6
7.3333,85.33,37.0
7.5000,84.78,37.9
7.6667,84.74,36.9
7.8333,85.01,39.0
8.0000,84.73,38.9
8.1667,84.70,40.4
8.3333,84.93,38.0
8.5000,85.13,38.9
8.6667,85.07,36.8
8.8333,85.26,39.3
9.0000,84.84,39.4
9.1667,64.70,38.2
9.3333,43.76,38.5
9.5000,23.07,39.3
9.6667,1.56,39.0
9.8333,-19.49,38.6
10.0000,-40.26,38.8
10.1667,-40.02,39.7
10.3333,-40.32,42.9
10.5000,-39.46,41.3
10.6667,-40.02,40.3
10.8333,-39.87,40.9
11.0000,-39.99,40.7
11.1667,-40.12,41.9
11.3333,-39.99,42.0
11.5000,-39.72,42.8
11.6667,-40.33,43.3
11.8333,-40.23,41.8
12.0000,-39.84,42.0
12.1667,-18.85,42.2
12.3333,1.90,42.4
12.5000,22.76,43.9
12.6667,43.19,42.6
12.8333,64.23,43.6
13.0000,85.03,45.6
13.1667,85.03,45.4
13.3333,85.00,44.4
13.5000,85.12,45.3
13.6667,84.89,46.5
13.8333,84.90,45.9
14.0000,85.36,44.0
14.1667,85.75,45.7
14.3333,84.79,44.9
14.5000,84.84,47.8
14.6667,85.80,47.0
14.8333,85.20,46.3
15.0000,85.14,45.9
15.1667,63.76,47.8
15.3333,43.45,49.0
15.5000,22.84,47.1
15.6667,1.29,46.2
15.8333,-19.22,48.0
16.0000,-40.05,48.0
16.1667,-40.13,48.0
16.3333,-40.35,47.2
16.5000,-40.54,47.2
16.6667,-39.64,46.6
16.8333,-40.31,46.6
17.0000,-39.68,49.0
17.1667,-39.72,49.1
17.3333,-40.43,46.7
17.5000,-39.67,48.3
17.6667,-40.45,47.8
17.8333,-40.27,49.2
18.0000,-40.09,46.9
18.1667,-18.88,47.8
18.3333,1.88,45.7
18.5000,22.99,47.4
18.6667,43.81,47.1
18.8333,64.39,48.9
19.0000,84.94,48.7
19.1667,84.81,47.7
19.3333,85.13,47.2
19.5000,85.14,48.2
19.6667,85.33,46.5
19.8333,84.68,46.3
20.0000,84.79,47.7
20.1667,84.43,45.8
20.3333,84.89,46.5
20.5000,85.15,46.3
20.6667,85.40,46.6
20.8333,85.22,46.3
21.0000,84.49,46.1
21.1667,63.63,46.6
21.3333,43.35,45.4
21.5000,22.20,44.1
21.6667,1.21,43.8
21.8333,-19.22,45.2
22.0000,-40.06,45.4
22.1667,-39.91,45.0
22.3333,-39.81,43.6
22.5000,-39.96,44.1
22.6667,-39.58,43.2
22.8333,-40.19,44.4
23.0000,-39.88,44.0
23.1667,-39.71,43.4
23.3333,-40.06,43.9
23.5000,-39.77,43.2
23.6667,-39.84,41.5
23.8333,-39.75,43.8
24.0000,-39.75,42.1
24.1667,-18.79,42.6
24.3333,1.91,42.3
24.5000,22.07,41.1
24.6667,43.23,41.5
24.8333,64.30,40.0
25.0000,84.92,41.2
25.1667,85.22,40.8
25.3333,85.13,40.3
25.5000,84.95,40.0
25.6667,85.39,39.0
25.8333,85.22,41.4
26.0000,85.01,41.0
26.1667,85.21,38.8
26.3333,85.43,39.6
26.5000,85.35,38.4
26.6667,84.51,38.5
26.8333,84.80,36.3
27.0000,84.84,37.8
27.1667,63.96,37.0
27.3333,43.28,37.7
27.5000,23.21,37.5
27.6667,1.72,38.2
27.8333,-19.30,37.5
28.0000,-40.57,38.8
28.1667,-40.17,37.6
28.3333,-39.87,37.0
28.5000,-40.34,37.5
28.6667,-39.94,35.9
28.8333,-40.35,36.2
29.0000,-40.08,35.7
29.1667,-39.50,35.7
29.3333,-39.54,37.5
29.5000,-40.56,35.0
29.6667,-39.67,37.1
29.8333,-39.88,35.5
30.0000,-39.80,35.9
30.1667,-19.50,36.7
30.3333,2.05,36.0
30.5000,23.00,34.7
30.6667,43.13,36.5
30.8333,64.06,36.3
31.0000,84.59,35.7
31.1667,85.20,35.4
31.3333,84.46,36.2
31.5000,85.62,35.9
31.6667,85.22,36.0
31.8333,84.60,36.9
32.0000,85.23,37.3
32.1667,84.98,35.6
32.3333,85.51,37.9
32.5000,84.66,36.4
32.6667,84.95,37.0
32.8333,84.93,38.4
33.0000,85.48,37.8
33.1667,64.38,37.4
33.3333,42.73,38.1
33.5000,22.38,36.7
33.6667,1.22,38.6
33.8333,-19.28,37.6
34.0000,-40.18,37.3
34.1667,-39.84,39.1
34.3333,-40.52,37.7
34.5000,-39.81,39.3
34.6667,-39.79,37.8
34.8333,-40.04,37.5
35.0000,-39.89,39.0
35.1667,-40.42,39.4
35.3333,-39.87,41.1
35.5000,-39.90,38.6
35.6667,-39.90,40.5
35.8333,-40.25,40.2
36.0000,-39.84,41.5
36.1667,-19.61,39.3
36.3333,1.77,41.4
36.5000,22.45,39.6
36.6667,42.81,39.7
36.8333,64.55,41.0
37.0000,84.87,42.1
