direction,irradiance (W/m^2),open_circuit_voltage (V),short_circuit_current_density (mA/cm^2),fill_factor (%),efficiency (%),potential_at_maximum_power_point (V),current_density_at_maximum_power_point (mA/cm^2),series_resistance (ohm*cm^2),shunt_resistance (ohm*cm^2)
reverse,1000,1.1173,22.770,84.14,21.405,0.990,21.621,1.596,2985
forward,1000,1.1073,22.542,84.04,20.977,0.980,21.405,1.612,2985

voltage (V),current_density (mA/cm^2),direction
1.150,-29.6000,reverse
1.140,-17.7183,reverse
1.130,-8.5507,reverse
1.120,-1.4770,reverse
1.110,3.9812,reverse
1.100,8.1930,reverse
1.090,11.4432,reverse
1.080,13.9516,reverse
1.070,15.8876,reverse
1.060,17.3820,reverse
1.050,18.5357,reverse
1.040,19.4265,reverse
1.030,20.1146,reverse
1.020,20.6462,reverse
1.010,21.0571,reverse
1.000,21.3749,reverse
0.990,21.6209,reverse
0.980,21.8114,reverse
0.970,21.9591,reverse
0.960,22.0738,reverse
0.950,22.1631,reverse
0.940,22.2328,reverse
0.930,22.2873,reverse
0.920,22.3301,reverse
0.910,22.3639,reverse
0.900,22.3907,reverse
0.890,22.4122,reverse
0.880,22.4295,reverse
0.870,22.4436,reverse
0.860,22.4553,reverse
0.850,22.4650,reverse
0.840,22.4733,reverse
0.830,22.4805,reverse
0.820,22.4867,reverse
0.810,22.4923,reverse
0.800,22.4974,reverse
0.790,22.5021,reverse
0.780,22.5065,reverse
0.770,22.5106,reverse
0.760,22.5146,reverse
0.750,22.5184,reverse
0.740,22.5221,reverse
0.730,22.5257,reverse
0.720,22.5293,reverse
0.710,22.5328,reverse
0.700,22.5363,reverse
0.690,22.5397,reverse
0.680,22.5431,reverse
0.670,22.5465,reverse
0.660,22.5499,reverse
0.650,22.5532,reverse
0.640,22.5566,reverse
0.630,22.5600,reverse
0.620,22.5633,reverse
0.610,22.5667,reverse
0.600,22.5700,reverse
0.590,22.5733,reverse
0.580,22.5767,reverse
0.570,22.5800,reverse
0.560,22.5833,reverse
0.550,22.5867,reverse
0.540,22.5900,reverse
0.530,22.5934,reverse
0.520,22.5967,reverse
0.510,22.6000,reverse
0.500,22.6034,reverse
0.490,22.6067,reverse
0.480,22.6100,reverse
0.470,22.6134,reverse
0.460,22.6167,reverse
0.450,22.6200,reverse
0.440,22.6234,reverse
0.430,22.6267,reverse
