direction,irradiance (W/m^2),open_circuit_voltage (V),short_circuit_current_density (mA/cm^2),fill_factor (%),efficiency (%),potential_at_maximum_power_point (V),current_density_at_maximum_power_point (mA/cm^2),series_resistance (ohm*cm^2),shunt_resistance (ohm*cm^2)
reverse,1000,1.1182,23.110,84.15,21.748,0.990,21.967,1.608,2985
forward,1000,1.1082,22.879,84.06,21.313,0.980,21.748,1.624,2985

voltage (V),current_density (mA/cm^2),direction
1.150,-28.8753,reverse
1.140,-17.0814,reverse
1.130,-7.9816,reverse
1.120,-0.9601,reverse
1.110,4.4577,reverse
1.100,8.6385,reverse
1.090,11.8647,reverse
1.080,14.3545,reverse
1.070,16.2762,reverse
1.060,17.7596,reverse
1.050,18.9048,reverse
1.040,19.7891,reverse
1.030,20.4721,reverse
1.020,20.9998,reverse
1.010,21.4077,reverse
1.000,21.7232,reverse
0.990,21.9673,reverse
0.980,22.1564,reverse
0.970,22.3031,reverse
0.960,22.4170,reverse
0.950,22.5057,reverse
0.940,22.5748,reverse
0.930,22.6290,reverse
0.920,22.6715,reverse
0.910,22.7050,reverse
0.900,22.7317,reverse
0.890,22.7530,reverse
0.880,22.7702,reverse
0.870,22.7843,reverse
0.860,22.7959,reverse
0.850,22.8056,reverse
0.840,22.8138,reverse
0.830,22.8210,reverse
0.820,22.8272,reverse
0.810,22.8328,reverse
0.800,22.8379,reverse
0.790,22.8426,reverse
0.780,22.8469,reverse
0.770,22.8511,reverse
0.760,22.8550,reverse
0.750,22.8588,reverse
0.740,22.8625,reverse
0.730,22.8661,reverse
0.720,22.8697,reverse
0.710,22.8732,reverse
0.700,22.8767,reverse
0.690,22.8801,reverse
0.680,22.8835,reverse
0.670,22.8869,reverse
0.660,22.8903,reverse
0.650,22.8937,reverse
0.640,22.8970,reverse
0.630,22.9004,reverse
0.620,22.9037,reverse
0.610,22.9071,reverse
0.600,22.9104,reverse
0.590,22.9137,reverse
0.580,22.9171,reverse
0.570,22.9204,reverse
0.560,22.9238,reverse
0.550,22.9271,reverse
0.540,22.9304,reverse
0.530,22.9338,reverse
0.520,22.9371,reverse
0.510,22.9404,reverse
0.500,22.9438,reverse
0.490,22.9471,reverse
0.480,22.9504,reverse
0.470,22.9538,reverse
0.460,22.9571,reverse
0.450,22.9604,reverse
0.440,22.9638,reverse
0.430,22.9671,reverse
0.420,22.9704,reverse
0.410,22.9738,reverse
0.400,22.9771,reverse
0.390,22.9804,reverse
0.380,22.9838,reverse
0.370,22.9871,reverse
0.360,22.9904,reverse
0.350,22.9938,reverse
0.340,22.9971,reverse
0.330,23.0004,reverse
0.320,23.0038,reverse
0.310,23.0071,reverse
0.300,23.0104,reverse
0.290,23.0138,reverse
0.280,23.0171,reverse
0.270,23.0204,reverse
0.260,23.0238,reverse
0.250,23.0271,reverse
0.240,23.0304,reverse
0.230,23.0338,reverse
0.220,23.0371,reverse
0.210,23.0404,reverse
0.200,23.0438,reverse
0.190,23.0471,reverse
0.180,23.0504,reverse
0.170,23.0538,reverse
0.160,23.0571,reverse
0.150,23.0604,reverse
0.140,23.0638,reverse
0.130,23.0671,reverse
0.120,23.0704,reverse
0.110,23.0738,reverse
0.100,23.0771,reverse
0.090,23.0804,reverse
0.080,23.0838,reverse
0.070,23.0871,reverse
0.060,23.0904,reverse
0.050,23.0938,reverse
0.040,23.0971,reverse
0.030,23.1004,reverse
0.020,23.1038,reverse
0.010,23.1071,reverse
-0.000,23.1104,reverse
-0.010,23.1138,reverse
-0.020,23.1171,reverse
-0.030,23.1204,reverse
-0.040,23.1238,reverse
-0.050,23.1271,reverse
-0.060,23.1304,reverse
-0.070,23.1338,reverse
-0.080,23.1371,reverse
-0.090,23.1404,reverse
-0.100,23.1438,reverse
-0.100,22.9127,forward
-0.090,22.9093,forward
-0.080,22.9060,forward
-0.070,22.9027,forward
-0.060,22.8993,forward
-0.050,22.8960,forward
-0.040,22.8927,forward
-0.030,22.8893,forward
-0.020,22.8860,forward
-0.010,22.8827,forward
-0.000,22.8793,forward
0.010,22.8760,forward
0.020,22.8727,forward
0.030,22.8693,forward
0.040,22.8660,forward
0.050,22.8627,forward
0.060,22.8593,forward
0.070,22.8560,forward
0.080,22.8527,forward
0.090,22.8493,forward
0.100,22.8460,forward
0.110,22.8427,forward
0.120,22.8393,forward
0.130,22.8360,forward
0.140,22.8327,forward
0.150,22.8293,forward
0.160,22.8260,forward
0.170,22.8227,forward
0.180,22.8193,forward
0.190,22.8160,forward
0.200,22.8127,forward
0.210,22.8093,forward
0.220,22.8060,forward
0.230,22.8027,forward
0.240,22.7993,forward
0.250,22.7960,forward
0.260,22.7927,forward
0.270,22.7893,forward
0.280,22.7860,forward
0.290,22.7827,forward
0.300,22.7793,forward
0.310,22.7760,forward
0.320,22.7727,forward
0.330,22.7693,forward
0.340,22.7660,forward
0.350,22.7627,forward
0.360,22.7593,forward
0.370,22.7560,forward
0.380,22.7527,forward
0.390,22.7493,forward
0.400,22.7460,forward
0.410,22.7427,forward
0.420,22.7393,forward
0.430,22.7360,forward
0.440,22.7327,forward
0.450,22.7293,forward
0.460,22.7260,forward
0.470,22.7227,forward
0.480,22.7193,forward
0.490,22.7160,forward
0.500,22.7127,forward
0.510,22.7093,forward
0.520,22.7060,forward
0.530,22.7027,forward
0.540,22.6993,forward
0.550,22.6960,forward
0.560,22.6927,forward
0.570,22.6893,forward
0.580,22.6860,forward
0.590,22.6826,forward
0.600,22.6793,forward
0.610,22.6759,forward
0.620,22.6726,forward
0.630,22.6692,forward
0.640,22.6659,forward
0.650,22.6625,forward
0.660,22.6591,forward
0.670,22.6557,forward
0.680,22.6523,forward
0.690,22.6489,forward
0.700,22.6454,forward
0.710,22.6419,forward
0.720,22.6384,forward
0.730,22.6348,forward
0.740,22.6311,forward
0.750,22.6273,forward
0.760,22.6233,forward
0.770,22.6192,forward
0.780,22.6148,forward
0.790,22.6102,forward
0.800,22.6051,forward
0.810,22.5995,forward
0.820,22.5933,forward
0.830,22.5862,forward
0.840,22.5780,forward
0.850,22.5684,forward
0.860,22.5569,forward
0.870,22.5429,forward
0.880,22.5259,forward
0.890,22.5047,forward
0.900,22.4783,forward
0.910,22.4450,forward
0.920,22.4029,forward
0.930,22.3493,forward
0.940,22.2808,forward
0.950,22.1930,forward
0.960,22.0802,forward
0.970,21.9349,forward
0.980,21.7477,forward
0.990,21.5060,forward
1.000,21.1936,forward
1.010,20.7898,forward
1.020,20.2673,forward
1.030,19.5911,forward
1.040,18.7156,forward
1.050,17.5818,forward
1.060,16.1132,forward
1.070,14.2107,forward
1.080,11.7457,forward
1.090,8.5517,forward
1.100,4.4128,forward
1.110,-0.9509,forward
1.120,-7.9022,forward
1.130,-16.9111,forward
1.140,-28.5871,forward
1.150,-43.7200,forward
