time (h),temperature (°C),relative_humidity (%)
0.0000,65.10,85.8
0.1667,65.12,85.8
0.3333,64.95,84.5
0.5000,64.61,85.0
0.6667,64.91,85.0
0.8333,65.16,85.6
1.0000,65.31,84.9
1.1667,64.97,84.6
1.3333,65.29,85.0
1.5000,65.31,85.1
1.6667,65.44,83.9
1.8333,65.22,85.1
2.0000,65.11,84.8
2.1667,65.37,85.4
2.3333,64.95,85.2
2.5000,64.84,85.5
2.6667,64.75,85.1
2.8333,65.01,85.2
3.0000,64.77,84.7
3.1667,65.36,84.8
3.3333,65.12,84.6
3.5000,65.61,84.3
3.6667,65.39,84.3
3.8333,64.94,84.1
4.0000,66.05,85.2
4.1667,65.23,84.3
4.3333,64.91,83.8
4.5000,65.11,85.3
4.6667,64.64,85.2
4.8333,64.71,84.7
5.0000,65.03,84.9
5.1667,64.90,85.9
5.3333,64.73,84.5
5.5000,65.00,83.7
5.6667,64.86,84.5
5.8333,64.86,84.8
6.0000,65.41,84.8
6.1667,64.88,84.1
6.3333,65.27,85.3
6.5000,64.80,85.1
6.6667,65.16,85.2
6.8333,65.19,84.9
7.0000,65.23,84.8
7.1667,65.20,84.7
7.3333,64.92,85.3
7.5000,64.76,85.8
7.6667,64.92,85.0
7.8333,65.18,85.2
8.0000,65.45,84.1
8.1667,64.71,85.2
8.3333,65.13,85.1
8.5000,65.33,84.4
8.6667,64.87,85.2
8.8333,65.04,86.2
9.0000,65.26,84.9
9.1667,64.76,84.4
9.3333,64.98,84.4
9.5000,65.00,85.3
9.6667,65.26,85.5
9.8333,65.10,85.0
10.0000,64.89,86.0
10.1667,65.26,85.6
10.3333,64.72,85.1
10.5000,65.02,85.9
10.6667,64.84,85.2
10.8333,64.93,84.9
11.0000,64.94,84.6
11.1667,65.78,84.8
11.3333,64.85,85.5
11.5000,64.65,85.0
11.6667,64.51,85.5
11.8333,64.48,84.1
12.0000,64.87,85.1
12.1667,65.76,85.3
12.3333,65.14,85.0
12.5000,65.45,84.6
12.6667,65.57,84.7
12.8333,65.12,85.4
13.0000,64.72,85.6
13.1667,64.72,85.3
13.3333,65.07,85.2
13.5000,64.65,85.1
13.6667,64.97,84.7
13.8333,64.27,85.0
14.0000,65.25,84.9
14.1667,64.86,84.3
14.3333,65.25,85.1
14.5000,65.37,84.8
14.6667,65.34,85.0
14.8333,64.93,84.5
15.0000,65.50,85.2
15.1667,65.00,85.1
15.3333,64.89,84.8
15.5000,64.81,84.5
15.6667,64.67,85.3
15.8333,64.95,84.9
16.0000,64.83,84.9
16.1667,64.93,85.5
16.3333,65.21,85.2
16.5000,65.42,85.1
16.6667,64.80,85.2
16.8333,64.97,85.6
17.0000,65.12,84.4
17.1667,65.03,84.9
17.3333,65.28,85.4
17.5000,65.11,84.2
17.6667,65.01,84.3
17.8333,65.36,84.3
18.0000,64.94,85.5
18.1667,65.17,84.5
18.3333,64.83,85.3
18.5000,65.51,85.3
18.6667,65.59,85.3
18.8333,65.54,84.4
19.0000,65.25,85.8
19.1667,64.31,86.0
19.3333,64.73,85.1
19.5000,65.33,85.1
19.6667,64.68,85.2
19.8333,65.28,84.6
20.0000,65.25,84.7
20.1667,64.78,84.8
20.3333,64.32,84.7
20.5000,65.02,84.7
20.6667,64.87,84.5
20.8333,65.07,84.7
21.0000,65.03,85.0
21.1667,65.25,84.9
21.3333,64.75,84.7
21.5000,65.39,84.1
21.6667,64.80,84.7
21.8333,65.10,85.3
22.0000,65.24,85.1
22.1667,64.59,85.3
22.3333,64.78,84.8
22.5000,65.36,85.1
22.6667,64.73,86.3
22.8333,65.08,84.9
23.0000,65.09,85.8
23.1667,64.96,84.7
23.3333,65.80,84.9
23.5000,65.52,85.3
23.6667,65.13,86.1
23.8333,64.66,85.2
24.0000,65.17,85.2
24.1667,64.68,85.0
24.3333,65.36,84.9
24.5000,65.05,84.7
24.6667,64.99,85.2
24.8333,65.33,85.4
25.0000,64.84,85.0
25.1667,65.38,84.7
25.3333,64.83,84.8
25.5000,65.20,85.4
25.6667,64.82,85.1
25.8333,65.03,86.0
26.0000,64.94,84.0
26.1667,65.27,84.7
26.3333,65.28,84.9
26.5000,65.24,85.7
26.6667,65.25,85.3
26.8333,64.81,85.1
27.0000,64.92,84.8
27.1667,65.51,84.3
27.3333,64.96,85.3
27.5000,65.13,85.6
27.6667,65.36,84.7
27.8333,65.49,85.1
28.0000,64.95,85.2
28.1667,65.24,84.8
28.3333,64.87,85.6
28.5000,65.25,85.1
28.6667,64.90,84.6
28.8333,65.03,84.4
29.0000,65.43,84.7
29.1667,65.06,85.0
29.3333,65.52,84.2
29.5000,64.31,86.3
29.6667,64.48,84.6
29.8333,64.65,84.8
30.0000,64.57,85.5
30.1667,64.96,85.4
30.3333,64.90,84.5
30.5000,65.32,84.7
30.6667,65.58,84.3
30.8333,65.05,85.6
31.0000,64.80,84.5
31.1667,64.47,85.4
31.3333,65.25,85.1
31.5000,65.14,83.9
31.6667,65.04,85.3
31.8333,64.76,85.4
32.0000,64.59,85.8
32.1667,65.03,85.3
32.3333,64.37,85.1
32.5000,64.50,85.3
32.6667,64.94,84.8
32.8333,64.87,84.0
33.0000,64.48,85.8
33.1667,64.60,84.9
33.3333,65.33,84.6
33.5000,64.58,84.3
33.6667,65.29,85.5
33.8333,65.13,86.0
34.0000,64.99,84.7
34.1667,65.11,85.1
34.3333,65.00,85.0
34.5000,64.71,84.3
34.6667,65.30,84.4
34.8333,65.25,85.4
35.0000,64.81,86.0
35.1667,65.38,85.3
35.3333,65.42,84.9
35.5000,65.56,85.0
35.6667,65.30,85.3
35.8333,65.30,85.6
36.0000,64.97,86.1
36.1667,65.31,85.6
36.3333,64.83,85.1
36.5000,64.96,84.6
36.6667,65.12,84.8
36.8333,65.36,84.6
37.0000,64.93,84.4
37.1667,64.98,85.4
37.3333,64.96,84.8
37.5000,64.99,84.6
37.6667,64.66,84.6
37.8333,65.01,84.1
38.0000,64.66,84.9
38.1667,64.94,84.3
38.3333,65.30,85.1
38.5000,64.67,84.5
38.6667,64.84,85.2
38.8333,64.73,85.1
39.0000,64.94,84.7
39.1667,64.83,85.1
39.3333,64.96,84.5
39.5000,65.03,85.4
39.6667,65.36,84.4
39.8333,65.13,84.9
40.0000,65.22,84.4
40.1667,64.81,85.0
40.3333,65.37,84.8
40.5000,65.05,85.9
40.6667,65.74,85.5
40.8333,64.64,83.9
41.0000,64.66,83.9
41.1667,64.98,84.7
41.3333,64.52,85.5
41.5000,65.60,84.7
41.6667,64.95,85.2
41.8333,64.61,85.2
42.0000,65.40,85.3
42.1667,65.23,86.0
42.3333,65.04,84.4
42.5000,64.96,84.7
42.6667,64.77,85.4
42.8333,64.75,85.4
43.0000,64.24,85.4
43.1667,65.24,84.7
43.3333,65.23,83.9
43.5000,65.25,84.4
43.6667,64.62,84.6
43.8333,65.05,84.6
44.0000,64.84,84.9
44.1667,65.29,85.9
44.3333,64.50,84.6
44.5000,65.07,84.7
44.6667,65.33,84.7
44.8333,65.46,86.5
45.0000,65.01,85.2
45.1667,65.48,84.9
45.3333,65.66,85.9
45.5000,65.15,84.5
45.6667,64.89,85.0
45.8333,64.79,85.7
46.0000,65.25,83.9
46.1667,65.00,84.5
46.3333,65.10,85.8
46.5000,65.56,84.9
46.6667,64.44,85.4
46.8333,64.77,84.7
