time (h),temperature (°C),relative_humidity (%),voltage (V),current_density (mA/cm^2),power_density (mW/cm^2)
0.0000,65.47,85.2,0.9900,-1.133,-1.121
0.1667,65.51,84.7,0.9900,-1.135,-1.124
0.3333,64.70,85.1,0.9900,-1.140,-1.129
0.5000,64.99,84.5,0.9900,-1.134,-1.123
0.6667,65.02,85.3,0.9900,-1.138,-1.127
0.8333,65.37,86.0,0.9900,-1.139,-1.128
1.0000,64.93,84.4,0.9900,-1.137,-1.125
1.1667,64.76,85.6,0.9900,-1.140,-1.129
1.3333,65.02,85.5,0.9900,-1.136,-1.125
1.5000,65.05,85.8,0.9900,-1.137,-1.126
1.6667,64.34,85.9,0.9900,-1.138,-1.126
1.8333,65.09,85.5,0.9900,-1.138,-1.126
2.0000,64.90,84.4,0.9900,-1.135,-1.124
2.1667,65.24,85.7,0.9900,-1.137,-1.125
2.3333,65.15,85.2,0.9900,-1.136,-1.125
2.5000,65.31,85.4,0.9900,-1.135,-1.124
2.6667,65.03,84.5,0.9900,-1.139,-1.127
2.8333,65.15,84.8,0.9900,-1.140,-1.128
3.0000,64.80,85.2,0.9900,-1.138,-1.127
3.1667,64.90,85.2,0.9900,-1.141,-1.129
3.3333,64.74,84.4,0.9900,-1.137,-1.126
3.5000,64.61,85.4,0.9900,-1.139,-1.128
3.6667,64.57,84.7,0.9900,-1.137,-1.125
3.8333,64.47,85.1,0.9900,-1.140,-1.129
4.0000,65.10,85.0,0.9900,-1.141,-1.130
4.1667,64.61,84.8,0.9900,-1.139,-1.128
4.3333,64.28,84.9,0.9900,-1.141,-1.129
4.5000,65.20,84.5,0.9900,-1.137,-1.126
4.6667,65.15,85.5,0.9900,-1.138,-1.126
4.8333,64.84,85.6,0.9900,-1.141,-1.130
5.0000,64.92,84.7,0.9900,-1.140,-1.128
5.1667,65.53,85.1,0.9900,-1.138,-1.127
5.3333,64.69,85.3,0.9900,-1.143,-1.131
5.5000,64.24,85.2,0.9900,-1.137,-1.125
5.6667,64.70,85.6,0.9900,-1.140,-1.129
5.8333,64.87,85.0,0.9900,-1.138,-1.127
6.0000,64.88,85.1,0.9900,-1.136,-1.124
6.1667,64.48,85.0,0.9900,-1.140,-1.129
6.3333,65.17,85.7,0.9900,-1.139,-1.128
6.5000,65.04,84.0,0.9900,-1.140,-1.129
6.6667,65.12,84.6,0.9900,-1.141,-1.129
6.8333,64.91,85.5,0.9900,-1.139,-1.128
7.0000,64.89,86.0,0.9900,-1.140,-1.129
7.1667,64.82,84.8,0.9900,-1.141,-1.129
7.3333,65.20,84.8,0.9900,-1.142,-1.130
7.5000,65.50,85.5,0.9900,-1.138,-1.126
7.6667,65.03,84.9,0.9900,-1.140,-1.129
7.8333,65.13,85.4,0.9900,-1.142,-1.131
8.0000,64.44,84.6,0.9900,-1.139,-1.127
8.1667,65.13,85.1,0.9900,-1.140,-1.129
8.3333,65.03,85.3,0.9900,-1.140,-1.129
8.5000,64.64,84.4,0.9900,-1.140,-1.129
8.6667,65.12,85.6,0.9900,-1.139,-1.128
8.8333,65.70,84.8,0.9900,-1.140,-1.129
9.0000,64.95,84.3,0.9900,-1.142,-1.130
9.1667,64.64,83.8,0.9900,-1.138,-1.127
9.3333,64.64,84.2,0.9900,-1.142,-1.130
9.5000,65.17,84.9,0.9900,-1.141,-1.130
9.6667,65.29,85.0,0.9900,-1.141,-1.130
9.8333,64.98,85.1,0.9900,-1.141,-1.130
10.0000,65.62,84.9,0.9900,-1.142,-1.130
10.1667,65.34,84.7,0.9900,-1.137,-1.126
10.3333,65.09,85.7,0.9900,-1.140,-1.129
10.5000,65.51,85.1,0.9900,-1.137,-1.126
10.6667,65.12,85.3,0.9900,-1.142,-1.131
10.8333,64.93,86.0,0.9900,-1.141,-1.130
11.0000,64.76,85.1,0.9900,-1.142,-1.131
11.1667,64.85,84.8,0.9900,-1.139,-1.128
11.3333,65.28,85.5,0.9900,-1.141,-1.129
11.5000,65.00,85.1,0.9900,-1.141,-1.130
11.6667,65.27,85.4,0.9900,-1.146,-1.134
11.8333,64.47,85.0,0.9900,-1.141,-1.130
12.0000,65.06,85.2,0.9900,-1.141,-1.129
12.1667,65.19,85.7,0.9900,-1.140,-1.129
12.3333,64.98,85.3,0.9900,-1.139,-1.128
12.5000,64.74,86.4,0.9900,-1.142,-1.131
12.6667,64.83,84.5,0.9900,-1.141,-1.130
12.8333,65.22,85.1,0.9900,-1.140,-1.128
13.0000,65.38,84.5,0.9900,-1.141,-1.130
13.1667,65.17,85.5,0.9900,-1.139,-1.128
13.3333,65.10,84.4,0.9900,-1.143,-1.132
13.5000,65.05,85.3,0.9900,-1.139,-1.128
13.6667,64.84,83.8,0.9900,-1.147,-1.135
13.8333,65.00,84.8,0.9900,-1.144,-1.132
14.0000,64.91,84.4,0.9900,-1.140,-1.129
14.1667,64.57,85.5,0.9900,-1.141,-1.130
14.3333,65.06,85.7,0.9900,-1.143,-1.132
14.5000,64.89,84.6,0.9900,-1.143,-1.132
14.6667,65.01,84.6,0.9900,-1.142,-1.130
14.8333,64.71,84.8,0.9900,-1.140,-1.129
15.0000,65.14,85.5,0.9900,-1.140,-1.129
15.1667,65.08,85.1,0.9900,-1.141,-1.130
15.3333,64.87,85.1,0.9900,-1.143,-1.131
15.5000,64.68,84.6,0.9900,-1.143,-1.132
15.6667,65.19,85.4,0.9900,-1.143,-1.132
15.8333,64.97,85.2,0.9900,-1.142,-1.130
16.0000,64.95,85.5,0.9900,-1.142,-1.130
16.1667,65.27,84.2,0.9900,-1.138,-1.127
16.3333,65.09,85.7,0.9900,-1.141,-1.130
16.5000,65.06,85.4,0.9900,-1.143,-1.132
16.6667,65.10,85.8,0.9900,-1.141,-1.130
16.8333,65.34,85.0,0.9900,-1.145,-1.134
17.0000,64.61,85.6,0.9900,-1.143,-1.131
17.1667,64.93,85.1,0.9900,-1.142,-1.131
17.3333,65.26,84.9,0.9900,-1.139,-1.127
17.5000,64.51,85.6,0.9900,-1.141,-1.130
17.6667,64.61,84.5,0.9900,-1.143,-1.132
17.8333,64.61,84.9,0.9900,-1.141,-1.130
18.0000,65.30,84.3,0.9900,-1.143,-1.131
18.1667,64.69,85.5,0.9900,-1.143,-1.132
18.3333,65.15,85.8,0.9900,-1.142,-1.130
18.5000,65.20,85.1,0.9900,-1.145,-1.133
18.6667,65.20,85.3,0.9900,-1.142,-1.131
18.8333,64.61,85.2,0.9900,-1.143,-1.131
19.0000,65.46,85.0,0.9900,-1.140,-1.129
19.1667,65.58,84.8,0.9900,-1.142,-1.130
19.3333,65.07,85.1,0.9900,-1.145,-1.133
19.5000,65.08,85.0,0.9900,-1.142,-1.131
19.6667,65.12,84.6,0.9900,-1.141,-1.130
19.8333,64.79,84.9,0.9900,-1.142,-1.131
20.0000,64.83,84.7,0.9900,-1.142,-1.131
20.1667,64.87,84.5,0.9900,-1.142,-1.131
20.3333,64.80,84.3,0.9900,-1.142,-1.131
20.5000,64.81,84.1,0.9900,-1.143,-1.131
20.6667,64.73,84.3,0.9900,-1.144,-1.133
20.8333,64.83,86.5,0.9900,-1.142,-1.131
21.0000,64.97,84.5,0.9900,-1.145,-1.134
21.1667,64.95,84.9,0.9900,-1.144,-1.132
21.3333,64.81,85.0,0.9900,-1.147,-1.135
21.5000,64.46,85.5,0.9900,-1.143,-1.132
21.6667,64.81,84.1,0.9900,-1.144,-1.132
21.8333,65.18,85.0,0.9900,-1.147,-1.135
22.0000,65.04,85.7,0.9900,-1.143,-1.132
22.1667,65.20,85.0,0.9900,-1.142,-1.131
22.3333,64.86,85.1,0.9900,-1.143,-1.132
22.5000,65.03,85.0,0.9900,-1.141,-1.130
22.6667,65.76,85.0,0.9900,-1.147,-1.135
22.8333,64.97,85.1,0.9900,-1.144,-1.133
23.0000,65.49,84.5,0.9900,-1.145,-1.134
23.1667,64.82,85.3,0.9900,-1.140,-1.129
23.3333,64.92,84.4,0.9900,-1.141,-1.129
23.5000,65.16,84.4,0.9900,-1.144,-1.132
23.6667,65.64,85.1,0.9900,-1.150,-1.138
23.8333,65.09,85.0,0.9900,-1.145,-1.133
24.0000,65.13,85.2,0.9900,-1.143,-1.132
24.1667,65.02,84.3,0.9900,-1.145,-1.133
24.3333,64.93,84.8,0.9900,-1.143,-1.132
24.5000,64.81,84.1,0.9900,-1.144,-1.132
24.6667,65.10,85.6,0.9900,-1.145,-1.134
24.8333,65.24,85.0,0.9900,-1.144,-1.133
25.0000,64.99,84.7,0.9900,-1.145,-1.133
25.1667,64.84,85.6,0.9900,-1.145,-1.133
25.3333,64.86,84.8,0.9900,-1.141,-1.130
25.5000,65.22,84.8,0.9900,-1.143,-1.132
25.6667,65.03,84.8,0.9900,-1.140,-1.129
25.8333,65.60,84.7,0.9900,-1.146,-1.134
26.0000,64.41,84.3,0.9900,-1.145,-1.133
26.1667,64.82,85.6,0.9900,-1.149,-1.137
26.3333,64.92,85.4,0.9900,-1.141,-1.130
26.5000,65.40,85.3,0.9900,-1.141,-1.129
26.6667,65.16,84.8,0.9900,-1.144,-1.133
26.8333,65.04,85.0,0.9900,-1.141,-1.130
27.0000,64.86,85.7,0.9900,-1.144,-1.132
27.1667,64.56,86.2,0.9900,-1.146,-1.134
27.3333,65.18,85.1,0.9900,-1.147,-1.136
27.5000,65.33,84.7,0.9900,-1.144,-1.132
27.6667,64.81,84.5,0.9900,-1.143,-1.132
27.8333,65.05,85.5,0.9900,-1.147,-1.135
28.0000,65.14,85.0,0.9900,-1.148,-1.137
28.1667,64.90,85.4,0.9900,-1.143,-1.132
28.3333,65.38,85.4,0.9900,-1.147,-1.136
28.5000,65.04,85.5,0.9900,-1.143,-1.132
28.6667,64.76,84.3,0.9900,-1.143,-1.131
28.8333,64.65,85.4,0.9900,-1.142,-1.131
29.0000,64.80,84.8,0.9900,-1.143,-1.131
29.1667,64.98,84.7,0.9900,-1.145,-1.133
29.3333,64.54,84.1,0.9900,-1.142,-1.130
29.5000,65.79,84.8,0.9900,-1.144,-1.132
29.6667,64.79,85.0,0.9900,-1.144,-1.132
29.8333,64.88,85.7,0.9900,-1.144,-1.133
30.0000,65.33,85.8,0.9900,-1.145,-1.134
30.1667,65.25,85.2,0.9900,-1.146,-1.135
30.3333,64.72,84.5,0.9900,-1.145,-1.134
30.5000,64.79,83.7,0.9900,-1.142,-1.131
30.6667,64.57,84.7,0.9900,-1.144,-1.133
30.8333,65.33,84.5,0.9900,-1.140,-1.129
31.0000,64.70,85.6,0.9900,-1.146,-1.135
31.1667,65.26,84.6,0.9900,-1.143,-1.131
31.3333,65.06,84.7,0.9900,-1.143,-1.132
31.5000,64.35,84.7,0.9900,-1.148,-1.136
31.6667,65.20,86.0,0.9900,-1.147,-1.136
31.8333,65.21,84.8,0.9900,-1.142,-1.131
32.0000,65.46,84.0,0.9900,-1.146,-1.134
32.1667,65.18,85.5,0.9900,-1.148,-1.136
32.3333,65.09,85.3,0.9900,-1.144,-1.132
32.5000,65.20,86.5,0.9900,-1.139,-1.128
32.6667,64.86,84.8,0.9900,-1.147,-1.136
32.8333,64.42,85.6,0.9900,-1.145,-1.134
33.0000,65.45,84.6,0.9900,-1.143,-1.132
33.1667,64.95,84.8,0.9900,-1.145,-1.134
33.3333,64.78,84.3,0.9900,-1.144,-1.132
33.5000,64.61,85.4,0.9900,-1.147,-1.136
33.6667,65.27,85.2,0.9900,-1.144,-1.133
33.8333,65.60,85.1,0.9900,-1.144,-1.132
34.0000,64.79,84.4,0.9900,-1.142,-1.131
34.1667,65.03,85.1,0.9900,-1.143,-1.132
34.3333,65.02,85.7,0.9900,-1.145,-1.133
34.5000,64.57,83.9,0.9900,-1.145,-1.134
34.6667,64.66,83.9,0.9900,-1.145,-1.134
34.8333,65.24,84.8,0.9900,-1.143,-1.132
