voltage (V),current_density (mA/cm^2),direction
1.150,-30.4275,reverse
1.140,-18.4444,reverse
1.130,-9.1986,reverse
1.120,-2.0645,reverse
1.110,3.4402,reverse
1.100,7.6880,reverse
1.090,10.9659,reverse
1.080,13.4956,reverse
1.070,15.4481,reverse
1.060,16.9552,reverse
1.050,18.1188,reverse
1.040,19.0172,reverse
1.030,19.7111,reverse
1.020,20.2472,reverse
1.010,20.6616,reverse
1.000,20.9821,reverse
0.990,21.2301,reverse
0.980,21.4222,reverse
0.970,21.5712,reverse
0.960,21.6869,reverse
0.950,21.7769,reverse
0.940,21.8471,reverse
0.930,21.9020,reverse
0.920,21.9452,reverse
0.910,21.9792,reverse
0.900,22.0063,reverse
0.890,22.0279,reverse
0.880,22.0453,reverse
0.870,22.0595,reverse
0.860,22.0713,reverse
0.850,22.0811,reverse
0.840,22.0894,reverse
0.830,22.0966,reverse
0.820,22.1029,reverse
0.810,22.1085,reverse
0.800,22.1136,reverse
0.790,22.1183,reverse
0.780,22.1227,reverse
0.770,22.1269,reverse
0.760,22.1308,reverse
0.750,22.1346,reverse
0.740,22.1383,reverse
0.730,22.1420,reverse
0.720,22.1455,reverse
0.710,22.1490,reverse
0.700,22.1525,reverse
0.690,22.1559,reverse
0.680,22.1593,reverse
0.670,22.1627,reverse
0.660,22.1661,reverse
0.650,22.1695,reverse
0.640,22.1728,reverse
0.630,22.1762,reverse
0.620,22.1795,reverse
0.610,22.1829,reverse
0.600,22.1862,reverse
0.590,22.1896,reverse
0.580,22.1929,reverse
0.570,22.1963,reverse
0.560,22.1996,reverse
0.550,22.2029,reverse
0.540,22.2063,reverse
0.530,22.2096,reverse
0.520,22.2129,reverse
0.510,22.2163,reverse
0.500,22.2196,reverse
0.490,22.2229,reverse
0.480,22.2263,reverse
0.470,22.2296,reverse
0.460,22.2329,reverse
0.450,22.2363,reverse
0.440,22.2396,reverse
0.430,22.2429,reverse
0.420,22.2463,reverse
0.410,22.2496,reverse
0.400,22.2529,reverse
0.390,22.2563,reverse
0.380,22.2596,reverse
0.370,22.2629,reverse
0.360,22.2663,reverse
0.350,22.2696,reverse
0.340,22.2729,reverse
0.330,22.2763,reverse
0.320,22.2796,reverse
0.310,22.2829,reverse
0.300,22.2863,reverse
0.290,22.2896,reverse
0.280,22.2929,reverse
0.270,22.2963,reverse
0.260,22.2996,reverse
0.250,22.3029,reverse
0.240,22.3063,reverse
0.230,22.3096,reverse
0.220,22.3129,reverse
0.210,22.3163,reverse
0.200,22.3196,reverse
0.190,22.3229,reverse
0.180,22.3263,reverse
0.170,22.3296,reverse
0.160,22.3329,reverse
0.150,22.3363,reverse
0.140,22.3396,reverse
0.130,22.3429,reverse
0.120,22.3463,reverse
0.110,22.3496,reverse
0.100,22.3529,reverse
0.090,22.3563,reverse
0.080,22.3596,reverse
0.070,22.3629,reverse
0.060,22.3663,reverse
0.050,22.3696,reverse
0.040,22.3729,reverse
0.030,22.3763,reverse
0.020,22.3796,reverse
0.010,22.3829,reverse
-0.000,22.3863,reverse
-0.010,22.3896,reverse
-0.020,22.3929,reverse
-0.030,22.3963,reverse
-0.040,22.3996,reverse
-0.050,22.4029,reverse
-0.060,22.4063,reverse
-0.070,22.4096,reverse
-0.080,22.4129,reverse
-0.090,22.4163,reverse
-0.100,22.4196,reverse
-0.100,22.1957,forward
-0.090,22.1924,forward
-0.080,22.1891,forward
-0.070,22.1857,forward
-0.060,22.1824,forward
-0.050,22.1791,forward
-0.040,22.1757,forward
-0.030,22.1724,forward
-0.020,22.1691,forward
-0.010,22.1657,forward
-0.000,22.1624,forward
0.010,22.1591,forward
0.020,22.1557,forward
0.030,22.1524,forward
0.040,22.1491,forward
0.050,22.1457,forward
0.060,22.1424,forward
0.070,22.1391,forward
0.080,22.1357,forward
0.090,22.1324,forward
0.100,22.1291,forward
0.110,22.1257,forward
0.120,22.1224,forward
0.130,22.1191,forward
0.140,22.1157,forward
0.150,22.1124,forward
0.160,22.1091,forward
0.170,22.1057,forward
0.180,22.1024,forward
0.190,22.0991,forward
0.200,22.0957,forward
0.210,22.0924,forward
0.220,22.0891,forward
0.230,22.0857,forward
0.240,22.0824,forward
0.250,22.0791,forward
0.260,22.0757,forward
0.270,22.0724,forward
0.280,22.0691,forward
0.290,22.0657,forward
0.300,22.0624,forward
0.310,22.0591,forward
0.320,22.0557,forward
0.330,22.0524,forward
0.340,22.0491,forward
0.350,22.0457,forward
0.360,22.0424,forward
0.370,22.0391,forward
0.380,22.0357,forward
0.390,22.0324,forward
0.400,22.0291,forward
0.410,22.0257,forward
0.420,22.0224,forward
0.430,22.0191,forward
0.440,22.0157,forward
0.450,22.0124,forward
0.460,22.0091,forward
0.470,22.0057,forward
0.480,22.0024,forward
0.490,21.9991,forward
0.500,21.9957,forward
0.510,21.9924,forward
0.520,21.9891,forward
0.530,21.9857,forward
0.540,21.9824,forward
0.550,21.9791,forward
0.560,21.9757,forward
0.570,21.9724,forward
0.580,21.9690,forward
0.590,21.9657,forward
0.600,21.9624,forward
0.610,21.9590,forward
0.620,21.9557,forward
0.630,21.9523,forward
0.640,21.9490,forward
0.650,21.9456,forward
0.660,21.9422,forward
0.670,21.9388,forward
0.680,21.9354,forward
0.690,21.9320,forward
0.700,21.9285,forward
0.710,21.9250,forward
0.720,21.9214,forward
0.730,21.9178,forward
0.740,21.9141,forward
0.750,21.9103,forward
0.760,21.9064,forward
0.770,21.9022,forward
0.780,21.8978,forward
0.790,21.8932,forward
0.800,21.8881,forward
0.810,21.8825,forward
0.820,21.8762,forward
0.830,21.8690,forward
0.840,21.8608,forward
0.850,21.8510,forward
0.860,21.8394,forward
0.870,21.8253,forward
0.880,21.8080,forward
0.890,21.7865,forward
0.900,21.7597,forward
0.910,21.7260,forward
0.920,21.6833,forward
0.930,21.6288,forward
0.940,21.5593,forward
0.950,21.4701,forward
0.960,21.3556,forward
0.970,21.2081,forward
0.980,21.0178,forward
0.990,20.7723,forward
1.000,20.4550,forward
1.010,20.0447,forward
1.020,19.5139,forward
1.030,18.8269,forward
1.040,17.9374,forward
1.050,16.7855,forward
1.060,15.2934,forward
1.070,13.3604,forward
1.080,10.8559,forward
1.090,7.6107,forward
1.100,3.4054,forward
1.110,-2.0443,forward
1.120,-9.1070,forward
1.130,-18.2604,forward
1.140,-30.1237,forward
1.150,-45.4994,forward
